Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2011-10-03,1600424268,510,85,425,J Cocker (Tinsmith),Community Health & Social Care,Adapts/Alterations
Salford City Council,2011-10-03,601021486,555.94,92.66,463.28,Connex Holdings Ltd,Children's Services,Agency Fees
Salford City Council,2011-10-03,601023038,4725,787.5,3937.5,Outcomes Uk Ltd,Children's Services,Agency Fees
Salford City Council,2011-10-03,1600423088,1170,195,975,Idox Software,Sustainable Regeneration,Cash in Transit Serv
Salford City Council,2011-10-03,1600422712,537.6,89.6,448,Norseman Direct Ltd,Environment and Community Safety,Catering Materials
Salford City Council,2011-10-03,1600422060,1292.75,215.44,1077.31,Diamond Business Interiors Ltd,Community Health & Social Care,Central Prem Alloc
Salford City Council,2011-10-03,1600422047,2034,339,1695,Enhanced Vision Europe Ltd,Children's Services,Computer Equipment
Salford City Council,2011-10-03,1600424275,1005,0,1005,Redacted Personal Data,Community Health & Social Care,Conferences/Seminars
Salford City Council,2011-10-03,1600423885,2920.8,486.8,2434,"G Jones Ltd.,",Children's Services,Consult/Contractors
Salford City Council,2011-10-03,601022593,621.71,103.62,518.09,Jacobs,Customer and Support Services,Debt Recoveries Agen
Salford City Council,2011-10-03,1600419997,526.8,87.8,439,Door Repair Service  Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2011-10-03,1600423155,598.8,99.8,499,Norman Shawcross Roofing Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-10-03,1600419466,854.55,142.43,712.12,E & J Kane Ltd,Children's Services,Dev Servs Day to Day
Salford City Council,2011-10-03,1600418943,1083.15,180.52,902.63,E And J Kane Ltd,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2011-10-03,1600420885,3523.2,587.2,2936,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-10-03,1600419092,4962,827,4135,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2011-10-03,1600423352,6787.01,1131.17,5655.84,Cruden Property Services Ltd.,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2011-10-03,1600422529,784.8,130.8,654,Prism Medical Uk,Community Health & Social Care,Disability Equipment
Salford City Council,2011-10-03,1600422045,1377.48,229.58,1147.9,Drive Medical Ltd,Community Health & Social Care,Disability Equipment
