Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2020-11-02,1600656198,792.41,132.07,660.34,Civica Uk Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-11-02,1600656205,5568.00,928.00,4640.00,Dolphin Mobility Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-11-02,1600656206,7452.00,1242.00,6210.00,Dolphin Mobility Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-11-02,1600656188,5040.00,840.00,4200.00,Egbert H Taylor & Co Ltd,Service Reform (Corp Bus & Transform),Purch of Furn/Equip
Salford City Council,2020-11-02,601289340,647.00,0.00,647.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-11-02,601289339,7500.00,0.00,7500.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-11-02,601289341,11893.00,0.00,11893.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-11-02,601289150,543.60,90.60,453.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-11-02,601289074,652.81,108.80,544.01,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-11-02,601289070,812.12,135.35,676.77,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-11-02,601289152,988.07,164.68,823.39,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-11-02,601289068,994.04,165.67,828.37,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-11-02,601289151,1048.27,174.72,873.55,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-11-02,601289157,1586.79,264.46,1322.33,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-11-02,1600655909,31098.00,5183.00,25915.00,Greater Manchester Treestation Ltd,Place Directorate,Contractors
Salford City Council,2020-11-02,1600656194,5473.20,912.20,4561.00,Handicare,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-11-02,1600656142,80092.09,13348.68,66743.41,Joe Roocroft & Sons Ltd,Place Directorate,Contractors
Salford City Council,2020-11-02,601289179,-1285.72,-214.29,-1071.43,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-11-02,601289174,2052.00,342.00,1710.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-11-02,601289173,4560.00,760.00,3800.00,Keys Pce Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-11-02,601289345,1209.60,0.00,1209.60,Kidz R Us Nursery Ltd - Swinton,People (Childrens) Service Group,Release of Provision
Salford City Council,2020-11-02,601289342,1411.20,0.00,1411.20,Kidzrus  Nursery Ltd - Monton,People (Childrens) Service Group,Release of Provision
Salford City Council,2020-11-02,601289343,3067.20,0.00,3067.20,Kidzrus Nursery Ltd - Irlam,People (Childrens) Service Group,Release of Provision
Salford City Council,2020-11-02,601289344,523.98,0.00,523.98,Kidzrus Nursery Ltd-Langworth Rd,People (Childrens) Service Group,Release of Provision
Salford City Council,2020-11-02,1600656203,1078.72,0.00,1078.72,Langworthy Cornerstone Assoc.,People (Childrens) Service Group,Rents
Salford City Council,2020-11-02,601289184,15518.70,0.00,15518.70,Mainline 8S Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-11-02,1600656200,2640.00,440.00,2200.00,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Training of Staff
Salford City Council,2020-11-02,1600656195,683.23,113.87,569.36,Papillon Translations Ltd,People (Childrens) Service Group,Interpreter/translat
