Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2020-12-01,601291612,729.00,121.50,607.50,Addleshaw Goddard Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-12-01,601291613,817.80,136.30,681.50,Addleshaw Goddard Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-12-01,1600657888,3424.00,0.00,3424.00,Arriva North West Plc,People (Adults) - CHSC,Equipment Purchase
Salford City Council,2020-12-01,601291766,576.00,96.00,480.00,Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-12-01,601291767,576.00,96.00,480.00,Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-12-01,601291671,799.61,0.00,799.61,Ays Estates Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,1600657886,6291.00,0.00,6291.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-12-01,1600657872,1916.93,319.49,1597.44,British Telecommunications Plc,Service Reform (Corp Bus & Transform),Miscellaneous Exes
Salford City Council,2020-12-01,1600657882,4908.00,818.00,4090.00,Broxap Ltd,Place Directorate,Equipment Purchase
Salford City Council,2020-12-01,601291622,966.00,161.00,805.00,Cdn Networks Ltd,People (Childrens) Service Group,Unclass Road Maint
Salford City Council,2020-12-01,601291677,1515.02,0.00,1515.02,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291673,2020.03,0.00,2020.03,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291678,2020.03,0.00,2020.03,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291672,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291674,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291675,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291676,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291679,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,1600657414,13836.00,2306.00,11530.00,Dolphin Mobility Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2020-12-01,601291620,4475.00,0.00,4475.00,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-12-01,601291618,33637.34,0.00,33637.34,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-12-01,601291705,2414.51,0.00,2414.51,Fairtrade Properties Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,1600657895,4800.00,800.00,4000.00,Identity Consult Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2020-12-01,1600657486,10377.00,1729.50,8647.50,Ingenitech Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2020-12-01,601291700,636.26,0.00,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291701,636.26,0.00,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,1600657871,1250.00,0.00,1250.00,Manchester Action On Street Health,Public Health,Payts to Agencies
Salford City Council,2020-12-01,601291670,547.10,0.00,547.10,Marshmallow Properties Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291609,524.00,0.00,524.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-12-01,601291642,865.25,0.00,865.25,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291648,874.82,0.00,874.82,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-12-01,601291649,874.82,0.00,874.82,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
