Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-04-02,2203411204,19039.28,3173.21,15866.07,Chrystal Consulting,Environment and Community Safety,Vehicle Leasing
Salford City Council,2013-04-02,1600465507,3660.00,610.00,3050.00,Cipfa Business Ltd,Customer and Support Services,Training expenses
Salford City Council,2013-04-02,601083791,1176.00,196.00,980.00,Click Fire & Security Ltd,Children's Services,Building Rep & Maint
Salford City Council,2013-04-02,1600465508,1200.00,200.00,1000.00,Community Forest Trust Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2013-04-02,1600465575,13249.40,0.00,13249.40,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2013-04-02,1600465576,13249.40,0.00,13249.40,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2013-04-02,1600466055,11071.65,0.00,11071.65,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2013-04-02,601083030,13249.40,0.00,13249.40,Courtyard Care Group,"Community, Health & Social Care",Resid Care Home
Salford City Council,2013-04-02,1600465099,576.24,96.04,480.20,Door Care & Security,"Community, Health & Social Care",Dev Servs Day to Day
Salford City Council,2013-04-02,1600464665,513.31,85.55,427.76,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2013-04-02,1600465534,4512.00,752.00,3760.00,Elygra,Environment and Community Safety,Marketing/Publicity
Salford City Council,2013-04-02,1600464999,2063.82,343.97,1719.85,G4S Cash Solutions Uk Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2013-04-02,1600465748,504.00,84.00,420.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2013-04-02,601085040,19959.55,0.00,19959.55,Hill Care 1 Ltd T/A Alderwood,"Community, Health & Social Care",Resid Care Home
Salford City Council,2013-04-02,601085028,897.55,0.00,897.55,Jitterbugz Day Nursery,Children's Services,Grants
Salford City Council,2013-04-02,1600465505,1715.10,285.85,1429.25,Language Empire Limited,Children's Services,Interpreter/translation
