Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-01-04,1600659234,1498,0,1498,Arriva North West Plc,People (Adults) - CHSC,Equipment Purchase
Salford City Council,2021-01-04,2205657176,2565368.08,0,2565368.08,Aspire,People (Adults) - CHSC,Mgt Fee
Salford City Council,2021-01-04,1600658017,1155.6,192.6,963,Associated Cleaning Contractors Ltd,Place Directorate,Cleaning Services
Salford City Council,2021-01-04,1600658019,1464.3,244.05,1220.25,Associated Cleaning Contractors Ltd,Place Directorate,Cleaning Services
Salford City Council,2021-01-04,1600659248,-1285.97,-214.33,-1071.64,Balmers Garden Machinery Ltd,Service Reform (Corp Bus & Transform),VMS Materials
Salford City Council,2021-01-04,1600659247,2853.59,475.59,2378,Balmers Garden Machinery Ltd,Service Reform (Corp Bus & Transform),VMS Materials
Salford City Council,2021-01-04,1600657928,3464.11,577.35,2886.76,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2021-01-04,1600659298,16423.25,0,16423.25,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-01-04,1600659301,16423.25,0,16423.25,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-01-04,1600659258,527.76,87.96,439.8,C P Davidson & Sons Ltd,Service Reform (Corp Bus & Transform),VMS Materials
Salford City Council,2021-01-04,1600659256,858.26,143.04,715.22,C P Davidson & Sons Ltd,Service Reform (Corp Bus & Transform),VMS Materials
Salford City Council,2021-01-04,1600659261,1487.74,247.96,1239.78,C P Davidson & Sons Ltd,Service Reform (Corp Bus & Transform),VMS Materials
Salford City Council,2021-01-04,1600659338,1191.77,198.63,993.14,Capita Business Services Ltd,Place Directorate,Storage
Salford City Council,2021-01-04,1600659279,6876.6,1146.1,5730.5,Cdw Ltd,Public Health,Cmputer Eqt purchase
Salford City Council,2021-01-04,1600659243,1175.61,195.93,979.68,Click Fire & Security Ltd,Place Directorate,UV Light/Fire
Salford City Council,2021-01-04,1600659325,6000,1000,5000,Cmgrp Uk Ltd T/A Weber Shandwick,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2021-01-04,1600659250,9177,0,9177,Cromwood Housing Ltd,People (Childrens) Service Group,Rents
Salford City Council,2021-01-04,1600659241,5685.36,947.56,4737.8,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-01-04,1600659240,15086.07,826.32,14259.75,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2021-01-04,1600659237,26064,4344,21720,Liquidlogic Ltd,Service Reform (Corp Bus & Transform),Purch of Comp Soft
Salford City Council,2021-01-04,1600659287,3210,0,3210,National Offender Management,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,1600659286,7704,0,7704,National Offender Management,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,1600659285,9630,0,9630,National Offender Management,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,1600659306,3814.82,635.8,3179.02,Northgate Public Services (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2021-01-04,601295824,735,0,735,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2021-01-04,601295820,3515,0,3515,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2021-01-04,1600659232,6250,0,6250,Pure Insight 1628,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,1600659233,6250,0,6250,Pure Insight 1628,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,601295826,1231.2,205.2,1026,Randstad Public Services Limited,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-04,601295803,69665.64,11611,58054.64,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2021-01-04,1600659340,3400,0,3400,Remedi-Restorative Services,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2021-01-04,1600659242,585,97.5,487.5,Rene Barrett Ltd,Service Reform (Corp Bus & Transform),Training of Others
Salford City Council,2021-01-04,1600659339,3170.56,528.43,2642.13,Rr Consultancy Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,1600659275,5000,0,5000,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,1600659277,5000,0,5000,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-04,1600659319,4009.04,0,4009.04,Salford Royal Nhs Foundation Trust,People (Adults) - CHSC,Sals & Wags Realloc
Salford City Council,2021-01-04,1600658726,537.15,89.52,447.63,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2021-01-04,1600658721,931.73,155.29,776.44,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2021-01-04,1600658641,734.02,122.34,611.68,Schofield & Sons Ltd,Place Directorate,UV Day to Day
Salford City Council,2021-01-04,1600659198,21952.8,3658.8,18294,Standard Fuel Oils Ltd,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2021-01-04,1600659341,2926.8,487.8,2439,Stannah Stairlifts Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Grants
Salford City Council,2021-01-04,1600659336,4716,786,3930,Stannah Stairlifts Ltd,Service Reform (Corp Bus & Transform),Miscellaneous Grants
Salford City Council,2021-01-04,1600659307,12000,2000,10000,Street Uk Services Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2021-01-04,1600659238,690,115,575,The Assoc Of Electoral Adminis,Service Reform (Corp Bus & Transform),Recruitment Advert.
Salford City Council,2021-01-04,601295808,1890,315,1575,Traffic Sense Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2021-01-04,1600659192,25210.09,4201.69,21008.4,United Utilities,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2021-01-04,1600659193,92300.93,15383.49,76917.44,United Utilities,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2021-01-04,601295827,540,90,450,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv
Salford City Council,2021-01-04,601295829,648,108,540,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv
Salford City Council,2021-01-04,601295828,756,126,630,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv
Salford City Council,2021-01-04,1600659323,2834.24,472.37,2361.87,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2021-01-05,1600659375,1065.68,34.28,1031.4,1010 Taxis,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2021-01-05,1600659351,1197.54,199.59,997.95,Alliance Disposables Ltd,Public Health,Cleaning Materials
Salford City Council,2021-01-05,1600659400,4932.7,822.12,4110.58,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission
Salford City Council,2021-01-05,601295873,799.61,0,799.61,Ays Estates Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295955,1430,0,1430,Brighter Futures,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,1600659366,5967.71,994.62,4973.09,C P Davidson & Sons Ltd,Service Reform (Corp Bus & Transform),VMS Materials
Salford City Council,2021-01-05,1600659422,4200,700,3500,Capita Property & Infrastructure Lt,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-01-05,601295879,1515.02,0,1515.02,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295875,2020.03,0,2020.03,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295880,2020.03,0,2020.03,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295874,2525.04,0,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295876,2525.04,0,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295877,2525.04,0,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295878,2525.04,0,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295881,2525.04,0,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,1600659369,961.48,160.25,801.23,Ciceley Limited,Service Reform (Corp Bus & Transform),Stock Control (VMS)
Salford City Council,2021-01-05,601295942,995.9,0,995.9,Creative Support Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2021-01-05,601295937,8336,0,8336,Creative Support Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2021-01-05,601295936,1107.14,0,1107.14,Cromwood Housing Ltd,People (Childrens) Service Group,Rents
Salford City Council,2021-01-05,1600659361,185661.6,30943.6,154718,Dennis Eagle Limited,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-05,1600659362,185661.6,30943.6,154718,Dennis Eagle Limited,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-05,1600659365,185661.6,30943.6,154718,Dennis Eagle Limited,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-05,1600659364,198739.2,33123.2,165616,Dennis Eagle Limited,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-05,1600659360,227422.8,37903.8,189519,Dennis Eagle Limited,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-05,1600659372,800,0,800,Djg Consultancy And Training,People (Childrens) Service Group,Consultants
Salford City Council,2021-01-05,601295968,1700,0,1700,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,1600658627,5564.17,927.34,4636.83,Enterprise Flex E-Rent,Place Directorate,Annual Vehicle Hire
Salford City Council,2021-01-05,601295907,2414.51,0,2414.51,Fairtrade Properties Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,1600659384,64024.01,10670.67,53353.34,Helping Hands Minor Repairs Service,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2021-01-05,601295940,5687.87,0,5687.87,Home Instead Senior Care,People (Adults) - CHSC,Resid Care Home
Salford City Council,2021-01-05,1600659408,4500,750,3750,Kainos Software Ltd,Place Directorate,Subscriptions
Salford City Council,2021-01-05,1600659415,2050,0,2050,Lancashire County Council,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2021-01-05,601295902,636.26,0,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295903,636.26,0,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295872,547.1,0,547.1,Marshmallow Properties Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295844,865.25,0,865.25,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295850,874.82,0,874.82,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295851,874.82,0,874.82,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295855,899,0,899,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295843,1297.91,0,1297.91,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295847,1312.23,0,1312.23,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295853,1312.23,0,1312.23,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295858,1312.23,0,1312.23,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295905,1364.23,0,1364.23,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295842,1749.62,0,1749.62,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295849,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295859,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295860,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295861,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295862,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295906,1752.66,0,1752.66,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295846,2149.66,0,2149.66,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295856,2163.19,0,2163.19,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295863,6954.91,0,6954.91,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295837,18300,3050,15250,Quorum Estates Pension Fund Ltd,Place Directorate,Rents
Salford City Council,2021-01-05,601295882,1515.02,0,1515.02,Radnor Investments Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,1600659409,1440,240,1200,Reach Publishing Services Ltd,Service Reform (Corp Bus & Transform),Marketing/Publicity
Salford City Council,2021-01-05,601295939,2247.12,0,2247.12,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2021-01-05,601295943,3578.38,0,3578.38,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2021-01-05,601295938,28655.98,0,28655.98,Redacted Data,People (Adults) - CHSC,Home Helps
Salford City Council,2021-01-05,601295930,685,0,685,Redacted Data,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2021-01-05,601295868,508.6,0,508.6,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295898,508.6,0,508.6,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295867,536.56,0,536.56,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295870,547.1,0,547.1,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295869,550.99,0,550.99,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295883,550.99,0,550.99,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295885,570.43,0,570.43,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295889,590.8,0,590.8,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295884,592.88,0,592.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295901,592.88,0,592.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295904,592.88,0,592.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295871,610.23,0,610.23,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295896,776.87,0,776.87,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295909,776.87,0,776.87,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295892,805.29,0,805.29,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295897,912.51,0,912.51,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295866,1017.2,0,1017.2,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295908,1089.88,0,1089.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295900,1187.99,0,1187.99,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-01-05,601295835,47526.39,7921.2,39605.19,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2021-01-05,601295834,88713.13,14785.62,73927.51,Reed Specialist Recruitment Ltd,Service Reform (Corp Bus & Transform),Agency Fees
Salford City Council,2021-01-05,601295919,590.54,98.42,492.12,Royal Mail Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,601295933,900,0,900,Salford Community Leisure Ltd,Place Directorate,Payts to Vol Orgs
Salford City Council,2021-01-05,601295913,1351503.6,225250.6,1126253,Salford Community Leisure Ltd,Place Directorate,SCL management fee
Salford City Council,2021-01-05,1600659424,140512.2,23376.2,117136,Scarab Sweepers Ltd,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-05,1600659425,140512.2,23376.2,117136,Scarab Sweepers Ltd,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-05,601295969,5130,0,5130,Sms Coaching Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,601295960,1245.5,0,1245.5,The Citywall Project Community Inte,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,601295963,1316,0,1316,The Citywall Project Community Inte,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,601295965,1386.5,0,1386.5,The Citywall Project Community Inte,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,601295964,1433.5,0,1433.5,The Citywall Project Community Inte,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,601295967,1480.5,0,1480.5,The Citywall Project Community Inte,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,601295958,1762.5,0,1762.5,The Citywall Project Community Inte,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-05,1600659407,5640,940,4700,The Ideas Department Ltd,Place Directorate,Marketing/Publicity
Salford City Council,2021-01-06,601296033,1044,174,870,Alarm Ltd,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2021-01-06,1600659447,2388,398,1990,Alcumus Isoqar Ltd,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2021-01-06,1600659481,788.65,131.44,657.21,Allied Publicity Services (M/Cr),Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-01-06,1600659440,950.65,158.44,792.21,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment
Salford City Council,2021-01-06,1600659431,528.54,88.09,440.45,Barclay & Mathieson Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2021-01-06,1600652703,639.44,106.58,532.86,Beesley & Fildes Ltd,Place Directorate,Materials
Salford City Council,2021-01-06,1600659175,3599.58,0,3599.58,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-01-06,1600659442,6018.06,1003.01,5015.05,Christians Environmental,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2021-01-06,1600659438,21134.88,3522.48,17612.4,Econ Engineering Ltd,Place Directorate,Principal Road Maint
Salford City Council,2021-01-06,1600659439,10624.75,1770.79,8853.96,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2021-01-06,1600659445,1052.53,175.42,877.11,Estar Truck & Van Ltd,Service Reform (Corp Bus & Transform),VMS Materials
Salford City Council,2021-01-06,1600659493,9568.8,1594.8,7974,Facultatieve Technologies Ltd,Place Directorate,Prog Maint & Works
Salford City Council,2021-01-06,601296018,542.5,0,542.5,For Housing,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-06,601296019,3633,0,3633,Help2Rent Ltd,People (Adults) - CHSC,Premises Insurance
Salford City Council,2021-01-06,1600659469,694.28,115.71,578.57,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2021-01-06,1600659462,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2021-01-06,1600659467,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2021-01-06,1600659470,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2021-01-06,1600659461,829.03,138.17,690.86,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2021-01-06,601295979,4986,0,4986,Hodge Jones & Allen Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2021-01-06,1600659476,1436.47,239.41,1197.06,Killgerm Chemicals,Place Directorate,Chemicals
Salford City Council,2021-01-06,1600659475,598.8,99.8,499,Orchid Cellmark Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-06,1600659478,598.8,99.8,499,Orchid Cellmark Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-06,1600659480,7862.4,1310.4,6552,Phoenix Software Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2021-01-06,1600659472,6490,0,6490,Salford Community & Voluntary Servi,Place Directorate,Grants
Salford City Council,2021-01-06,1600659426,140512.2,23376.2,117136,Scarab Sweepers Ltd,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-01-06,1600659149,768,128,640,Shinevision Ltd,Place Directorate,Prog Maint & Works
Salford City Council,2021-01-06,601296028,-1032.83,0,-1032.83,Societe Generale Equipment Finance,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2021-01-06,601296027,4032.83,0,4032.83,Societe Generale Equipment Finance,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2021-01-06,601296015,699.98,116.66,583.32,Southern Electric,People (Childrens) Service Group,Electricity
Salford City Council,2021-01-06,1600659463,16624.01,2770.67,13853.34,Standard Fuel Oils Ltd,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2021-01-06,601296011,4788.18,0,4788.18,Summerville Primary School,Service Reform (Corp Bus & Transform),Premises Insurance
Salford City Council,2021-01-06,1600659486,658,0,658,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-06,1600659484,940,0,940,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-06,1600659488,1316,0,1316,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-06,1600659483,1480.5,0,1480.5,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-06,1600659489,3948,0,3948,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-06,1600659487,5264,0,5264,The Citywall Project Community Inte,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-06,1600659477,6701,0,6701,The Orchards Special Free School,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-01-06,1600659448,31668.13,0,31668.13,Trafford Domestic Abuse Services,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-01-07,601296088,7526.96,1254.49,6272.47,Aba Travels Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-01-07,1600659494,4896,816,4080,Accenture (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,2021-01-07,1600659498,4896,816,4080,Accenture (Uk) Ltd,Service Reform (Corp Bus & Transform),Computer Maintenance
Salford City Council,2021-01-07,601296100,2733.12,0,2733.12,Accident Exchange Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-01-07,6003174100,1382.76,0,1382.76,Adobe Acropro Subs,Service Reform (Corp Bus & Transform),Computer Software (no annual fee)
Salford City Council,2021-01-07,601296183,1334,0,1334,Airhosts4U Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-01-07,1600659590,576,96,480,Alan Franklin Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-01-07,1600659589,594,99,495,Alan Franklin Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-01-07,6003174108,2396.8,0,2396.8,Apm P1 Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-01-07,6003174058,2996,0,2996,Apm P1 Ltd,People (Adults) - CHSC,Rents
