Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-09-01,1600672881,4929,0,4929,Ability Cooperative Ltd,People (Adults) - CHSC,Grants
Salford City Council,2021-09-01,1600660573,3507.15,0,3507.15,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600662275,3509.13,0,3509.13,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600663552,3510.9,0,3510.9,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600664026,3510.9,0,3510.9,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600668042,3945.58,0,3945.58,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600669199,3945.58,0,3945.58,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600672436,3945.58,0,3945.58,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600665949,3945.98,0,3945.98,Central Manchester University,People (Childrens) Service Group,Other Salary Groups
Salford City Council,2021-09-01,1600672853,750,0,750,Chris Dennison Consulting Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-09-01,1600672846,800,0,800,Djg Consultancy And Training,People (Childrens) Service Group,Consultants
Salford City Council,2021-09-01,1600672874,9321,1553.5,7767.5,Esri (Uk) Limited,Service Reform (Corp Bus & Transform),Consultants
Salford City Council,2021-09-01,1600669523,1730.4,288.4,1442,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2021-09-01,1600668096,4428,738,3690,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2021-09-01,601329523,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329529,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329537,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329539,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329538,518.57,86.43,432.14,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329552,552,92,460,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329535,587.76,97.96,489.8,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329536,606.43,101.07,505.36,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329525,633.09,105.52,527.57,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329520,743.04,123.84,619.2,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329533,846.72,141.12,705.6,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329526,939.64,156.61,783.03,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329530,1003.65,167.27,836.38,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329528,1023.16,170.53,852.63,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329527,1241.09,206.85,1034.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329521,1254.63,209.1,1045.53,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329540,1300.31,216.72,1083.59,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329534,1328.37,221.39,1106.98,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,601329541,1434.36,239.06,1195.3,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-09-01,1600671691,122760,20460,102300,Ict Revolutions Ltd,Capital Expenditure,Purch of Comp Soft
Salford City Council,2021-09-01,1600669664,239100,39850,199250,Ict Revolutions Ltd,Capital Expenditure,Purch of Comp Soft
Salford City Council,2021-09-01,1600672882,335248.09,55874.68,279373.41,Landscape Engineering Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2021-09-01,1600672884,920.56,153.43,767.13,Northern Municipal Spares Ltd,Place Directorate,Stock Control (VMS)
Salford City Council,2021-09-01,601329557,555,0,555,Ralli Injury Lawyers,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-09-01,6003336671,542.6,0,542.6,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003336660,548.4,0,548.4,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003336697,597.6,0,597.6,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003337166,660,0,660,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-09-01,1600672873,750,0,750,Redacted Data,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-09-01,6003336719,840,0,840,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003337031,884.08,0,884.08,Redacted Data,People (Adults) - CHSC,Payt to care clients
Salford City Council,2021-09-01,6003336693,932,0,932,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003336932,1066.88,0,1066.88,Redacted Data,People (Adults) - CHSC,Payt to care clients
Salford City Council,2021-09-01,6003336635,1096.4,0,1096.4,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003336686,1117.6,0,1117.6,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003336639,1508.8,0,1508.8,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003337170,2137.6,0,2137.6,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-09-01,6003336625,3060.92,0,3060.92,Redacted Data,People (Adults) - CHSC,Res Pers Allow-Priv
Salford City Council,2021-09-01,6003337168,6591.77,0,6591.77,Redacted Data,People (Childrens) Service Group,Payt to care clients
Salford City Council,2021-09-01,1600672862,600,100,500,Small Steps Consultation Ltd,Place Directorate,Payts to Vol Orgs
Salford City Council,2021-09-01,1600672863,1200,200,1000,Small Steps Consultation Ltd,Place Directorate,Payts to Vol Orgs
Salford City Council,2021-09-01,6003336667,19506.64,0,19506.64,T/A Sage Care Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,2021-09-01,1600672838,7259.41,1209.9,6049.51,T/A Tudor Environmental,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2021-09-01,601329519,900,0,900,White Lodge Hotel,People (Adults) - CHSC,Rents
Salford City Council,2021-09-02,1600672902,8447.88,1407.98,7039.9,Aecom Ltd,Capital Expenditure,Ext Fees-Other
Salford City Council,2021-09-02,1600672937,1596.88,266.15,1330.73,Allied Publicity Services (M/Cr) Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-09-02,601329562,1125.6,53.6,1072,G & A Taylors Hotels Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-09-02,601329561,3450.83,164.33,3286.5,G & A Taylors Hotels Ltd,People (Adults) - CHSC,Rents
