ï»¿Directorate Name,Process Used,Purchasing Body,Contract Reference,Contract Title,Contract Description,Supplier Company Name,Supplier Postcode,Annual Value,Total Contract Value (including extensions),OJEU/FTS?,Start Date,End Date,Contract Duration (months),Option to extend (months),How many extensions,Extension 1 Taken?,Extension 2 Taken?,Current Expiry Date,SME Supplier?,ProClass Classification,ProClass Description,Company Number,Visibility
Place,RFQ,Salford City Council,S1417,3No. Underwater Dive Surveys for Principal Inspections,3No. Underwater Dive Surveys for Principal Inspections,Underwater Diving Services Ltd,LA14 2TB,5015.20,5015.20,No,2022-03-07,2022-03-07,0.3,0,0,N/A,N/A,2022-03-07,Yes,231810,Surveys,2535986,Public
Place,CSO Exception,Salford City Council,S1465,A5063 Trafford Road Improvements Metrolink Signals Work,A5063 Trafford Road Improvements Metrolink Signals Work,Keolis Amey Metrolink Limited,M8 0RY,15000.00,15000.00,No,2021-02-08,2021-08-06,6,0,0,N/A,N/A,2021-08-06,No,391400,Roads,9871073,Public
Place,CSO Exception,Salford City Council,S1465,A5063 Trafford Road Improvements Metrolink Signals Work - Extension,A5063 Trafford Road Improvements Metrolink Signals Work - Extension,Keolis Amey Metrolink Limited,M8 0RY,5000.00,5000.00,No,2022-04-04,2022-09-09,5,0,0,N/A,N/A,2022-09-09,No,391400,Roads,9871073,Public
Public Health,Other,Salford City Council,S1152,Active Lifestyle Service for Adults & Physical Activities in Schools,Active Lifestyles for Adults and Physical Activiity in Schools Service,Salford Community Leisure Ltd,M30 0EJ,190000.00,380000.00,No,2021-04-01,2022-03-31,12,12,1,Yes,,2023-03-31,No,290000,Arts & Leisure Services,IP29627R,Public
Place,Mini-Comp,Salford City Council,S1279,Additonal Associated Works for a Range of Housing Projects,Additonal Associated Works for a Range of Housing Projects,Seddon Construction Limited,BL4 0NN,80652.37,80652.37,No,2020-07-07,2022-03-31,18,0,0,N/A,N/A,2022-03-31,Yes,390000,"Works - Construction, Repair & Maintenance",172081,Public
People,CSO Exception,Salford City Council,S1161,After School and Holiday Activities for 11 to 18 year olds with Complex Disabilities,"A range of out of school activities for disabled children, including those with complex autism",Chatsworth School,M30 9DY,25000.00,125000.00,No,2017-04-01,2023-03-31,60,12,1,,,2023-03-31,Yes,321100,Social Community Care Supplies & Services - Children,GBML4119704,Public
Service Reform,Direct Call-Off,Salford City Council,S1262,AGMA Provision of Regional E-learning Portal,AGMA Provision of Regional E-learning Portal,Me Learning Ltd,BN43 5EG,28000.00,28000.00,No,2020-04-01,2023-03-31,24,12,2,Yes,Yes,2024-03-31,Yes,260000,Human Resources,5842638,Public
Place,ITT,Salford City Council,S1001,Air Quality Data Management,Lot 2,Ricardo-AEA Ltd,BN43 5FG,22900.00,91600.00,Yes,2021-09-01,2023-08-31,24,24,2,,,2023-08-31,No,180000,Environmental Services,8229264,Public
People,Other,Salford City Council,S1310,Alleviating Barries to Adult Education,Alleviating Barries to Adult Education,Economics Solutions Ltd t/a Manchester Growth Company,M1 5JW,50000.00,97500.00,No,2020-08-01,2022-07-31,24,12,1,Yes,,2022-07-31,Yes,321000,Social Community Care Supplies & Services - Adult,2443911,Public
People,CSO Exception,Salford City Council,S1037,Allied Health Professional Service for Children and Young People in Salford,"Including the provision of Speech & Language, Physiotherapy, Occupational Therapy and Audiology services.",Salford Royal NHS Foundation Trust,M6 8HD,427000.00,2135000.00,No,2017-04-01,2022-03-31,48,12,1,Yes,,2023-03-31,No,310000,Healthcare,CHA1049226,Public
Place,Other,Salford City Council,S1158,Annual Coarse Footway Network Survey,On Part of the Adopted Footway Network,Pavement Testing Services Limited,PR2 5AR,6240.00,6240.00,No,2021-04-01,2022-03-31,12,0,0,N/A,N/A,2022-03-31,Yes,230000,Highway Equipment & Materials,4374737,Public
Place,Other,Salford City Council,S1187,"Annual Control, Opertation, Maintenance, Inspection and Fault Response Service for the HV Transformer and Main LV Switch Gear","Annual Control, Opertation, Maintenance, Inspection and Fault Response Service for the HV Transformer and Main LV Switch Gear",Electricity North West,WA3 6XG,2739.00,10956.00,No,2019-09-02,2023-08-01,42,0,0,N/A,N/A,2023-08-01,No,370000,Utilities,7382637,Public
Regeneration,ITT,Salford City Council,S1096,Annual Maintenance Agreement based on Agreement 21st August 2006,Annual Maintenance Agreement based on Agreement 21st August 2006,Canal & River Trust,MK9 1BB,35000.00,3500000.00,Yes,2006-08-21,,1200,0,0,N/A,N/A,,No,390000,"Works - Construction, Repair & Maintenance",1146792,Public
Place,Direct Call-Off,Salford City Council,S1429,"Annual Water Quality Monitoring of Turning Basin Area, SQ","Annual Water Quality Monitoring of Turning Basin Area, SQ",APEM Ltd,SK4 3GN,9988.00,9988.00,No,2022-05-09,2022-10-31,6,0,0,N/A,N/A,2022-10-31,No,180000,Environmental Services,2530851,Public
Place,RFQ,Salford City Council,S1448,Anti-Climb Paint Refresh on Detroit Bridge,Anti-Climb Paint Refresh on Detroit Bridge,Coating Services Limited,SK14 1HF,7855.50,7855.50,No,2022-03-21,2022-03-25,0.25,0,0,N/A,N/A,2022-03-25,Yes,391411,Repair and Maintenance,3852483,Public
Place,Other,Salford City Council,S1157,Appointment of a Project and Programme Manager,Appointment of a Project and Programme Manager,AECOM,M1 4HD,100000.00,180000.00,No,2019-04-01,2022-10-31,24,12,1,Yes,N/A,2022-10-31,No,150000,Consultancy,1846493,Public
Place,Other,Salford City Council,S1254,Arboricultural Services,Arboricultural Services,GM Tree Station,M12 5FQ,130000.00,250000.00,Yes,2020-06-01,2023-03-31,22,24,2,Yes,,2023-03-31,Yes,240000,Horticultural,31552R,Public
Place,ITT,Salford City Council,S1033,Archaeological Planning Services for the AGMA Authorities,Archaeological Planning Services for the AGMA Authorities,The University of Salford,M5 4WT,130000.00,1560000.00,Yes,2020-04-01,2026-03-31,60,60,3,,,,No,180000,Environmental Services,RC000666,Public
Place,Direct Call-Off,Salford City Council,S1251,Architects Lead Design Consultancy for Pendleton Leisure Centre,Architects Lead Design Consultancy for Pendleton Leisure Centre,GT3 Architects,NG1 1LW,225529.00,225529.00,No,2021-02-08,2023-07-31,29,0,0,N/A,N/A,2023-07-31,Yes,150000,Consultancy,8045123,Public
Service Reform,CSO Exception,Salford City Council,S1010,Archive Services/Secure Off Site Storage,Archive Services/Secure Off Site Storage,Restore Scan Ltd,RH1 5DY,25000.00,75000.00,No,2018-04-01,2022-03-31,36,12,1,,,2022-03-31,Yes,190000,Facilities & Management Services,4624743,Public
