Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-08-01,51034488,1030.03,171.67,858.36,Sunlight,Environment and Community Safety,Laundry
Salford City Council,2013-08-01,51034503,1139.40,189.90,949.50,R N I B,Customer and Support Services,Disability Equipment
Salford City Council,2013-08-01,51034506,543.36,36.59,506.77,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2013-08-01,51034515,555.60,92.60,463.00,The Furnishing Service,Sustainable Regeneration,Furniture
Salford City Council,2013-08-01,601093542,636.68,0.00,636.68,Fostering Solutions Limited,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,601093612,954.00,159.00,795.00,Ncc Group,Customer and Support Services,Computer Software
Salford City Council,2013-08-01,601094535,3477.97,0.00,3477.97,Edf Energy Ltd,Environment and Community Safety,Electricity
Salford City Council,2013-08-01,601094616,1413.97,0.00,1413.97,Kids United Ltd,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2013-08-01,601094617,7360.97,0.00,7360.97,Life Opportunities,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2013-08-01,601094618,7360.97,0.00,7360.97,Life Opportunities,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2013-08-01,601094619,4918.25,0.00,4918.25,Life Opportunities,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2013-08-01,601094620,14721.94,0.00,14721.94,Life Opportunities,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2013-08-01,601094621,554.66,0.00,554.66,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2013-08-01,601094623,635.40,0.00,635.40,Xl Childcare,Children's Services,Grants
Salford City Council,2013-08-01,601094625,525.00,0.00,525.00,Fledglings Day Nursery,Children's Services,Grants
Salford City Council,2013-08-01,601094628,909.31,0.00,909.31,Redacted Data,"Community, Health & Social Care",Refunds
Salford City Council,2013-08-01,601094635,9250.00,0.00,9250.00,Tpc Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2013-08-01,601094639,2493.64,0.00,2493.64,Scott Rees & Co,Customer and Support Services,Liability Insurance
Salford City Council,2013-08-01,601094641,825.00,0.00,825.00,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,601094642,10833.33,0.00,10833.33,Belmont School Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,601094646,77746.54,12957.76,64788.78,Nsl Ltd,Sustainable Regeneration,Consult/Contractors
Salford City Council,2013-08-01,601094647,283020.12,47170.01,235850.11,Emanuel Whittakers Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-08-01,601094648,80662.80,13443.80,67219.00,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-08-01,601094649,85076.51,14179.58,70896.93,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-08-01,601094650,18407.87,3067.98,15339.89,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-08-01,601094658,80827.19,13471.20,67355.99,Urban Vision Partnership Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2013-08-01,601094678,38840.88,0.00,38840.88,Teachers Pensions (Albion Academy),Customer and Support Services,Optout TPS
Salford City Council,2013-08-01,601094680,50322.89,8387.15,41935.74,Williams Tarr Construction Limited,Capital Expenditure,Works & Building
Salford City Council,2013-08-01,601094681,1112.28,0.00,1112.28,Redacted Data,"Community, Health & Social Care",Home Helps
Salford City Council,2013-08-01,601094682,67311.79,11218.63,56093.16,G & J Seddon Ltd.,Capital Expenditure,Other Works
Salford City Council,2013-08-01,601094686,1195.09,199.18,995.91,Firemark Limited,Sustainable Regeneration,Fire Equipment
Salford City Council,2013-08-01,601094692,4000.00,0.00,4000.00,Lifecentre Salford,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2013-08-01,601094702,3201.00,0.00,3201.00,Tiny Tots Playgroup,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,601094703,873.00,0.00,873.00,Tinytots Vision Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,601094716,3313.52,552.25,2761.27,Urban Vision Partnership Ltd,Capital Expenditure,Other Works
Salford City Council,2013-08-01,1600469561,892.80,148.80,744.00,J Fletcher Engineers Ltd,Environment and Community Safety,UV Heat Rep
Salford City Council,2013-08-01,1600470326,9200.00,0.00,9200.00,The Broughton Trust,Office of the Chief Executive,Payts to Agencies
Salford City Council,2013-08-01,1600473162,1148.40,191.40,957.00,Hearing Products International,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-08-01,1600475480,3531.60,588.60,2943.00,Harvest Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-08-01,1600475491,806.70,134.45,672.25,Aidapt Bathrooms Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-08-01,1600476139,2094.00,349.00,1745.00,Richard L. Thomas Associates Ltd,Capital Expenditure,Works & Building
Salford City Council,2013-08-01,1600476732,945.60,157.60,788.00,Express Janitorial Limited,Children's Services,Cleaning Materials
Salford City Council,2013-08-01,1600476762,945.60,157.60,788.00,Express Janitorial Limited,Children's Services,Cleaning Materials
Salford City Council,2013-08-01,1600476763,945.60,157.60,788.00,Express Janitorial Limited,Children's Services,Cleaning Materials
Salford City Council,2013-08-01,1600476778,852.00,142.00,710.00,H Compsty & Son Ltd,Capital Expenditure,Works & Building
Salford City Council,2013-08-01,1600476779,5376.00,896.00,4480.00,Langford Roofing Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2013-08-01,1600476843,573.87,95.64,478.23,E & J Kane Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2013-08-01,1600476957,3720.00,620.00,3100.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-08-01,1600477075,967.68,161.28,806.40,Mitie Security Ltd,Sustainable Regeneration,Building Rep & Maint
Salford City Council,2013-08-01,1600477143,19020.67,0.00,19020.67,Cambian Signpost,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,1600477150,2627.61,437.94,2189.67,Speedy Products Ltd,Environment and Community Safety,Rents
Salford City Council,2013-08-01,1600477159,14167.00,0.00,14167.00,Footsteps A Path To Change Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,1600477161,14315.49,0.00,14315.49,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,1600477162,16507.50,0.00,16507.50,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,1600477168,14304.33,0.00,14304.33,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,1600477171,4526.00,0.00,4526.00,Horizon Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-08-01,1600477174,1851.36,308.56,1542.80,Morris & Alexander Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2013-08-01,1600477210,607.78,101.30,506.48,Arco (Manchester),Sustainable Regeneration,Clothing & Uniforms
Salford City Council,2013-08-01,1600477215,9544.98,0.00,9544.98,The Carers Federation Ltd,"Community, Health & Social Care",Reinvestments
Salford City Council,2013-08-01,1600477223,638.90,106.48,532.42,Phs Allclear,Children's Services,Cleaning Materials
Salford City Council,2013-08-01,1600477225,195406.25,0.00,195406.25,Big Life Centres,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2013-08-01,1600477231,945.60,157.60,788.00,Express Janitorial Limited,Children's Services,Cleaning Materials
Salford City Council,2013-08-01,1600477236,12280.80,2046.80,10234.00,Mitie Security Ltd,Environment and Community Safety,Security/Equipment
Salford City Council,2013-08-01,1600477245,3714.68,619.11,3095.57,Mitie Security Ltd,Sustainable Regeneration,Security Services
Salford City Council,2013-08-01,1600477246,1135.87,189.31,946.56,Mitie Security Ltd,Sustainable Regeneration,Security/Equipment
Salford City Council,2013-08-01,1600477247,4221.43,703.57,3517.86,Mott Macdonald Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2013-08-01,1600477249,506.16,84.36,421.80,Alliance Disposables Ltd,Sustainable Regeneration,Cleaning Materials
Salford City Council,2013-08-01,1600477373,2412.85,402.14,2010.71,Marlow Electrical Co,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2013-08-01,1600477404,2666.40,444.40,2222.00,"C. Masters Decorators Ltd.,","Community, Health & Social Care",Building Maintenance
Salford City Council,2013-08-01,1600477416,539.76,89.96,449.80,Aquatilers Ltd,Sustainable Regeneration,Dev Servs Day to Day
Salford City Council,2013-08-01,1600477514,1703.81,283.97,1419.84,Mitie Security Ltd,Sustainable Regeneration,Security Services
Salford City Council,2013-08-01,1600477519,679.20,113.20,566.00,Airborne Environmental Consultants,Capital Expenditure,Works & Building
Salford City Council,2013-08-01,1600477520,33800.84,5633.47,28167.37,Mitie Security Ltd,Sustainable Regeneration,Security Services
Salford City Council,2013-08-01,1600477521,10584.24,1764.04,8820.20,Mitie Security Ltd,Sustainable Regeneration,Security/Equipment
Salford City Council,2013-08-01,1600477526,792.08,132.01,660.07,Viridor Waste (Greater Manchester),Sustainable Regeneration,Refuse Disposal
Salford City Council,2013-08-01,1600477540,552.00,92.00,460.00,Go Plant Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2013-08-01,1600477978,18600.00,0.00,18600.00,Footsteps A Path To Change Ltd,Children's Services,Payts to Agencies
