Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2022-05-03,1600687743,1161.00,0.00,1161.00,A&B Taxis,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-05-03,1600687715,5986.10,997.68,4988.42,Apem Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2022-05-03,601398989,12174.00,0.00,12174.00,Bar Preservation,Service Reform (Corp Bus & Transform),Other Works,
Salford City Council,2022-05-03,1600685422,9357.60,1559.60,7798.00,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint,
Salford City Council,2022-05-03,1600687736,620.22,103.37,516.85,Bradshaw International,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2022-05-03,601398961,2125.59,0.00,2125.59,Clarion Housing Group Ltd,People (Adults) - CHSC,Grants,
Salford City Council,2022-05-03,1600687770,9426.60,1571.10,7855.50,Coating Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2022-05-03,1600687729,2640.00,0.00,2640.00,Csin Cic,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-05-03,601398957,50000.00,0.00,50000.00,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2022-05-03,601398962,916.70,0.00,916.70,Forviva,People (Adults) - CHSC,Grants,
Salford City Council,2022-05-03,601398960,1375.01,0.00,1375.01,Forviva,People (Adults) - CHSC,Grants,
Salford City Council,2022-05-03,601398917,2183.38,363.90,1819.48,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture,
Salford City Council,2022-05-03,1600687766,954.00,159.00,795.00,Ired Limited,Service Reform (Corp Bus & Transform),Miscellaneous Grants,
Salford City Council,2022-05-03,1600687617,9434.00,0.00,9434.00,Irk Valley Community School,People (Childrens) Service Group,Payts to Other LA's,
Salford City Council,2022-05-03,1600687794,2640.00,0.00,2640.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-05-03,1600687328,111785.04,18630.84,93154.20,Nsl Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2022-05-03,601398954,4500.00,0.00,4500.00,Old Hall Property Ltd,People (Adults) - CHSC,Rents,
Salford City Council,2022-05-03,1600687754,2120.00,0.00,2120.00,Oldham Mbc,Public Health,Payts to Agencies,
