Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L descript
Salford City Council,2019-12-02,601259714,14865.75,0,14865.75,Manchester City Mission,People (Adults) - CHSC,CRC-Community Supp
Salford City Council,2019-12-02,601259715,14865.75,0,14865.75,Manchester City Mission,People (Adults) - CHSC,CRC-Community Supp
Salford City Council,2019-12-02,601259716,14865.75,0,14865.75,Manchester City Mission,People (Adults) - CHSC,CRC-Community Supp
Salford City Council,2019-12-02,1600638152,2214,369,1845,Rbs Invoice Finance Limited,Place Directorate,del'd kitchen formul
Salford City Council,2019-12-02,6002940482,953.76,0,953.76,Www Elmhurstenergy Co Uk,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2019-12-02,6002940510,3180,0,3180,Www.Ideallodgings.Co.U,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2019-12-02,1600638627,3223.2,537.2,2686,Bloom Procurement Services Ltd,Capital expenditure,Ext Fees-Other
Salford City Council,2019-12-02,601259239,1559.52,259.92,1299.6,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-12-02,1600638425,70764.26,7636.63,63127.63,Manchester City Council,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2019-12-02,601259833,627,0,627,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2019-12-02,601258785,711,0,711,Blackpool Teaching Hospitals Nhs Ft,Public Health,Payts to Agencies
Salford City Council,2019-12-02,1600637358,1008,168,840,Carrington Riding Centre,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-12-02,1600638330,4158,693,3465,Carrington Riding Centre,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-12-02,1600637650,5750,0,5750,Lowton Junior & Infant School,People (Childrens) Service Group,Payts to Other LA's
Salford City Council,2019-12-02,601259834,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259835,2579.59,0,2579.59,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259836,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259837,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259838,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259839,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259840,1348.5,0,1348.5,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259841,2163.19,0,2163.19,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259842,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259843,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259847,686.83,0,686.83,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,6002940549,751,0,751,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,6002940641,763.66,0,763.66,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2019-12-02,601259713,2590.56,431.76,2158.8,Unique Specialist Services Group Lt,People (Adults) - CHSC,Security Services
Salford City Council,2019-12-02,1600637876,7831.44,1305.24,6526.2,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2019-12-02,1600637878,2547.36,424.56,2122.8,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2019-12-02,1600637880,5344.69,890.78,4453.91,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2019-12-02,1600637881,4549.38,758.23,3791.15,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2019-12-02,1600637882,5334.84,889.14,4445.7,Exclusec Group Ltd,Service Reform (Corp Bus & Transform),Security Services
Salford City Council,2019-12-02,601258764,576,96,480,Welcare Secure Escorts Ltd,People (Childrens) Service Group,Staffd Security Serv
Salford City Council,2019-12-02,1600638475,630.19,105.03,525.16,J Fletcher Engineers Ltd,Place Directorate,UV Heat Rep
Salford City Council,2019-12-02,1600638792,630,105,525,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2019-12-02,1600638793,672,112,560,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2019-12-02,1600638795,816,136,680,Gb Hoses,Place Directorate,Vehicle Maintenance
Salford City Council,2019-12-03,6002945527,1398,0,1398,A Venning Ltd,Place Directorate,Equipment Maint'ce
Salford City Council,2019-12-03,1600637892,543.72,90.62,453.1,T/A Tudor Environmental,Place Directorate,Equipment Purchase
Salford City Council,2019-12-03,6002945612,780,0,780,Trp7 Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2019-12-03,6002945757,1637.24,0,1637.24,Quayside Bakery,Place Directorate,Food and Refreshments
Salford City Council,2019-12-03,6002945702,4480,0,4480,Approved Property Mana,People (Childrens) Service Group,Food and Refreshments
Salford City Council,2019-12-03,6002945802,584.68,0,584.68,Ralph Livesey Ltd,Place Directorate,Food and Refreshments
Salford City Council,2019-12-03,6002950650,620.48,0,620.48,Brake Bros Ltd,Place Directorate,Food and Refreshments
Salford City Council,2019-12-03,6002951113,1178.21,0,1178.21,Brake Bros Ltd,Place Directorate,Food and Refreshments
Salford City Council,2019-12-03,6002951430,507.35,0,507.35,Brake Bros Ltd,Place Directorate,Food and Refreshments
Salford City Council,2019-12-03,1600638585,3696,616,3080,Dolphin Mobility Ltd,Capital expenditure,Improvement Grants
Salford City Council,2019-12-03,601258988,1267,0,1267,Child Action Northwest,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2019-12-03,1600638306,3600,600,3000,Pricewaterhousecoopers Llp,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2019-12-03,1600638882,725270,0,725270,Gmw Mental Health Nhs Ft,Public Health,Payts to Agencies
Salford City Council,2019-12-03,601259864,11627.53,0,11627.53,Redacted Data,People (Childrens) Service Group,Pension Increase Act
Salford City Council,2019-12-03,601259862,1152.34,0,1152.34,Chantelle Holmes,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2019-12-03,601259863,1152.34,0,1152.34,Chantelle Holmes,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2019-12-03,1600638866,967.2,161.2,806,Tynetec Limited,Capital expenditure,Purch of Furn/Equip
Salford City Council,2019-12-03,601258938,84274,0,84274,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-03,601258997,3410,0,3410,Hawthorn Hotel,People (Childrens) Service Group,Rents
Salford City Council,2019-12-03,601259084,1440,0,1440,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2019-12-03,601259859,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2019-12-03,6002945653,800,0,800,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2019-12-03,601259857,3306.24,551.04,2755.2,Cc2I Ltd,Service Reform (Corp Bus & Transform),Training expenses
Salford City Council,2019-12-03,1600638155,797.92,132.98,664.94,Click Fire & Security Ltd - 24 Acco,Place Directorate,UV Light/Fire
Salford City Council,2019-12-03,1600638215,562.8,93.8,469,P F Cusack (Tools Supplies) Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2019-12-03,1600638223,2356.82,392.8,1964.02,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2019-12-03,1600638851,600,100,500,Lodge Tyre Co.Ltd,Capital expenditure,Vehicle Maintenance
Salford City Council,2019-12-03,1600637899,1213.2,202.2,1011,Fingertip Solutions Ltd,Capital expenditure,Works & Building
Salford City Council,2019-12-03,1600638165,1080,180,900,Life Environmental Services Ltd,Capital expenditure,Works & Building
Salford City Council,2019-12-04,601259045,1440,240,1200,Axcis Education Recruitment,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-12-04,601259050,1488.31,248.05,1240.26,Protocol Education,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-12-04,1600638196,558.1,93.02,465.08,Northgate Vehicle Hire (Nw) Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2019-12-04,1600638201,823.91,137.32,686.59,Enterprise Flex E-Rent,Place Directorate,Annual Vehicle Hire
Salford City Council,2019-12-04,601258696,2000,0,2000,Jdp Educational Consultant Ltd,People (Childrens) Service Group,Consultants
Salford City Council,2019-12-04,1600638883,37743.11,6290.52,31452.59,Barcanet Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2019-12-04,1600638884,10302.4,1717.07,8585.33,Barcanet Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2019-12-04,6002945778,655,0,655,Www.Tradeskills4u.Co.U,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2019-12-04,601259472,5042.06,840.34,4201.72,Paypoint Network Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2019-12-04,1600638584,4590,765,3825,Dolphin Mobility Ltd,Capital expenditure,Improvement Grants
