Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-04-01,601315458,700,0,700,110 Percent Exhibitions Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315665,667,0,667,3Rd/1St Eccles Scout Group,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315666,667,0,667,3Rd/1St Eccles Scout Group,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315446,700,0,700,Abc Coach Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,1600664138,11526.67,0,11526.67,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663821,11631.13,0,11631.13,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664132,11631.13,0,11631.13,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663820,11706.59,0,11706.59,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664131,11706.59,0,11706.59,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663823,11860.94,0,11860.94,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663824,11860.94,0,11860.94,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664134,11860.94,0,11860.94,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664137,11860.94,0,11860.94,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663819,12771,0,12771,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663822,12771,0,12771,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663826,12771,0,12771,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663829,12771,0,12771,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664135,12771,0,12771,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664139,12771,0,12771,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663828,13141.36,0,13141.36,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664400,15027.33,0,15027.33,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663840,15027.34,0,15027.34,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663834,19356.33,0,19356.33,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663825,21429,0,21429,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663836,23666.67,0,23666.67,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663830,23685.66,0,23685.66,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663827,23685.67,0,23685.67,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663833,23685.67,0,23685.67,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600663838,23685.67,0,23685.67,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2021-04-01,1600664410,3000,500,2500,Aecom Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2021-04-01,601314921,40656,6776,33880,Alexander House / Care / Housing,People (Adults) - CHSC,Rents
Salford City Council,2021-04-01,1600664418,1020,170,850,Apem Ltd,Place Directorate,Gen Contractor Work
Salford City Council,2021-04-01,601315255,934,0,934,Art Imaging Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315256,2250,0,2250,Art Imaging Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315661,1000,0,1000,Asian Cuisine Restaurant Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315662,1000,0,1000,Asian Cuisine Restaurant Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,1600664420,3750,0,3750,Autistic Society Gtr Manchester,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-04-01,601315351,2250,0,2250,Barr Hill Junior Football Club,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315697,667,0,667,Beechfield United Football Club,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315698,667,0,667,Beechfield United Football Club,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,1600664484,614.07,102.34,511.73,Beesley & Fildes Ltd,Place Directorate,Equipment Purchase
Salford City Council,2021-04-01,601315675,667,0,667,Benjamin Eckstein T/A Park Hall,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315676,667,0,667,Benjamin Eckstein T/A Park Hall,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315687,667,0,667,Benjamin Eckstein T/A Park Hall,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315688,667,0,667,Benjamin Eckstein T/A Park Hall,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315372,1334,0,1334,Benjamin Eckstein T/A Park Hall,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2021-04-01,601315375,2001,0,2001,Benjamin Eckstein T/A Park Hall,Service Reform (Corp Bus & Transform),Grants
