Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-02-01,1600660891,1500,250,1250,Alan Franklin Builders Ltd,People (Childrens) Service Group,UV Vandalism,
Salford City Council,2021-02-01,1600660870,1463.65,243.94,1219.71,Amey Map Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-02-01,1600660901,6361.75,1060.29,5301.46,Apem Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2021-02-01,601303349,3750,0,3750,Autistic Society Gtr Manchester,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,1600660888,679.73,113.29,566.44,Beesley & Fildes Ltd,Place Directorate,Materials,
Salford City Council,2021-02-01,1600660866,5592.64,930.44,4662.2,Bevan Brittan Llp,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-02-01,1600660868,9535.32,1589.22,7946.1,Bevan Brittan Llp,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-02-01,1600660867,10005.72,1667.62,8338.1,Bevan Brittan Llp,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2021-02-01,601303371,874.5,0,874.5,Big Steps Playgroup,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303373,699.6,0,699.6,Bnos Yisroel Schools Manchester Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303375,1311.75,0,1311.75,Care Chiefs,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303313,756,126,630,Carrington Riding Centre,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,1600660862,3412.49,568.75,2843.74,Certas Energy Uk Ltd / Emo Oil Ltd,Place Directorate,Fuel Oil,
Salford City Council,2021-02-01,1600660869,1350,225,1125,Cipfa Business Ltd,Place Directorate,Subscriptions,
Salford City Council,2021-02-01,601303418,961.95,0,961.95,Clk Childcare Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303326,642,0,642,Csin Cic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303332,1123.5,0,1123.5,Csin Cic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303333,1551.5,0,1551.5,Csin Cic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303324,1605,0,1605,Csin Cic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303325,1605,0,1605,Csin Cic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303327,1605,0,1605,Csin Cic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303330,1979.5,0,1979.5,Csin Cic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303362,1136.85,0,1136.85,Dukesgate Academy,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303337,3020,0,3020,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303339,4450,0,4450,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,1600660907,2214,369,1845,Entrus Ltd,Place Directorate,UV Dec&Flr,
Salford City Council,2021-02-01,1600660899,1145.27,190.88,954.39,Facultatieve Technologies Ltd,Place Directorate,Prog Maint & Works,
Salford City Council,2021-02-01,1600660900,1713.86,285.65,1428.21,Facultatieve Technologies Ltd,Place Directorate,Prog Maint & Works,
Salford City Council,2021-02-01,601303447,840,0,840,Folly Brook Nursery Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-02-01,601303402,612.15,0,612.15,Folly Brook Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider,
Salford City Council,2021-02-01,601303454,-2032.5,0,-2032.5,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303345,513.22,0,513.22,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2021-02-01,601303321,603.4,0,603.4,Forbes Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
