Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2022-03-01,1600682228,637.92,106.32,531.60,Bilway Marine Ltd,Place Directorate,UV Day to Day,
Salford City Council,2022-03-01,601343881,1777.50,0.00,1777.50,Carter And Carter Solicitors,Service Reform (Corp Bus & Transform),Liability Insurance,
Salford City Council,2022-03-01,1600683341,7043.52,1173.92,5869.60,Certas Energy Uk Ltd / Emo Oil Ltd,Place Directorate,BuildingSecurity/Eqt,
Salford City Council,2022-03-01,1600683372,1902.00,317.00,1585.00,Coating Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2022-03-01,1600683336,12582.00,2097.00,10485.00,Djs Research Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2022-03-01,1600683321,1179.51,196.58,982.93,Firemark Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint,
Salford City Council,2022-03-01,601343882,23000.00,0.00,23000.00,Irlam Endowed Primary School,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2022-03-01,1600683368,2542.80,423.80,2119.00,James Fisher Testing Services Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2022-03-01,1600683342,630.00,105.00,525.00,Lasa Charity Uk Ltd,People (Adults) - CHSC,Recruitment Advert.,
Salford City Council,2022-03-01,1600683343,3300.00,0.00,3300.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-01,1600683346,1260.00,0.00,1260.00,National Offender Management Servic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-01,1600683348,8505.00,0.00,8505.00,National Offender Management Servic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-01,1600683349,5985.00,0.00,5985.00,National Offender Management Servic,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-01,601343873,9520.00,0.00,9520.00,New Care Worsley (Opco) Ltd,People (Adults) - CHSC,Resid Care Home,
Salford City Council,2022-03-01,1600683352,1319.99,220.00,1099.99,Nottingham Rehab Ltd,People (Childrens) Service Group,Equipment Purchase,
Salford City Council,2022-03-01,601343879,14365.00,0.00,14365.00,Paypoint Plc,People (Adults) - CHSC,Gas,
Salford City Council,2022-03-01,601343872,4980.00,0.00,4980.00,Rayman Group Ltd,People (Adults) - CHSC,Resid Care Home,
Salford City Council,2022-03-01,601343869,1323.04,0.00,1323.04,Redaction,People (Adults) - CHSC,Home Helps,
Salford City Council,2022-03-01,601343871,2312.41,0.00,2312.41,Redaction,People (Adults) - CHSC,Home Helps,
Salford City Council,2022-03-01,601343874,560.00,0.00,560.00,Redaction,People (Adults) - CHSC,Home Helps,
Salford City Council,2022-03-01,601343875,15355.00,0.00,15355.00,Redaction,People (Adults) - CHSC,Home Helps,
Salford City Council,2022-03-01,601343876,7470.00,0.00,7470.00,Redaction,People (Adults) - CHSC,Home Helps,
Salford City Council,2022-03-01,601343877,10375.00,0.00,10375.00,Redaction,People (Adults) - CHSC,Home Helps,
Salford City Council,2022-03-01,1600683358,4671.00,0.00,4671.00,Salford Community Leisure Ltd,People (Childrens) Service Group,Training of Others,
Salford City Council,2022-03-01,1600683361,9852.00,1642.00,8210.00,Sico Europe Ltd,Place Directorate,del'd kitchen formul,
Salford City Council,2022-03-01,1600679843,3829.38,638.23,3191.15,Softcat Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee,
Salford City Council,2022-03-01,1600680917,3619.97,603.33,3016.64,Softcat Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee,
Salford City Council,2022-03-01,1600682837,3809.72,634.95,3174.77,Softcat Limited,Service Reform (Corp Bus & Transform),IT  Licence Fee,
Salford City Council,2022-03-01,1600683317,2779.50,0.00,2779.50,T/A Greater Manchester Travelcards,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-01,1600683319,926.50,0.00,926.50,T/A Greater Manchester Travelcards,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-01,1600683315,4910.40,818.40,4092.00,Tameside Mbc C/O Gmeu,Service Reform (Corp Bus & Transform),Ext Fees-Other,
Salford City Council,2022-03-01,601343884,941.16,0.00,941.16,The Floorbrite Group Limited,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-01,601343883,1010.75,0.00,1010.75,Toasted Productions,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-01,1600683362,4200.00,700.00,3500.00,Wasafiri Consulting Ltd,Public Health,Payts to Agencies,
Salford City Council,2022-03-01,1600683333,2495.00,0.00,2495.00,Wigan & Leigh College,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2022-03-01,1600683326,3120.00,520.00,2600.00,Young Programme Events Ltd.,Service Reform (Corp Bus & Transform),Training of Others,
Salford City Council,2022-03-02,1600683451,3090.04,94.92,2995.12,1010 Taxis,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2022-03-02,601343987,1000.00,0.00,1000.00,A4 Building Services Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601344005,1000.00,0.00,1000.00,Andrea Caldwell T/A Bottomleys,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343997,1000.00,0.00,1000.00,Ant Trading Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683553,6190.80,1031.80,5159.00,Apem Ltd,Place Directorate,Gen Contractor Work,
Salford City Council,2022-03-02,601343938,2500.00,0.00,2500.00,Apex Computing Services Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683472,528.00,88.00,440.00,Ashbrook (Warrington) Ltd,Place Directorate,Annual Vehicle Hire,
Salford City Council,2022-03-02,601343999,2500.00,0.00,2500.00,Avinat Llp,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343982,2667.00,0.00,2667.00,B And M Restaurant Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601344003,2500.00,0.00,2500.00,Bais Malka Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343943,2500.00,0.00,2500.00,Bbs Window Blinds,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683527,762.90,127.15,635.75,Bradshaw International,Service Reform (Corp Bus & Transform),Works & Building,
Salford City Council,2022-03-02,1600683544,4981.20,830.20,4151.00,Burrell Consulting Ltd,Place Directorate,Other Prof Fees,
Salford City Council,2022-03-02,601344006,1000.00,0.00,1000.00,Business Intel Pro,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683412,6000.00,1000.00,5000.00,Buymemedia,People (Adults) - CHSC,Marketing/Publicity,
Salford City Council,2022-03-02,601343978,2667.00,0.00,2667.00,Cadishead Public Band Building Fune,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,601343950,2667.00,0.00,2667.00,Cafe Ninteen Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2022-03-02,1600683418,1592.32,265.39,1326.93,Capita Business Services Ltd,Place Directorate,Print & Photocopying,
Salford City Council,2022-03-02,601343914,564.42,94.07,470.35,Capita Translation And Interpreting,Service Reform (Corp Bus & Transform),Translation Services,
