Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2014-04-01,601108703,1050.00,0.00,1050.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-01,601110089,5785.80,0.00,5785.80,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,601111189,1176.82,0.00,1176.82,Redacted Data,"Community, Health & Social Care",Rents
Salford City Council,2014-04-01,601111550,3445.34,0.00,3445.34,Excel Fostering,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,601111672,14000.00,0.00,14000.00,Nugent Care,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,601111785,2140.00,356.67,1783.33,Eddisons Commercial,Environment and Community Safety,Rents
Salford City Council,2014-04-01,601111848,9284.00,0.00,9284.00,Disclosure & Barring Service,Customer and Support Services,Other Prof Fees
Salford City Council,2014-04-01,601112605,779.80,129.96,649.84,Nas Services Ltd,"Community, Health & Social Care",Day Care
Salford City Council,2014-04-01,601112608,1949.01,0.00,1949.01,Age Concern,Customer and Support Services,Grants
Salford City Council,2014-04-01,601112613,2043.46,340.57,1702.89,E & J Kane Ltd,Children's Services,Works & Building
Salford City Council,2014-04-01,601112614,1027.36,31.38,995.98,Eon Energy Ltd,Children's Services,Electricity
Salford City Council,2014-04-01,601112618,546.00,91.00,455.00,Safecare Services Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,601112679,543.36,0.00,543.36,Redacted Data,"Community, Health & Social Care",Sessional
Salford City Council,2014-04-01,601112709,2225.28,0.00,2225.28,Outreach Community & Res Service,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-04-01,601112710,2225.28,0.00,2225.28,Outreach Community & Res Service,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-04-01,601112714,869.04,0.00,869.04,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112715,3148.08,0.00,3148.08,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112716,570.16,0.00,570.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112718,1962.64,0.00,1962.64,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112719,795.60,0.00,795.60,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112720,656.32,0.00,656.32,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112722,567.48,0.00,567.48,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112723,644.32,0.00,644.32,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112725,781.04,0.00,781.04,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112726,851.52,0.00,851.52,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112728,553.52,0.00,553.52,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112732,695.24,0.00,695.24,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112733,638.64,0.00,638.64,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112734,541.16,0.00,541.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112735,927.92,0.00,927.92,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112737,1423.12,0.00,1423.12,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112738,709.60,0.00,709.60,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112741,579.96,0.00,579.96,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112742,709.60,0.00,709.60,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112745,603.16,0.00,603.16,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112746,1099.88,0.00,1099.88,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2014-04-01,601112765,781.63,0.00,781.63,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-04-01,601112768,3666.00,0.00,3666.00,Salford Heart Care,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2014-04-01,601112772,1461.60,0.00,1461.60,Sunny Days Childrens Nursery,Children's Services,Grants
Salford City Council,2014-04-01,601112774,909.64,0.00,909.64,Redacted Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2014-04-01,601112796,3042.64,0.00,3042.64,Ormerod Home Trust Ltd,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-04-01,1600497504,34028.70,5671.45,28357.25,Unique Improvements Ltd,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2014-04-01,1600499094,3885.84,647.64,3238.20,Itn Mark Education,Children's Services,Agency Fees
Salford City Council,2014-04-01,1600499096,1470.00,245.00,1225.00,Triangle Consulting Social,Children's Services,Training expenses
Salford City Council,2014-04-01,1600499107,846.45,0.00,846.45,Swiis Fostercare Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499120,2160.00,360.00,1800.00,Equinox Film And Tv Ltd,"Community, Health & Social Care",Marketing/Publicity
Salford City Council,2014-04-01,1600499337,3265.50,0.00,3265.50,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499338,4239.00,0.00,4239.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499374,2160.00,360.00,1800.00,The Pixl Club Ltd,Children's Services,Subscriptions
Salford City Council,2014-04-01,1600499400,1679.04,279.84,1399.20,Chubb Systems Ltd,Sustainable Regeneration,Equipment Purchase
Salford City Council,2014-04-01,1600499408,2880.00,480.00,2400.00,Harvest Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-01,1600499415,2916.67,0.00,2916.67,St Helens MBC,Children's Services,Payts to Other LA's
Salford City Council,2014-04-01,1600499429,2616.00,436.00,2180.00,James Leckey Design Ltd,"Community, Health & Social Care",Epuipment-paediatric
Salford City Council,2014-04-01,1600499449,4239.00,0.00,4239.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499454,515.78,0.00,515.78,Fairfield Care Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499481,17714.02,0.00,17714.02,Courtyard Care Group,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499482,3200.70,0.00,3200.70,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499489,3210.00,0.00,3210.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499490,4173.00,0.00,4173.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499491,3132.60,0.00,3132.60,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499492,4108.74,0.00,4108.74,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499493,3265.50,0.00,3265.50,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600499639,689.26,114.88,574.38,F. R. Sharrock Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2014-04-01,1600499905,630.00,105.00,525.00,Jamieson Contracting (Mcr) Ltd,Children's Services,Building Rep & Maint
Salford City Council,2014-04-01,1600500005,2073.60,345.60,1728.00,Harvest Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-04-01,1600500374,3234.75,0.00,3234.75,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600500375,4108.74,0.00,4108.74,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600500423,4111.83,0.00,4111.83,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600500491,1013.29,0.00,1013.29,Express Grass,"Community, Health & Social Care",Horticultural/GMaint
Salford City Council,2014-04-01,1600500518,2770.36,461.73,2308.63,G4S Cash Solutions Uk Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2014-04-01,1600500521,3540.00,0.00,3540.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600500522,3049.50,0.00,3049.50,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600500523,3210.00,0.00,3210.00,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600500724,6932.34,1155.39,5776.95,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-04-01,1600500993,1493.28,0.00,1493.28,Fostering Outcomes Ltd,Children's Services,Payts to Agencies
Salford City Council,2014-04-01,1600501044,4162.50,693.75,3468.75,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-04-01,1600501077,6095.10,1015.85,5079.25,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2014-04-01,1600501081,1571.62,261.94,1309.68,Chubb Systems Ltd,Sustainable Regeneration,Security Sys R & Mnt
Salford City Council,2014-04-01,1600501498,16365.85,2727.64,13638.21,E & J Kane Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-04-01,1600501499,13207.07,2201.18,11005.89,E & J Kane Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2014-04-01,1600501895,690.00,115.00,575.00,Tribune Avs Ltd,Environment and Community Safety,Security Sys R & Mnt
Salford City Council,2014-04-01,1600502039,143648.70,23941.45,119707.25,Horticon Ltd,Capital Expenditure,Pay to Ctrs-Landscap
Salford City Council,2014-04-01,1600502040,515.14,85.86,429.28,Bradshaw International,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2014-04-01,1600502054,2800.00,0.00,2800.00,Yesoiday Hatorah School,Children's Services,Payts to Other LA's
Salford City Council,2014-04-02,601111287,6550.56,0.00,6550.56,Abbotsound Limited,"Community, Health & Social Care",Day Care
Salford City Council,2014-04-02,601111545,580.00,0.00,580.00,Barnardos North West,Children's Services,Rents
Salford City Council,2014-04-02,601111921,89541.57,14923.59,74617.98,Capita Business Services Ltd,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-04-02,601112786,772.50,0.00,772.50,Travel By Myles,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,601112787,922.50,0.00,922.50,Travel By Myles,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,601112788,1086.12,0.00,1086.12,Travel By Myles,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,601112789,1627.50,0.00,1627.50,Travel By Myles,Children's Services,Pupil Assistance
Salford City Council,2014-04-02,601112798,27417.00,0.00,27417.00,Bolton Council,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2014-04-02,601112806,3265.41,544.23,2721.18,Nas Services Ltd,"Community, Health & Social Care",Day Care
Salford City Council,2014-04-02,601112807,1984.66,330.76,1653.90,Public Health England,Environment and Community Safety,Sampling
Salford City Council,2014-04-02,601112808,2992.53,498.73,2493.80,Public Health England,Environment and Community Safety,Sampling
Salford City Council,2014-04-02,601112814,2500.00,416.67,2083.33,Northgate Information Solutions,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-04-02,601112819,8000.00,0.00,8000.00,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112820,4350.00,0.00,4350.00,Gorvins Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112821,1003.97,0.00,1003.97,Redacted Data,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112823,11400.00,0.00,11400.00,N W Law Limited,Customer and Support Services,Liability Insurance
Salford City Council,2014-04-02,601112824,3400.00,0.00,3400.00,Redacted Data,Customer and Support Services,Liability Insurance
