Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2014-09-01,1600513798,3300,550,2750,Complete Background Screening Ltd,Customer and Support Services,Computer Software
Salford City Council,2014-09-01,1600513071,852,142,710,Harvest Healthcare,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-09-01,1600513812,780.18,130.03,650.15,Helping Hand Company,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-09-01,1600513186,1224.01,204,1020.01,Lisclare Limited,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-09-01,1600513789,3378.3,563.05,2815.25,Prism Medical Uk,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-09-01,601123629,514.99,0,514.99,Redacted Data,Capital Expenditure,Disturbance Payments
Salford City Council,2014-09-01,1600513001,18090,3015,15075,Parkeon Ltd,Sustainable Regeneration,Electricity
Salford City Council,2014-09-01,1600513775,604.19,100.7,503.49,Nrs Healthcare,"Community, Health & Social Care",Epuipment-paediatric
Salford City Council,2014-09-01,601123598,39650,0,39650,Street Uk Homes Ltd,Capital Expenditure,Equity Loans
Salford City Council,2014-09-01,601123599,66400,0,66400,Street Uk Homes Ltd,Capital Expenditure,Equity Loans
Salford City Council,2014-09-01,1600514004,4862.7,810.45,4052.25,Donald Insall Associates Ltd,Capital Expenditure,Ext Fees-Architects
Salford City Council,2014-09-01,1600513944,1739.86,289.98,1449.88,Openreach,Capital Expenditure,Ext Fees-E & M Engs
Salford City Council,2014-09-01,1600513728,1000,0,1000,Carrilion Training Services,Children's Services,External Audit Fees
Salford City Council,2014-09-01,1600513791,1000,0,1000,Carrilion Training Services,Children's Services,External Audit Fees
Salford City Council,2014-09-01,1600513792,1000,0,1000,Carrilion Training Services,Children's Services,External Audit Fees
Salford City Council,2014-09-01,1600513793,1000,0,1000,Carrilion Training Services,Children's Services,External Audit Fees
Salford City Council,2014-09-01,1600513794,1000,0,1000,Carrilion Training Services,Children's Services,External Audit Fees
Salford City Council,2014-09-01,1600513795,1000,0,1000,Carrilion Training Services,Children's Services,External Audit Fees
Salford City Council,2014-09-01,601123660,1290,0,1290,Environment Agency,Capital Expenditure,External Fees-Other
Salford City Council,2014-09-01,601123580,681.48,0,681.48,Budding Wood Day Nursery,Children's Services,Grants
Salford City Council,2014-09-01,601123582,795.06,0,795.06,The Manse Day Nursery,Children's Services,Grants
Salford City Council,2014-09-01,601123600,950.34,0,950.34,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-09-01,601123601,3430.04,0,3430.04,Redacted Data,Capital Expenditure,Home Loss Payments
Salford City Council,2014-09-01,1600513013,26051.12,4341.85,21709.27,Oracle Corporation Uk Limited,Customer and Support Services,IT  Licence Fee
Salford City Council,2014-09-01,1600513990,5499.58,916.6,4582.98,Manchester City Council,Capital Expenditure,Legal Fees
Salford City Council,2014-09-01,601123634,8000,0,8000,Berry & Berry Solicitors,Customer and Support Services,Liability Insurance
