Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-10-01,601331561,2535.65,0.00,2535.65,Accident Exchange Ltd,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-10-01,1600673643,19157.98,3193.00,15964.98,Aecom Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2021-10-01,1600674374,6190.80,1031.80,5159.00,Apem Ltd,Place Directorate,Gen Contractor Work
Salford City Council,2021-10-01,1600674409,11940.00,1990.00,9950.00,Barratt & Hughes Flooring,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-10-01,1600674370,3075.60,512.60,2563.00,Broxap Ltd,Service Reform (Corp Bus & Transform),Pmnt to Ctrs-Improv
Salford City Council,2021-10-01,601331532,725.00,0.00,725.00,Department Of Work & Pensions,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2021-10-01,601331533,743.00,0.00,743.00,Department Of Work & Pensions,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2021-10-01,1600674408,4074.00,679.00,3395.00,Dolphin Mobility Ltd,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2021-10-01,1600674405,1041.60,173.60,868.00,Dpp One Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2021-10-01,601331524,540.00,90.00,450.00,Educ8,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-10-01,601331562,663.00,0.00,663.00,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-10-01,601331563,672.07,112.01,560.06,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-10-01,1600673817,16779.00,2796.50,13982.50,Gl Education Group,People (Childrens) Service Group,Materials
Salford City Council,2021-10-01,1600674381,6210.00,1035.00,5175.00,Good Sense (Conflict Resolution),People (Childrens) Service Group,Training expenses
Salford City Council,2021-10-01,1600673789,13414.32,2235.72,11178.60,Halton Container Services Ltd,Place Directorate,Equipment Repair
