Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2022-04-01,601347442,565.20,94.20,471.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-04-01,601347441,1242.00,207.00,1035.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-04-01,601347446,606.00,101.00,505.00,Salford Supply Desk Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-04-01,1600685917,745.72,124.29,621.43,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2022-04-01,1600685923,745.72,124.29,621.43,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2022-04-01,1600685916,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2022-04-01,1600685922,770.57,128.43,642.14,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2022-04-01,1600685915,860.92,143.49,717.43,Hireway Vehicle Rentals Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2022-04-01,1600685849,576.00,96.00,480.00,Associated Cleaning Contractors Ltd,People (Childrens) Service Group,Cleaning Services
Salford City Council,2022-04-01,1600685757,1431.00,238.50,1192.50,Associated Cleaning Contractors Ltd,People (Childrens) Service Group,Cleaning Services
Salford City Council,2022-04-01,1600685856,3480.72,105.64,3375.08,1010 Taxis,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2022-04-01,1600685877,562.22,93.70,468.52,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2022-04-01,1600685873,623.59,103.93,519.66,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2022-04-01,1600685874,2061.52,343.59,1717.93,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2022-04-01,1600685889,2160.00,360.00,1800.00,M & A Brown (Engravers) Ltd,Place Directorate,Contractors
Salford City Council,2022-04-01,6003462995,9881.26,0.00,9881.26,Care Direct Salford Ltd,People (Adults) - CHSC,Day Care
Salford City Council,2022-04-01,601347434,1620.00,270.00,1350.00,Redacted Data,Place Directorate,del'd kitchen formul
Salford City Council,2022-04-01,1600685848,570.00,95.00,475.00,Central Tools & Pressings Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2022-04-01,1600685907,943.20,157.20,786.00,A  Venning Ltd,Place Directorate,Equipment Repair
Salford City Council,2022-04-01,601347563,557.30,0.00,557.30,Aqa Education,People (Childrens) Service Group,Exam fees
Salford City Council,2022-04-01,1600685924,720.00,120.00,600.00,Cpls Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-04-01,1600685903,966.00,161.00,805.00,Cpls Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-04-01,1600685925,2244.00,374.00,1870.00,Cpls Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-04-01,1600685101,100000.00,0.00,100000.00,Ecf (General Partner) Limited,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-04-01,1600685102,146500.00,0.00,146500.00,Ecf (General Partner) Limited,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-04-01,601347420,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2022-04-01,601347432,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2022-04-01,601347414,614.29,102.38,511.91,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2022-04-01,601347447,655.70,109.28,546.42,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2022-04-01,601347418,890.48,148.41,742.07,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
