Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L descript
Salford City Council,2020-01-02,601261696,56535.87,9422.68,47113.19,Reed Specialist Recruitment Ltd,Service Reform,Agency Fees
Salford City Council,2020-01-02,6002959972,878.12,0,878.12,Adobe Creative Cloud,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-01-02,1600639548,1283.44,213.91,1069.53,Allied Publicity Services (M/Cr) Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-01-02,1600639553,1080,180,900,Salford Van Hire Ltd,Service Reform (Corp Bus & Transform),Equipment Hire
Salford City Council,2020-01-02,6002959897,89825.39,0,89825.39,Water Plus,Service Reform (Corp Bus & Transform),Gas
Salford City Council,2020-01-02,1600639552,3452.4,575.4,2877,Stannah Stairlifts Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2020-01-02,1600639138,819,136.5,682.5,City Sitemix Concrete Ltd,Place Directorate,Materials
Salford City Council,2020-01-02,6002959998,4082.81,0,4082.81,Capita Business Servs,Place Directorate,Payt to Govt Depts
Salford City Council,2020-01-02,601261674,800062.78,0,800062.78,Greater Manchester Combined,Service Reform (Corp Bus & Transform),Payt to Lead Dists
Salford City Council,2020-01-02,1600639161,4000,0,4000,Manchester City Council,Precepts And Charges - dummy level,Payt to Lead Dists
Salford City Council,2020-01-02,1600639558,725270,0,725270,Gmw Mental Health Nhs Ft,Public Health,Payts to Agencies
Salford City Council,2020-01-02,1600639188,20076,0,20076,Manchester City Council,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-02,601261689,521.48,0,521.48,Adullam Homes Housing Assoc Ltd,People (Childrens) Service Group,Rents
Salford City Council,2020-01-02,6002959896,660,0,660,Eccles Hotel,People (Adults) - CHSC,Staff Travel
Salford City Council,2020-01-02,6002959916,730,0,730,Eccles Hotel,People (Adults) - CHSC,Staff Travel
Salford City Council,2020-01-02,6002959969,750,0,750,Montauban Serviced Acco,People (Childrens) Service Group,Staff Travel
Salford City Council,2020-01-02,6002959978,840,0,840,The Assheton Arms Hote,People (Adults) - CHSC,Staff Travel
Salford City Council,2020-01-02,6002960028,1500,0,1500,The Assheton Arms Hote,People (Adults) - CHSC,Staff Travel
Salford City Council,2020-01-02,1600639133,2866.74,477.79,2388.95,Hodgkinson Bennis Ltd,Capital Expenditure,Works & Building
Salford City Council,2020-01-03,1600639657,752.27,125.38,626.89,Enterprise Flex E-Rent,Place Directorate,Annual Vehicle Hire
Salford City Council,2020-01-03,601260680,2848.5,474.75,2373.75,Rm Education Plc,People (Childrens) Service Group,Computer Software
Salford City Council,2020-01-03,601261706,94688.36,15781.39,78906.97,Nsl Ltd,Place Directorate,Contractors
Salford City Council,2020-01-03,6002978413,1098.48,70.82,1027.66,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-01-03,601261726,530,0,530,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2020-01-03,601261179,7995,1332.5,6662.5,Addleshaw Goddard Llp,Capital Expenditure,Legal Fees
Salford City Council,2020-01-03,601261178,7545,1257.5,6287.5,Addleshaw Goddard Llp,Capital Expenditure,Legal Fees
Salford City Council,2020-01-03,601261753,7995,1332.5,6662.5,Addleshaw Goddard Llp,Capital Expenditure,Legal Fees
Salford City Council,2020-01-03,1600639574,1643.1,0,1643.1,Patrol,Place Directorate,Mediation Service
Salford City Council,2020-01-03,1600639570,3441.3,0,3441.3,Patrol,Place Directorate,Mediation Service
Salford City Council,2020-01-03,601261707,540,0,540,Incredible Education,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2020-01-03,1600639137,208793.78,34798.96,173994.82,Manchester City Council,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-01-03,601261758,620,0,620,Redacted Data,Place Directorate,Other Prof Fees
Salford City Council,2020-01-03,601261754,940,0,940,Redacted Data,Place Directorate,Other Prof Fees
Salford City Council,2020-01-03,601261742,1131.5,0,1131.5,Weightmans Llp,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-01-03,1600639578,1850,0,1850,Autistic Society Gtr Manchester Are,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-03,1600639579,2665,0,2665,Autistic Society Gtr Manchester Are,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-03,1600639585,2444.03,0,2444.03,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-03,1600639586,2957.57,0,2957.57,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-03,1600639581,17100,0,17100,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-03,1600639582,17100,0,17100,Together Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-03,601261318,1080,0,1080,The Broughton Trust,Place Directorate,Payts to Vol Orgs
Salford City Council,2020-01-03,1600639561,33709.24,5618.21,28091.03,Manchester Ship Canal Company,Place Directorate,Principal Road Maint
Salford City Council,2020-01-03,1600639129,12098.78,2016.46,10082.32,Facultatieve Technologies Ltd,Place Directorate,Prog Maint & Works
Salford City Council,2020-01-03,601261703,810,0,810,Marmion Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-01-03,1600639639,2750,0,2750,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-01-03,601261702,8393,0,8393,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-01-03,601260539,2340,0,2340,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-01-03,601260541,2700,0,2700,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-01-03,601260540,3300,0,3300,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2020-01-03,6002959984,1000,0,1000,Guesthouse Manchester,People (Childrens) Service Group,Staff Travel
Salford City Council,2020-01-03,6002959991,600,0,600,The Assheton Arms Hote,People (Adults) - CHSC,Staff Travel
Salford City Council,2020-01-03,6002959941,1020,0,1020,The Assheton Arms Hote,People (Adults) - CHSC,Staff Travel
Salford City Council,2020-01-03,1600639650,2046.76,341.13,1705.63,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-01-03,1600639649,867199.08,144533.18,722665.9,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-01-03,1600639645,1019039.72,169839.95,849199.77,S & W Tlp (Project Co Two) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-01-03,1600639563,1252.32,208.72,1043.6,Ags Tech Ltd,Place Directorate,UV Dec&Flr
Salford City Council,2020-01-03,601260313,6589.04,0,6589.04,Marston Group Limited,VAT Adjustment,VAT Adjustment
Salford City Council,2020-01-03,1600639634,1075.56,51.22,1024.34,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-01-03,1600639629,24228,4038,20190,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-01-03,1600639599,24377.94,4062.99,20314.95,Carlton Fuels,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2020-01-03,1600639628,725.04,120.84,604.2,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-03,1600639626,1030.82,171.8,859.02,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-03,1600639627,1030.82,171.8,859.02,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-03,1600639637,1575,262.5,1312.5,C P Davidson & Sons Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-03,1600639601,1303.55,217.26,1086.29,Cornthwaite Agricultural Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-03,1600639665,1918.4,319.73,1598.67,Scarab Sweepers Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-03,1600639602,2302.42,383.74,1918.68,Scarab Sweepers Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-03,1600639664,6382.74,1063.79,5318.95,Scarab Sweepers Ltd,Place Directorate,Vehicle Maintenance
Salford City Council,2020-01-06,601261877,3024,504,2520,G Kern,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-01-06,601261878,3024,504,2520,G Kern,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-01-06,1600639710,55200,9200,46000,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2020-01-06,1600639711,69000,11500,57500,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2020-01-06,1600639715,457240.68,76206.78,381033.9,Xma Ltd,Service Reform (Corp Bus & Transform),Cmputer Eqt purchase
Salford City Council,2020-01-06,1600639703,7536,1256,6280,Elior Uk Plc Telior Uk Plc T/A Azur,Place Directorate,Conferences/Seminars
Salford City Council,2020-01-06,1600639557,254745.92,42457.65,212288.27,Connell Brothers Ltd,Capital Expenditure,Demolition
Salford City Council,2020-01-06,1600639721,665.98,110.99,554.99,Nisbets,Place Directorate,Equipment Purchase
Salford City Council,2020-01-06,1600639694,25000,0,25000,The Lowry Centre Trust,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-01-06,6002959922,2362.88,0,2362.88,Bettaveg,Place Directorate,Food and refreshment
Salford City Council,2020-01-06,6002978303,857.71,21.5,836.21,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-01-06,601261761,724.62,120.77,603.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-01-06,601261760,1049.82,174.97,874.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-01-06,601261764,1093.06,182.18,910.88,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-01-06,1600639684,4753.67,0,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-01-06,601261885,19194.33,0,19194.33,Pontville School Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-01-06,6002959936,2481.78,0,2481.78,Hn Nuttall Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2020-01-06,601261695,1051.4,175.23,876.17,Smiths Blinds Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2020-01-06,6002960031,900,0,900,Iz *kevin Booth Painting,People (Adults) - CHSC,Other Prof Fees
Salford City Council,2020-01-06,601261888,264263,0,264263,Homes England,Capital Expenditure,Other Works
Salford City Council,2020-01-06,1600639686,13026,0,13026,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-06,1600639685,16375.67,0,16375.67,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-06,1600639687,20345,0,20345,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-06,1600639676,3750,0,3750,Federation Of Community Services (C,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-01-06,601261882,912.06,0,912.06,St Helens & Knowsley Hospitals Nhs,Public Health,Payts to Agencies
Salford City Council,2020-01-06,601261892,1179,0,1179,Virgin Care Services,Public Health,Payts to Agencies
Salford City Council,2020-01-06,1600639700,20484.48,0,20484.48,Royal Mail Group Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2020-01-06,1600639719,7770,0,7770,Gorse Hill Studios Creative Communi,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-01-06,1600639704,83260.15,13876.69,69383.46,Xma Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2020-01-06,1600639674,169717.8,28286.3,141431.5,Citizens Advice Bureau,People (Adults) - CHSC,Pyts Agenc - Ext Fnd
Salford City Council,2020-01-06,6002960005,4480,0,4480,Approved Property Management,Place Directorate,Rents
Salford City Council,2020-01-06,1600639666,266438.6,44406.43,222032.17,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,2020-01-06,1600639701,1059.34,176.56,882.78,Ecg Facilities Services Ltd,Place Directorate,UV Heat Rep
Salford City Council,2020-01-07,601261986,648,0,648,The Court Service,Place Directorate,Debt Collection
Salford City Council,2020-01-07,6002963088,627,0,627,Ao Retail Limited,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-01-07,6002963027,612.92,0,612.92,Argos Ltd,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2020-01-07,6002962950,568,0,568,Appliance World,Place Directorate,Equipment Repair
Salford City Council,2020-01-07,6002978762,550.76,8.26,542.5,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-01-07,6002978409,575.14,1.22,573.92,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-01-07,6003023362,651.18,14.16,637.02,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-01-07,6002979148,938.28,67.26,871.02,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-01-07,601262002,672.92,112.15,560.77,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-01-07,601261911,1049.82,174.97,874.85,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-01-07,601261912,1213.3,202.21,1011.09,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-01-07,601262004,10000,0,10000,Barnfield Construction Ltd,Place Directorate,Gen Contractor Work
Salford City Council,2020-01-07,601261967,922.2,0,922.2,T/A Marlborough Road Academy,People (Childrens) Service Group,Grants
Salford City Council,2020-01-07,1600639728,948,158,790,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2020-01-07,1600639726,4020,670,3350,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2020-01-07,1600639745,14229,0,14229,Cambian Childcare Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-01-07,1600639746,14229,0,14229,Cambian Childcare Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2020-01-07,1600639693,1266.02,60.29,1205.73,Dyson Energy Services Ltd,Capital Expenditure,Other Works
Salford City Council,2020-01-07,601261952,696.6,0,696.6,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261933,1571.4,0,1571.4,Ateres Elisheva Daycare,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261953,2711.7,0,2711.7,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261955,865.2,0,865.2,Clarendon Cottage School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261951,3197.7,0,3197.7,Dukesgate Academy,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261934,509.25,0,509.25,Fledglings (Irlam) Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261959,3510,0,3510,Kerem Schlome Independent School,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261984,810,0,810,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261983,1657.5,0,1657.5,Kidz R Us Nursery Ltd - Pendlebury,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261962,2659.3,0,2659.3,Kidzrus  Nursery Ltd - Monton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261939,582,0,582,Little Saints Day Care Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261940,1658.7,0,1658.7,Little Sprouts Day Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261942,800.25,0,800.25,Mojo-Out Of School Club,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261943,509.25,0,509.25,Pomegranate Nursery Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261964,1080.06,0,1080.06,Stepping Stones Day Nurseries Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261935,1309.5,0,1309.5,T/A Holly House Day Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261957,613.08,0,613.08,T/A Holyrood Day Nursery - Salford,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261936,873,0,873,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261958,1002.15,0,1002.15,T/A Holyrood Day Nursery (Swinton),People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261932,27027,0,27027,Talmud Torah Yetev Lev Ltd-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261946,509.25,0,509.25,The Stables Day Nursery Limited,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261945,582,0,582,The Stables Day Nursery Monton,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261949,509.25,0,509.25,Westwood Smarties Pre-School Nurser,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261948,509.25,0,509.25,Zisse Kinder Ltd,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-01-07,601261921,819,0,819,Fab Travel Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-01-07,601262008,945,0,945,Marmion Taxis,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-01-07,601261994,2000,0,2000,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-01-07,6002963011,2800,0,2800,Approved Property Management,People (Adults) - CHSC,Rents
Salford City Council,2020-01-07,601261906,1381.64,134.14,1247.5,G & A Taylors Hotels Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-01-07,601262001,89903.77,0,89903.77,Port Salford Developments (Rhenus),Place Directorate,Unclass Road Maint
Salford City Council,2020-01-08,601262029,3000,0,3000,The Oldham Academy North,People (Childrens) Service Group,Consultants
Salford City Council,2020-01-08,6002963014,890,0,890,Carl Allen Furnishings,People (Adults) - CHSC,Furniture
Salford City Council,2020-01-08,601262065,580,0,580,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2020-01-08,601262039,74250,0,74250,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2020-01-08,601262038,4321.51,0,4321.51,Forbes Solicitors,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-01-08,1600639787,582.8,0,582.8,Gorse Hill Studios Creative Communi,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2020-01-08,601262071,2405.01,0,2405.01,NHS Salford CCG,Public Health,Sals & Wags Realloc
