Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2013-05-01,601086732,917.89,152.98,764.91,Acumen,Customer and Support Services,Liability Insurance
Salford City Council,2013-05-01,1600468852,169417.50,0.00,169417.50,Age Concern Salford,"Community, Health & Social Care",Pyts Agenc - Ext Fnd
Salford City Council,2013-05-01,1600470920,10369.02,0.00,10369.02,Bolton Council,Children's Services,Payts to Other LA's
Salford City Council,2013-05-01,47427175,509.73,2.70,507.03,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2013-05-01,601087788,5029.30,838.22,4191.08,Bt Plc,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2013-05-01,1600470852,3312.36,552.06,2760.30,Burnt Tree Group Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2013-05-01,601087837,13365.59,2227.60,11137.99,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600469073,718.68,119.78,598.90,Chubb Systems Ltd,Capital Expenditure,Purch of Furn/Equip
Salford City Council,2013-05-01,601086192,720.08,120.01,600.07,Chubb Systems Ltd,Children's Services,Security Services
Salford City Council,2013-05-01,1600469074,1197.06,199.51,997.55,Chubb Systems Ltd,Sustainable Regeneration,Security Sys R & Mnt
Salford City Council,2013-05-01,1600468637,1524.20,0.00,1524.20,City West Housing Trust,Children's Services,Rents
Salford City Council,2013-05-01,1600468691,3374.35,0.00,3374.35,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468694,3425.50,0.00,3425.50,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468758,4245.69,0.00,4245.69,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468760,4245.69,0.00,4245.69,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468775,3425.50,0.00,3425.50,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468779,4245.69,0.00,4245.69,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468787,3412.94,0.00,3412.94,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468788,4248.89,0.00,4248.89,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468832,4380.30,0.00,4380.30,Core Assets Fostering Ltd,Children's Services,Payts to Agencies
Salford City Council,2013-05-01,1600468785,4615.27,769.21,3846.06,Crown Oil Ltd,"Community, Health & Social Care",Fuel Oil
Salford City Council,2013-05-01,1600469450,722.04,120.34,601.70,Dennis Eagle Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2013-05-01,1600468770,1704.53,284.09,1420.44,Dmc Distribution Ltd,"Community, Health & Social Care",Medical Health/Safe
Salford City Council,2013-05-01,601087787,708.55,118.09,590.46,Eon Energy Ltd,Sustainable Regeneration,Electricity
Salford City Council,2013-05-01,1600469195,7649.68,1274.95,6374.73,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2013-05-01,1600469202,5551.62,925.27,4626.35,Greater Manchester West,"Community, Health & Social Care",Payments to H A
Salford City Council,2013-05-01,601086184,16399.26,424.26,15975.00,Horizon Care Ltd,Children's Services,Payts to Agencies
