Authority Name,Date of Payment,Document Number,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-05-04,601319058,799.61,0.00,799.61,Ays Estates Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319116,787.50,0.00,787.50,Bluejay Business Support Ltd,People (Adults) - CHSC,Training expenses
Salford City Council,2021-05-04,601319130,14804.03,2450.67,12353.36,British Telecommunications Plc,Service Reform (Corp Bus & Transform),Telephones & Fax
Salford City Council,2021-05-04,1600665995,43066.36,7177.73,35888.63,Capita Property & Infrastructure Lt,Place Directorate,Consultants
Salford City Council,2021-05-04,601319064,1515.02,0.00,1515.02,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319060,2020.03,0.00,2020.03,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319065,2020.03,0.00,2020.03,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319067,2125.00,0.00,2125.00,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319059,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319061,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319062,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319063,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319066,2525.04,0.00,2525.04,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,1600665288,7572.00,1262.00,6310.00,Csl Dual Com Ltd,Place Directorate,Contractors
Salford City Council,2021-05-04,1600664363,7418.02,230.02,7188.00,Dartington Hall Trust,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-05-04,601319097,1380.66,0.00,1380.66,Ena Investment Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,1600666252,5098.80,849.80,4249.00,Euro Label Printers Limited,Place Directorate,Print & Photocopying
Salford City Council,2021-05-04,1600666264,22021.97,3670.33,18351.64,Eurovia Infrastructure Ltd,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2021-05-04,601319094,2414.51,0.00,2414.51,Fairtrade Properties Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,1600666262,598.39,99.73,498.66,Firemark Ltd,Place Directorate,Fire Equipment
Salford City Council,2021-05-04,1600666259,755.55,125.92,629.63,Firemark Ltd,People (Childrens) Service Group,Fire Equipment
Salford City Council,2021-05-04,601319109,543.60,90.60,453.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319120,661.63,110.27,551.36,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319125,687.77,114.63,573.14,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319127,698.74,116.46,582.28,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319126,778.35,129.73,648.62,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319024,834.96,139.16,695.80,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319123,941.86,156.98,784.88,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319117,1103.71,183.95,919.76,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319128,1112.94,185.49,927.45,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,601319033,1364.37,227.39,1136.98,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-05-04,1600666238,6667.00,0.00,6667.00,Gmw Mental Health Nhs Ft,Public Health,Payts to Agencies
Salford City Council,2021-05-04,1600666231,1423.92,237.32,1186.60,J. Handford & Sons Ltd,Place Directorate,Materials
Salford City Council,2021-05-04,601319100,531.54,0.00,531.54,Kaleidoscope Assessment Services,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,1600665911,898.81,149.80,749.01,Killgerm Chemicals,Place Directorate,Chemicals
Salford City Council,2021-05-04,1600666239,66600.23,11100.04,55500.19,Kool-It-Services Limited,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-05-04,601319115,2800.00,0.00,2800.00,Lifecentre,Place Directorate,Payts to Vol Orgs
Salford City Council,2021-05-04,601319090,636.26,0.00,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319091,636.26,0.00,636.26,Lny Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319057,547.10,0.00,547.10,Marshmallow Properties Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319011,20031.00,0.00,20031.00,Mike Davies Transport Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-04,601319047,865.25,0.00,865.25,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319046,1297.91,0.00,1297.91,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319048,1350.40,0.00,1350.40,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319045,1749.64,0.00,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,1600666249,3235.69,539.28,2696.41,Nationwide Capital Finance Ltd,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2021-05-04,1600666230,9926.77,1654.46,8272.31,Ncer Cic,Service Reform (Corp Bus & Transform),IT  Licence Fee
Salford City Council,2021-05-04,1600666043,60884.84,0.00,60884.84,Peel Land (Intermediate) Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2021-05-04,601319068,2067.29,0.00,2067.29,Radnor Investments Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319110,600.00,0.00,600.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-04,601319111,1650.00,0.00,1650.00,Redacted Data,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-05-04,601319087,505.01,0.00,505.01,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319053,508.60,0.00,508.60,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319050,531.54,0.00,531.54,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319054,531.54,0.00,531.54,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319052,536.56,0.00,536.56,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319055,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319069,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319098,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319099,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319101,547.10,0.00,547.10,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319103,550.99,0.00,550.99,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319071,570.43,0.00,570.43,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319076,590.80,0.00,590.80,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319093,592.88,0.00,592.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319056,610.23,0.00,610.23,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319089,610.23,0.00,610.23,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319104,610.23,0.00,610.23,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319083,776.87,0.00,776.87,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319079,799.61,0.00,799.61,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319096,799.61,0.00,799.61,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319105,799.61,0.00,799.61,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319084,912.51,0.00,912.51,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319051,981.29,0.00,981.29,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319070,981.29,0.00,981.29,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319088,1152.49,0.00,1152.49,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319095,1328.88,0.00,1328.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,601319102,1328.88,0.00,1328.88,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,2021-05-04,1600666021,149536.42,0.00,149536.42,Royal Bolton Hospital Nhs,Public Health,Payts to Agencies
Salford City Council,2021-05-04,601319012,2553.72,0.00,2553.72,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees
