Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2020-05-01,601267693,1633.2,272.2,1361,East Learning Cic,People (Childrens) Service Group,Consultants
Salford City Council,2020-05-01,601270816,1672.8,278.8,1394,Granart Memorials,Place Directorate,Gen Resaleable Items
Salford City Council,2020-05-01,601270817,867.6,144.6,723,Granart Memorials,Place Directorate,Gen Resaleable Items
Salford City Council,2020-05-01,601270819,933.6,155.6,778,Granart Memorials,Place Directorate,Gen Resaleable Items
Salford City Council,2020-05-01,601273006,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601273532,2480,0,2480,Hawthorn Hotel,People (Childrens) Service Group,Rents
Salford City Council,2020-05-01,601273534,3410,0,3410,Hawthorn Hotel,People (Childrens) Service Group,Rents
Salford City Council,2020-05-01,601273671,633.13,0,633.13,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment
Salford City Council,2020-05-01,601274055,1936.38,322.73,1613.65,Ccs Media Ltd,People (Childrens) Service Group,Computer Consumables
Salford City Council,2020-05-01,601274109,3960,660,3300,Jones Lang Lasalle Ltd,Capital Expenditure,Works & Building
Salford City Council,2020-05-01,601274114,1931.22,0,1931.22,Child Action Northwest,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2020-05-01,601274119,2070.9,0,2070.9,Redacted Data,People (Childrens) Service Group,Assist Adopt Allow
Salford City Council,2020-05-01,601274121,31251.84,0,31251.84,Countryside Properties Uk Ltd - Bir,Place Directorate,Refunds
Salford City Council,2020-05-01,601274127,1749.68,0,1749.68,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274128,2163.19,0,2163.19,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274129,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274130,2579.59,0,2579.59,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274131,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274132,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274133,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274134,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274135,1348.5,0,1348.5,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274136,2163.19,0,2163.19,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274137,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
Salford City Council,2020-05-01,601274138,1749.64,0,1749.64,Mistoria Estate Agents Ltd,People (Adults) - CHSC,Rents
