Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2022-01-04,1600679898,1259.40,209.90,1049.50,Alliance Disposables Ltd,Place Directorate,Food and refreshment
Salford City Council,2022-01-04,6003410629,629.95,0.00,629.95,Argos Ltd,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2022-01-04,1600679818,1320.00,220.00,1100.00,Education Matters Services Limited,People (Childrens) Service Group,Consultants
Salford City Council,2022-01-04,6003410566,519.96,0.00,519.96,Hn Nuttall Ltd,Place Directorate,non -UV Building Repairs & Maintenance
Salford City Council,2022-01-04,601338607,10019.63,1669.94,8349.69,Ingenitech Ltd,Service Reform (Corp Bus & Transform),Lease line rentals
Salford City Council,2022-01-04,601338606,11241.79,1873.63,9368.16,Ingenitech Ltd,Service Reform (Corp Bus & Transform),Lease line rentals
Salford City Council,2022-01-04,601338605,16676.32,2779.39,13896.93,Ingenitech Ltd,Service Reform (Corp Bus & Transform),Lease line rentals
Salford City Council,2022-01-04,601338604,2799.62,0.00,2799.62,Irlam & Cadishead Academy,People (Childrens) Service Group,T U Supply Cover
Salford City Council,2022-01-04,1600679891,3000.00,0.00,3000.00,Kickstart,People (Adults) - CHSC,Grants
Salford City Council,2022-01-04,601338603,690.00,0.00,690.00,Mds Mini Buses (Manchester) Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2022-01-04,1600679884,1160.00,0.00,1160.00,N.E.W.Fo.Ca.S Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2022-01-04,601338610,9222.00,0.00,9222.00,Paypoint Plc,People (Adults) - CHSC,Gas
Salford City Council,2022-01-04,1600679892,4479.00,0.00,4479.00,Places For People Living+ Ltd,People (Childrens) Service Group,Pmts Reg Soc l'lords
Salford City Council,2022-01-04,1600679893,4479.00,0.00,4479.00,Places For People Living+ Ltd,People (Childrens) Service Group,Pmts Reg Soc l'lords
Salford City Council,2022-01-04,1600679894,4479.00,0.00,4479.00,Places For People Living+ Ltd,People (Childrens) Service Group,Pmts Reg Soc l'lords
Salford City Council,2022-01-04,1600679895,4479.00,0.00,4479.00,Places For People Living+ Ltd,People (Childrens) Service Group,Pmts Reg Soc l'lords
Salford City Council,2022-01-04,6003410647,581.44,0.00,581.44,Ralph Livesey Ltd,Place Directorate,Food and refreshments
Salford City Council,2022-01-04,601338597,804.00,134.00,670.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-01-04,601338592,1013.04,168.84,844.20,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2022-01-04,601338590,1485.79,247.63,1238.16,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2022-01-04,601338602,603.93,0.00,603.93,Redacted Data,People (Childrens) Service Group,Children Act-Sect 23
Salford City Council,2022-01-04,601338611,9000.00,0.00,9000.00,Redacted Data,Service Reform (Corp Bus & Transform),Improvement Grants
Salford City Council,2022-01-04,6003410620,900.00,0.00,900.00,Sumup *Jf Services,People (Adults) - CHSC,General Repairs
Salford City Council,2022-01-04,6003410652,704.00,0.00,704.00,Surewaste,People (Adults) - CHSC,Client Travel Expenses
