Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-07-01,601324257,6308.78,0,6308.78,Accident Credit Group,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2021-07-01,1600668975,608.79,101.47,507.32,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668974,612.1,102.02,510.08,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668979,619.91,103.32,516.59,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668971,620.43,103.4,517.03,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668976,688.6,114.77,573.83,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668972,743.43,123.91,619.52,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668973,748.42,124.74,623.68,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668977,817.97,136.33,681.64,Aggregates Industries Uk Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,1600668998,1324.8,220.8,1104,Broxap Ltd,Place Directorate,Materials
Salford City Council,2021-07-01,601324293,15390,2565,12825,Career Connect,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2021-07-01,1600668958,1680,0,1680,Csin Cic,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-07-01,1600668954,1785,0,1785,Csin Cic,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-07-01,1600668953,2082.5,0,2082.5,Csin Cic,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-07-01,1600668955,2380,0,2380,Csin Cic,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-07-01,1600668957,2660,0,2660,Csin Cic,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-07-01,1600668956,2677.5,0,2677.5,Csin Cic,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-07-01,1600668950,979.2,163.2,816,Electrosafe Ltd (T/A Veriserv),Place Directorate,UV Prog Rep
Salford City Council,2021-07-01,601324239,65508.56,9557.3,55951.26,Gazprom Energy,Service Reform (Corp Bus & Transform),Gas
Salford City Council,2021-07-01,601324249,941.16,0,941.16,Hfl Building Solutions Limited,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-07-01,1600668985,608.33,101.39,506.94,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2021-07-01,1600668983,1365.77,227.63,1138.14,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2021-07-01,1600668984,1416.84,236.14,1180.7,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2021-07-01,1600668981,4476.28,746.05,3730.23,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2021-07-01,1600668988,816,136,680,M & A Brown (Engravers) Ltd,Place Directorate,Materials
