Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-12-01,601336103,873.92,145.65,728.27,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission,
Salford City Council,2021-12-01,601336126,3000.00,0.00,3000.00,Boothstown Junior Football Club,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336104,7884.45,0.00,7884.45,Brentnall Primary,People (Childrens) Service Group,Release of Provision,
Salford City Council,2021-12-01,601336070,755.52,0.00,755.52,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment,
Salford City Council,2021-12-01,601336067,863.42,0.00,863.42,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment,
Salford City Council,2021-12-01,601336068,871.93,0.00,871.93,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment,
Salford City Council,2021-12-01,601336078,1110.59,0.00,1110.59,Bristow & Sutor,Service Reform (Corp Bus & Transform),VAT Adjustment,
Salford City Council,2021-12-01,601336094,546.88,0.00,546.88,Child Autism Uk,People (Childrens) Service Group,Pupil Assistance,
Salford City Council,2021-12-01,601336117,2500.00,0.00,2500.00,Datatecnics,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336115,2500.00,0.00,2500.00,Diamond Decorators Uk Limited,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,601336119,2500.00,0.00,2500.00,Dicey Tech Ltd,Service Reform (Corp Bus & Transform),Grants,
Salford City Council,2021-12-01,1600678251,52677.24,8779.54,43897.70,Eccles Special High Schools Co Ltd,People (Childrens) Service Group,Unitary Charge,
Salford City Council,2021-12-01,601336088,1600.00,0.00,1600.00,Edintervention Ltd,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678224,594.00,99.00,495.00,F. R. Sharrock Limited,Place Directorate,Annual Vehicle Hire,
Salford City Council,2021-12-01,1600678214,1184.00,0.00,1184.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678221,1264.00,0.00,1264.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678213,1600.00,0.00,1600.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678220,1600.00,0.00,1600.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678217,1824.00,0.00,1824.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678219,2400.00,0.00,2400.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
Salford City Council,2021-12-01,1600678212,2720.00,0.00,2720.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies,
