Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2014-12-01,1600520774,2652.88,442.15,2210.73,G4S Cash Solutions Uk Ltd,Environment and Community Safety,Cash in Transit Serv
Salford City Council,2014-12-01,1600521936,864.00,144.00,720.00,Haigh Engineering Co Ltd,"Community, Health & Social Care",Central S & S Alloc
Salford City Council,2014-12-01,601129480,1257.60,209.60,1048.00,Ultimaker Gb Limited,Children's Services,Computer Equipment
Salford City Council,2014-12-01,601130280,675.00,0.00,675.00,Together Trust,"Community, Health & Social Care",Day Care
Salford City Council,2014-12-01,601128499,2554.31,0.00,2554.31,Tradition (Uk) Limited,Capital Expenditure,Debt Mgmt Expenses
Salford City Council,2014-12-01,1600520564,870.00,145.00,725.00,Invacare Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-12-01,1600520623,1129.20,188.20,941.00,Mag Equipment Ltd,"Community, Health & Social Care",Disability Equipment
Salford City Council,2014-12-01,1600520541,2596.80,432.80,2164.00,Carebase,"Community, Health & Social Care",Epuipment-paediatric
Salford City Council,2014-12-01,601130258,6473.05,1078.83,5394.22,Facultatieve Technologies Ltd,Environment and Community Safety,Legal SLA
Salford City Council,2014-12-01,1600520535,40200.00,6700.00,33500.00,Salford Community Leisure Ltd,Children's Services,Leisure Activity
Salford City Council,2014-12-01,1600520763,10379.34,1729.89,8649.45,Bibby Factors Northwest Ltd,The Office of the Chief Executive,Marketing/Publicity
Salford City Council,2014-12-01,601129103,24000.00,4000.00,20000.00,The Danwood Group Limited,Customer and Support Services,MFP Devices
Salford City Council,2014-12-01,1600521280,1263.52,210.59,1052.93,Experian Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2014-12-01,601130253,24220.61,4036.77,20183.84,Network Rail,Capital Expenditure,Other Works
Salford City Council,2014-12-01,1600511636,2956.20,492.70,2463.50,Access All Areas,Capital Expenditure,Other Works
Salford City Council,2014-12-01,601128912,1397.16,0.00,1397.16,Care Today Childrens Services,Children's Services,Payts to Agencies
Salford City Council,2014-12-01,601130270,582.00,0.00,582.00,Redacted Data,Children's Services,Payts to Agencies
Salford City Council,2014-12-01,601130273,1382.25,0.00,1382.25,Kids Planet Day Nurseries Ltd,Children's Services,Payts to Agencies
