Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-11-01,601333573,3780.00,630.00,3150.00,Alexander House / Care / Housing,People (Adults) - CHSC,Rents
Salford City Council,2021-11-01,1600675894,5365.01,894.17,4470.84,Argyle Nw Construction Ltd,Place Directorate,Contractors
Salford City Council,2021-11-01,1600675182,36135.29,6022.55,30112.74,Argyle Nw Construction Ltd,Place Directorate,Contractors
Salford City Council,2021-11-01,601333607,742.50,0.00,742.50,Cedarwood Real Estate Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-11-01,601333578,9785.00,0.00,9785.00,"Crossroads Care Cheshire, Mancheste",People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333577,12806.00,0.00,12806.00,"Crossroads Care Cheshire, Mancheste",People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333555,640.00,0.00,640.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333557,800.00,0.00,800.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333561,1202.00,0.00,1202.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333560,1440.00,0.00,1440.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333558,3256.00,0.00,3256.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333556,3760.00,0.00,3760.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333554,5352.00,0.00,5352.00,Faster Than A Cat,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-11-01,601333588,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333590,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333583,672.07,112.01,560.06,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333581,716.42,119.40,597.02,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333589,732.60,122.10,610.50,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333584,977.00,162.83,814.17,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333585,1103.71,183.95,919.76,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333582,1241.09,206.85,1034.24,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333587,1383.83,230.64,1153.19,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,601333592,1544.71,257.45,1287.26,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-11-01,1600675882,1910.16,318.36,1591.80,Instarmac,Place Directorate,Materials
Salford City Council,2021-11-01,1600675240,11112.00,1852.00,9260.00,J Fletcher Engineers Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-11-01,1600675879,1486.01,247.67,1238.34,K J Lines Limited,Place Directorate,Contractors
Salford City Council,2021-11-01,1600675927,25139.59,4189.93,20949.66,Kool-It-Services Limited,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-11-01,1600675943,3192.00,0.00,3192.00,Lifecentre,People (Adults) - CHSC,Grants
Salford City Council,2021-11-01,1600675935,5760.00,960.00,4800.00,Lmp Sports Consultants Ltd,People (Adults) - CHSC,Grants
Salford City Council,2021-11-01,1600675884,1632.00,272.00,1360.00,M & A Brown (Engravers) Ltd,Place Directorate,Materials
Salford City Council,2021-11-01,1600675890,1300.80,216.80,1084.00,Midlands Signs Leicester Ltd,Place Directorate,Materials
Salford City Council,2021-11-01,1600675946,97750.00,0.00,97750.00,Mind In Salford,People (Adults) - CHSC,Pyts Agenc - Ext Fnd
Salford City Council,2021-11-01,1600675937,2898.46,483.08,2415.38,Network Rail,Place Directorate,Principal Road Maint
Salford City Council,2021-11-01,1600675930,1283.76,213.96,1069.80,North West Timber Treatments,Place Directorate,Materials
Salford City Council,2021-11-01,1600675944,799.20,133.20,666.00,Ptsg,Place Directorate,Equipment Repair
Salford City Council,2021-11-01,601333598,659.60,0.00,659.60,Radnor Investments Ltd,People (Adults) - CHSC,Rents
Salford City Council,2021-11-01,601333572,765.41,127.57,637.84,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2021-11-01,601333570,877.97,146.33,731.64,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2021-11-01,601333571,1418.26,236.38,1181.88,Reach Publishing Services Ltd,Place Directorate,Marketing/Publicity
Salford City Council,2021-11-01,601333614,2400.00,0.00,2400.00,Redacted Data,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2021-11-01,601333613,1403.43,0.00,1403.43,Redacted Data,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2021-11-01,601333574,36296.14,0.00,36296.14,Reed Specialist Recruitment Ltd,People (Childrens) Service Group,Payts to Agencies
