Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2015-11-02,601153228,525.00,0.00,525.00,Amv Law,Corporate Business,Liability Insurance
Salford City Council,2015-11-02,601153220,31590.00,0.00,31590.00,Beis Malka,Children's Services,Grants
Salford City Council,2015-11-02,601153219,31374.00,0.00,31374.00,Bnos Yisroel Schools Manchester Ltd,Children's Services,Grants
Salford City Council,2015-11-02,1600547456,123249.50,0.00,123249.50,Brook Advisory,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2015-11-02,601153218,41403.60,0.00,41403.60,Broughton Jewish C F Academy,Children's Services,Grants
Salford City Council,2015-11-02,601152469,832.80,138.80,694.00,Chubb Fire & Security Ltd,Children's Services,BuildingSecurity/Eqt
Salford City Council,2015-11-02,1600549202,14396.55,0.00,14396.55,Dennis Eagle Limited,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2015-11-02,601152249,1512.00,252.00,1260.00,Fab Travel Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-11-02,601152256,1806.00,0.00,1806.00,Fab Travel Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-11-02,601152254,2011.20,335.20,1676.00,Fab Travel Ltd,Children's Services,Pupil Assistance
Salford City Council,2015-11-02,1600547553,1484.00,0.00,1484.00,Fairfield Residential,Children's Services,Payts to Agencies
Salford City Council,2015-11-02,1600548125,71834.34,11972.39,59861.95,G & J Seddon Ltd,Capital Expenditure,Works & Building
Salford City Council,2015-11-02,1600547627,570.00,95.00,475.00,G Jones Builders,Sustainable Regeneration,UV Day to Day
Salford City Council,2015-11-02,601151582,1110.00,185.00,925.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2015-11-02,601152537,1110.00,185.00,925.00,Hays Recruitment,Children's Services,Agency Fees
Salford City Council,2015-11-02,601153254,56473.63,9412.25,47061.38,Hays Recruitment,Corporate Business,Agency Fees
Salford City Council,2015-11-02,601153255,63252.55,10542.06,52710.49,Hays Recruitment,Corporate Business,Agency Fees
Salford City Council,2015-11-02,601153256,67657.65,11276.24,56381.41,Hays Recruitment,Corporate Business,Agency Fees
Salford City Council,2015-11-02,1600547468,858.93,0.00,858.93,Heathlands Housing Association,"Community, Health & Social Care",Supported Tenancies
Salford City Council,2015-11-02,1600548490,109846.73,18307.79,91538.94,John Turner Construction Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2015-11-02,1600548000,570.24,95.04,475.20,Northgate Vehicle Hire (Nw) Ltd,Environment and Community Safety,Annual Vehicle Hire
Salford City Council,2015-11-02,601151628,1809.00,301.50,1507.50,Ray Britland Contractors Ltd,Environment and Community Safety,Contractors
Salford City Council,2015-11-02,601153297,829.92,0.00,829.92,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153275,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153292,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153301,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153300,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153294,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153298,833.80,0.00,833.80,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153289,843.68,0.00,843.68,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153293,843.68,0.00,843.68,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153266,862.16,0.00,862.16,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153299,903.84,0.00,903.84,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153270,966.16,0.00,966.16,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153291,966.16,0.00,966.16,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153285,974.16,0.00,974.16,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153274,974.16,0.00,974.16,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153277,974.16,0.00,974.16,Redacted Data,"Community, Health & Social Care",Adult Placements
Salford City Council,2015-11-02,601153278,974.16,0.00,974.16,Redacted Data,"Community, Health & Social Care",Adult Placements
