Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-08-02,1600670475,10800,1800,9000,Agile Applications Ltd,Place Directorate,Other Prof Fees
Salford City Council,2021-08-02,1600671365,2000,0,2000,Corinth Business And Community,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-08-02,1600671366,10000,0,10000,Corinth Business And Community,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2021-08-02,1600670944,758.4,126.4,632,Door Repair Service  Ltd,Public Health,UV Dec&Flr
Salford City Council,2021-08-02,601327051,1475.81,245.97,1229.84,Esendex Ltd,Public Health,Mobile Phones
Salford City Council,2021-08-02,1600671356,1158.79,193.13,965.66,F. R. Sharrock Limited,Service Reform (Corp Bus & Transform),Stock Control (VMS)
Salford City Council,2021-08-02,1600671043,46981.41,7830.23,39151.18,Ford Retail Ltd T/A Trust Ford,Service Reform (Corp Bus & Transform),Purch of Veh/Plant
Salford City Council,2021-08-02,1600670762,1940.04,323.34,1616.7,G Jones Builders Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-08-02,1600671371,1096.8,182.8,914,Ptsg,Place Directorate,UV Prog Rep
Salford City Council,2021-08-02,601327027,1170.62,195.1,975.52,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2021-08-02,601327029,1283.18,213.86,1069.32,Reach Publishing Services Ltd,Place Directorate,Legal Fees
Salford City Council,2021-08-02,601327028,585.31,97.55,487.76,Reach Publishing Services Ltd,Place Directorate,Marketing/Publicity
Salford City Council,2021-08-02,601327040,838.8,139.8,699,Redacted Data,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2021-08-02,1600671350,990,165,825,Richard L Thomas Associates Ltd,Service Reform (Corp Bus & Transform),Works & Building
Salford City Council,2021-08-02,1600671011,50000,0,50000,Salford Community & Voluntary Service,People (Adults) - CHSC,Grants
Salford City Council,2021-08-02,1600671374,24805.1,4134.18,20670.92,Standard Fuel Oils Ltd,Place Directorate,Vehcle Ancillar Cost
Salford City Council,2021-08-03,1600671386,1953,325.5,1627.5,A Copeland Group Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2021-08-03,1600671387,1818.96,303.16,1515.8,Apem Ltd,Place Directorate,Gen Contractor Work
