Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L descript
Salford City Council,2018-08-01,601223378,974.21,162.37,811.84,Orbis Protect Ltd,Capital Expenditure,Demolition
Salford City Council,2018-08-01,601223515,25856,0,25856,Salford Credit Union,People (Adults) - CHSC,Grants
Salford City Council,2018-08-01,1600610107,94477,0,94477,Gaddum Centre,People (Adults) - CHSC,Pyts Agenc - Ext Fnd
Salford City Council,2018-08-01,601223571,578.17,96.36,481.81,David Phillips Group,People (Adults) - CHSC,Furniture
Salford City Council,2018-08-01,601223514,2831.5,0,2831.5,Alexander Care,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223513,2861,0,2861,Alexander Care,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223697,25553.17,0,25553.17,City West Housing Trust,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223460,760,0,760,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223434,850,0,850,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223425,1105,0,1105,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223423,2295,0,2295,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223411,2700,0,2700,Hawthorn Hotel,People (Adults) - CHSC,Rents
Salford City Council,2018-08-01,601223380,810,135,675,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-08-01,601223539,1020,170,850,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-08-01,601223538,1350,225,1125,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-08-01,601223536,516.82,86.14,430.68,Tradewind Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-08-01,601223537,646.02,107.67,538.35,Tradewind Recruitment Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2018-08-01,601223377,1296,216,1080,The School Of Military Ltd,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2018-08-01,601223575,712.8,118.8,594,EE Ltd,People (Childrens) Service Group,Mobile Phones
Salford City Council,2018-08-01,601223574,924,154,770,EE Ltd,People (Childrens) Service Group,Mobile Phones
Salford City Council,2018-08-01,601223222,525,0,525,Manchester City Council,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-08-01,1600611105,3383.65,0,3383.65,Redacted Data,People (Childrens) Service Group,Other Prof Fees
Salford City Council,2018-08-01,601223582,14850,0,14850,Outbound Care Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-08-01,1600610821,5000,0,5000,Safe Families For Children Uk Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-08-01,1600610980,4500,750,3750,Salford Community Leisure Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2018-08-01,1600611094,5000,0,5000,Barton Clough Primary School,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-08-01,1600610992,630,105,525,Randstad Public Services Limited,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-08-01,601223583,1355.09,0,1355.09,Warrington & Vale Royal College,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-08-01,1600610978,584,0,584,Yesoiday Hatorah School,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2018-08-01,1600611106,598.8,99.8,499,Securitas Security Services,People (Childrens) Service Group,Security Sys R & Mnt
Salford City Council,2018-08-01,gxqfrdnhx,578.98,115.8,463.18,Currys Online,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2018-08-01,iypmeroke,578.98,115.8,463.18,Currys Online,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2018-08-01,1600610220,1064,0,1064,Greater Manchester Travelcards Ltd,People (Childrens) Service Group,Training expenses
Salford City Council,2018-08-01,ksqbjnujh,725.86,120.98,604.88,City Electrical Factors,People (Childrens) Service Group,Equipment Purchase
Salford City Council,2018-08-01,1600611223,713.06,118.84,594.22,Northgate Vehicle Hire (Nw) Ltd,Place Directorate,Annual Vehicle Hire
Salford City Council,2018-08-01,1600610340,1000,0,1000,Child Safety Media Ltd,Place Directorate,Contractors
Salford City Council,2018-08-01,1600610820,19550.4,3258.4,16292,Gristwood And Toms Ltd,Place Directorate,Contractors
Salford City Council,2018-08-01,1600611193,807.67,134.61,673.06,F. R. Sharrock Limited,Place Directorate,Materials
Salford City Council,2018-08-01,1600610268,720,120,600,Facultatieve Technologies Ltd,Place Directorate,Prog Maint & Works
Salford City Council,2018-08-01,601223584,6600,1100,5500,Cles Ltd,Place Directorate,Vehicle Hire - perm
Salford City Council,2018-08-01,1600611017,76718.27,12786.38,63931.89,Nsl Ltd,Place Directorate,Contractors
Salford City Council,2018-08-01,1600610961,1617.6,269.6,1348,Ijm Electrical Contractors Ltd,Place Directorate,UV Prog Rep
Salford City Council,2018-08-01,untpcywws,1805.64,0,1805.64,Www.Impressionltd.Co.U,Service Reform (Corp Bus & Transform),Other Professional Fees
Salford City Council,2018-08-01,1600610975,2340,390,1950,Arch Consulting Ltd,Service Reform (Corp Bus & Transform),Training
Salford City Council,2018-08-02,1600611080,2000,0,2000,E E Davies,Capital Expenditure,Miscellaneous Exes
