Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2021-03-01,601307458,2500.00,0.00,2500.00,Aim Habonim-Nursery,People (Childrens) Service Group,Grants
Salford City Council,2021-03-01,1600662463,1029.07,171.51,857.56,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment
Salford City Council,2021-03-01,1600662464,1080.25,180.04,900.21,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment
Salford City Council,2021-03-01,1600662465,1535.52,255.92,1279.60,Angel Springs T/A Waterlogic Gb Ltd,Service Reform (Corp Bus & Transform),Food and refreshment
Salford City Council,2021-03-01,1600662473,6361.75,1060.29,5301.46,Apem Ltd,Place Directorate,Gen Contractor Work
Salford City Council,2021-03-01,601307459,1250.00,0.00,1250.00,Beis Malka Beiz Girls-Nursery,People (Childrens) Service Group,Grants
Salford City Council,2021-03-01,601307463,750.00,0.00,750.00,Beltodam Ltd T/A Early Learning Chi,People (Childrens) Service Group,Grants
Salford City Council,2021-03-01,1600660930,629.12,104.85,524.27,Bilway Marine Ltd,Place Directorate,nonuv Build Rp&Maint
Salford City Council,2021-03-01,1600662450,553.52,92.25,461.27,Click Fire & Security Ltd,Place Directorate,UV Light/Fire
Salford City Council,2021-03-01,601307483,1000.00,0.00,1000.00,Clk Childcare Ltd,People (Childrens) Service Group,Grants
Salford City Council,2021-03-01,1600662442,2154.00,359.00,1795.00,Donald Insall Associates Ltd,Place Directorate,Other Prof Fees
Salford City Council,2021-03-01,601307447,511.20,85.20,426.00,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-03-01,601307448,987.90,164.65,823.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-03-01,601307449,987.90,164.65,823.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-03-01,601307453,992.50,165.41,827.09,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-03-01,601307444,1571.23,261.87,1309.36,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2021-03-01,601307455,2400.00,0.00,2400.00,Furniture Resource Centre Ltd,People (Childrens) Service Group,Pupil Assistance
Salford City Council,2021-03-01,1600662445,4600.00,0.00,4600.00,Greater Manchester Combined,Service Reform (Corp Bus & Transform),Other Works
Salford City Council,2021-03-01,1600662447,4600.00,0.00,4600.00,Greater Manchester Combined,Service Reform (Corp Bus & Transform),Other Works
