Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2022-06-01,601414480,720.00,120.00,600.00,Clare And Andrew Murdoch Limited,Place Directorate,Advertising
Salford City Council,2022-06-01,601414478,845.10,140.85,704.25,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-06-01,601414349,942.00,157.00,785.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-06-01,601414348,993.60,165.60,828.00,Randstad Public Services Limited,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-06-01,601414476,804.84,134.14,670.70,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-06-01,601414477,836.54,139.42,697.12,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-06-01,601414343,4622.46,770.41,3852.05,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2022-06-01,1600689680,2000.00,0.00,2000.00,Jp Marsh Education,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2022-06-01,601414368,1009.80,168.30,841.50,Saltax Ltd,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2022-06-01,601414367,1471.80,245.30,1226.50,Saltax Ltd,People (Childrens) Service Group,ClientTravel Expense
Salford City Council,2022-06-01,6003498304,8423.94,0.00,8423.94,Care Direct Salford Ltd,People (Adults) - CHSC,Day Care
Salford City Council,2022-06-01,1600689663,1620.00,270.00,1350.00,Spunhill Ltd,Place Directorate,Equipment Purchase
Salford City Council,2022-06-01,1600689595,541.20,90.20,451.00,Trafford Electrical Wholesalers Ltd,Place Directorate,Equipment Purchase
Salford City Council,2022-06-01,1600688988,32427.50,0.00,32427.50,Greater Manchester Combined,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-06-01,1600689249,238029.83,39671.64,198358.19,P Casey & Co Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-06-01,1600689649,5691.22,948.54,4742.68,Liquidlogic Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2022-06-01,1600689023,24080.00,0.00,24080.00,Smart Body Sports Ltd,People (Adults) - CHSC,Grants
