Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2022-02-01,1600681512,13141.36,0.00,13141.36,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2022-02-01,1600681508,6120.00,1020.00,5100.00,Arbtech Consulting Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-02-01,2205897785,2533867.81,0.00,2533867.81,Aspire,People (Adults) - CHSC,Aspire management fee
Salford City Council,2022-02-01,1600681516,3570.00,595.00,2975.00,Asset Surveys Ltd.,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-02-01,1600681501,1228.20,204.70,1023.50,Back Care Solutions Ltd,People (Childrens) Service Group,Equip for Staff
Salford City Council,2022-02-01,1600680956,21015.03,0.00,21015.03,Bright Futures Care Ltd T/A Corners,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2022-02-01,1600681289,10296.00,1716.00,8580.00,Castle Surveys Ltd,Service Reform (Corp Bus & Transform),Ext Fees-Other
Salford City Council,2022-02-01,601341012,941.16,0.00,941.16,Chatsworth High School & Community,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2022-02-01,1600681514,27000.00,4500.00,22500.00,Civica Uk Ltd,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2022-02-01,1600681517,800.00,0.00,800.00,Djg Consultancy And Training,People (Childrens) Service Group,Consultants
Salford City Council,2022-02-01,601340971,720.00,0.00,720.00,Dr Chioneso Mafunga,Place Directorate,Other Prof Fees
Salford City Council,2022-02-01,601340974,560.00,0.00,560.00,Dr H Sutherland,Place Directorate,Other Prof Fees
Salford City Council,2022-02-01,601340973,880.00,0.00,880.00,Dr H Sutherland,Place Directorate,Other Prof Fees
Salford City Council,2022-02-01,1600681503,4900.00,816.67,4083.33,Ed Start Specialist Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2022-02-01,601340898,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2022-02-01,601340899,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2022-02-01,601340903,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2022-02-01,601340998,507.44,84.58,422.86,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
