Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,2020-09-01,601284696,10000.00,0.00,10000.00,Adams Gateway Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284650,11223.24,1870.54,9352.70,Addleshaw Goddard Llp,Service Reform (Corp Bus & Transform),Legal Fees
Salford City Council,2020-09-01,601284670,10000.00,0.00,10000.00,Adv Life Supp Group,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284609,1230.00,0.00,1230.00,Aim Habonim-Nursery,People (Childrens) Service Group,Pmnts Privt Provider
Salford City Council,2020-09-01,601284685,10000.00,0.00,10000.00,Alsecure Group Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284689,10000.00,0.00,10000.00,Blue Arrow Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284674,10000.00,0.00,10000.00,Boothstown Village Hall Association,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284664,4500.00,0.00,4500.00,Booze  Burn And Bloom Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,1600652864,685.43,114.24,571.19,C P Davidson & Sons Ltd,Service Reform (Corp Bus & Transform),Stock Control (Vms)
Salford City Council,2020-09-01,601284649,5445.34,907.56,4537.78,Coop Swinton,People (Childrens) Service Group,T U Supply Cover
Salford City Council,2020-09-01,1600652811,9392.40,1565.40,7827.00,Core Assets Childrens Services Ltd,People (Childrens) Service Group,Payts To Agencies
Salford City Council,2020-09-01,601284697,10000.00,0.00,10000.00,Cut & Grow Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284681,25000.00,0.00,25000.00,Dbr Group Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284684,10000.00,0.00,10000.00,Direct Lift Repair Services Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284683,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284671,10000.00,0.00,10000.00,Folly Brook Private Day Nursery Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284665,10000.00,0.00,10000.00,Food Centre Megan Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284675,10000.00,0.00,10000.00,Forefront Care Solutions Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284596,1030.90,171.81,859.09,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-09-01,601284597,757.93,126.32,631.61,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-09-01,601284598,1197.59,199.60,997.99,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-09-01,601284599,1572.34,262.06,1310.28,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-09-01,601284686,25000.00,0.00,25000.00,Gigacycle Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,1600652621,16278.00,2713.00,13565.00,Greater Manchester Treestation Ltd,Place Directorate,Contractors
Salford City Council,2020-09-01,601284687,10000.00,0.00,10000.00,Hajars Pizza House Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284676,25000.00,0.00,25000.00,Hexa Services (Uk) Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284437,28675.00,0.00,28675.00,Hexagon Care Services Ltd,People (Childrens) Service Group,Payts To Agencies
Salford City Council,2020-09-01,601284690,10000.00,0.00,10000.00,Igiannidis Limited,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284648,3185.27,530.88,2654.39,Irlam & Cadishead Academy,People (Childrens) Service Group,T U Supply Cover
Salford City Council,2020-09-01,601284574,5336.40,889.40,4447.00,Language Empire Ltd,Service Reform (Corp Bus & Transform),Interpreter/Translat
Salford City Council,2020-09-01,1600652677,71723.28,11953.88,59769.40,Liquidlogic Ltd,Service Reform (Corp Bus & Transform),Purch Of Comp Soft
Salford City Council,2020-09-01,601284660,10000.00,0.00,10000.00,Manchester Carpet Tile Centre Ltd.,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,1600652799,817.94,136.32,681.62,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Energy Conservation
Salford City Council,2020-09-01,601284673,10000.00,0.00,10000.00,Mby Sixth Form,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,1600652809,36600.00,0.00,36600.00,Mercia Children Services Ltd,People (Childrens) Service Group,Payts To Agencies
Salford City Council,2020-09-01,601284695,10000.00,0.00,10000.00,Moorside Social Club,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284666,10000.00,0.00,10000.00,Our Dogs Publishing Co. Ltd,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,1600652868,1067.05,177.84,889.21,P F Cusack (Tools Supplies) Ltd,Place Directorate,Clothing & Uniforms
Salford City Council,2020-09-01,601284608,600.00,0.00,600.00,Redacted Data,Service Reform (Corp Bus & Transform),Liability Insurance
Salford City Council,2020-09-01,601284646,1810.60,0.00,1810.60,Redacted Data,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2020-09-01,601284661,4500.00,0.00,4500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284663,4000.00,0.00,4000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284668,2500.00,0.00,2500.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284678,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
Salford City Council,2020-09-01,601284679,10000.00,0.00,10000.00,Redacted Data,Service Reform (Corp Bus & Transform),Grants
