Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2019-09-02,1600632916,12219.77,0.00,12219.77,Acorn Care & Education Ltd,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2019-09-02,1600633898,4753.67,0.00,4753.67,Birtenshaw Hall,People (Childrens) Service Group,Non-Maint Spec Schls
Salford City Council,2019-09-02,1600633895,13026.00,0.00,13026.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,1600633894,16375.67,0.00,16375.67,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,1600633893,20345.00,0.00,20345.00,Birtenshaw Hall,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,ybmzezyfi,539.11,0.00,539.11,Contact Photographic S,Service Reform (Corp Bus & Transform),Equipment Purchase
Salford City Council,2019-09-02,1600633531,3480.00,580.00,2900.00,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2019-09-02,1600633533,6588.00,1098.00,5490.00,Dolphin Mobility Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2019-09-02,601253211,3538.00,588.00,2950.00,G Kern,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-09-02,601253210,3579.00,588.00,2991.00,G Kern,People (Childrens) Service Group,Agency Fees
Salford City Council,2019-09-02,601252120,3600.00,600.00,3000.00,Gatenby Sanderson Limited,Public Health,Chief Officer-Basic
Salford City Council,2019-09-02,1600632777,1560.00,260.00,1300.00,General Utilities Northwest Ltd,Place Directorate,Grounds Maintenance
Salford City Council,2019-09-02,601253227,7267.50,0.00,7267.50,Hcb Park Woodfine Llp,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2019-09-02,601252291,750.00,0.00,750.00,Horizon Care & Education Group Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,ehvqppvct,750.00,0.00,750.00,Iz *kevin Booth Painting,People (Adults) - CHSC,Furniture
Salford City Council,2019-09-02,zpmhjthtf,615.00,0.00,615.00,Jet2.Com Gbp0798004832699,Place Directorate,Travel
Salford City Council,2019-09-02,601253207,14865.75,0.00,14865.75,Manchester City Mission,People (Adults) - CHSC,Rents
Salford City Council,2019-09-02,1600633906,1081.49,180.25,901.24,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2019-09-02,1600633905,1388.87,231.48,1157.39,Mast Lift Project Co (No2) Ltd,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,2019-09-02,601252703,655.56,0.00,655.56,Redacted Data,Public Health,Payts to Agencies
Salford City Council,2019-09-02,601252614,959.04,0.00,959.04,Redacted Data,Public Health,Payts to Agencies
Salford City Council,2019-09-02,601253218,960.00,0.00,960.00,Redacted Data,Place Directorate,Other Prof Fees
Salford City Council,2019-09-02,1600633924,1570.40,0.00,1570.40,Redacted Data,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,1600633926,25000.00,0.00,25000.00,Rochdale Mbc,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,601253215,1550.00,0.00,1550.00,Salford Community Leisure Ltd,Capital Expenditure,sal sac gym plan
Salford City Council,2019-09-02,1600633925,10166.66,0.00,10166.66,Salford Royal Nhs Foundation Trust,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2019-09-02,1600633201,583.39,97.23,486.16,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2019-09-02,1600633206,974.40,162.40,812.00,Schofield & Sons,Place Directorate,UV Day to Day
Salford City Council,2019-09-02,1600633166,1688.40,281.40,1407.00,Schofield & Sons Ltd,Place Directorate,UV Day to Day
Salford City Council,2019-09-02,1600633167,2175.60,362.60,1813.00,Schofield & Sons Ltd,People (Childrens) Service Group,UV Day to Day
Salford City Council,2019-09-02,1600633164,4149.17,691.53,3457.64,Schofield & Sons Ltd,Capital Expenditure,Works & Building
Salford City Council,2019-09-02,601253318,960.00,0.00,960.00,Sms Coaching Ltd,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,1600632910,8736.00,1456.00,7280.00,Tameside Mbc,Service Reform (Corp Bus & Transform),Payt to Lead Dists
Salford City Council,2019-09-02,1600632917,33000.00,0.00,33000.00,Turning Point Services Limited,Public Health,Agnc Rec Hlth Auth
Salford City Council,2019-09-02,601253222,2061.50,0.00,2061.50,Weightmans Llp,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2019-09-02,601253224,5710.00,0.00,5710.00,Weightmans Llp,Service Reform (Corp Bus & Transform),Other Prof Fees
Salford City Council,2019-09-02,1600633425,8519.48,1419.91,7099.57,Whistl Uk Ltd,Service Reform (Corp Bus & Transform),Postage
Salford City Council,2019-09-02,601253208,62075.00,0.00,62075.00,Witherslack Group,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-02,601253062,1564.53,260.75,1303.78,Zurich Assurance Ltd,Place Directorate,Premises Insurance
Salford City Council,2019-09-03,1600633901,4842.84,807.14,4035.70,Aecom Ltd,Capital Expenditure,Ext Fees-Other
Salford City Council,2019-09-03,1600633669,12465.70,2076.62,10389.08,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2019-09-03,1600633671,14620.62,2436.77,12183.85,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2019-09-03,1600633670,15411.36,2568.56,12842.80,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2019-09-03,1600633668,31409.10,5234.85,26174.25,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2019-09-03,1600633048,14125.34,2354.22,11771.12,Bolton Council,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2019-09-03,fcdjwsjip,512.98,0.00,512.98,Brake Bros Ltd,Place Directorate,Staff and Welfare Catering
Salford City Council,2019-09-03,pqcetextk,586.62,0.00,586.62,Brake Bros Ltd,Place Directorate,Staff and Welfare Catering
