Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
10005804,GREATER LONDON AUTHORITY,542320,Shared Services Fees,5107960135,4516218.19,2013-10-03
18000062,SOUTHERN HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018649,2882250.00,2013-10-03
10016643,AMAS LTD,510400,Commercial Property Rent,1900018635,1673907.50,2013-10-01
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018677,1655334.00,2013-10-11
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018632,1244997.00,2013-10-01
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018672,1156250.00,2013-10-10
15500235,LONDON BOROUGH OF TOWER HAMLETS,544075,Grants to External Organisations,5107963634,782338.00,2013-10-09
15050001,SQUIRE SANDERS (UK) LLP,542420,Claim Settlements,1900018671,774859.96,2013-10-09
10020764,BROADWAY HOMELESSNESS AND SUPPORT,542800,Hsg-Rough Sleeping,5107974335,711351.00,2013-10-02
18000079,TELFORD HOMES PLC,544078,HSG Grants to Non-Registered Providers,1900018660,603529.00,2013-10-08
18000062,SOUTHERN HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018648,507000.00,2013-10-03
10002766,LONDON COUNCILS,550035,CCS Adjudication Services Contract,5107964711,486608.41,2013-09-23
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018673,472500.00,2013-10-10
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018634,424001.00,2013-10-01
10022044,QUINTAIN MERIDIAN LIMITED,550010,Contracted Services Buildings,5107964392,394347.00,2013-09-25
15050001,H M REVENUE & CUSTOMS,544070,Miscellaneous Finance Expenses,1900001088,392287.00,2013-09-23
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107973823,384456.62,2013-10-01
10022120,ONE HOUSING GROUP LIMITED,542800,Hsg-Rough Sleeping,5107949622,330615.00,2013-09-25
10009307,FILM LONDON LTD,544075,Grants to External Organisations,5107976126,295000.00,2013-10-07
10022044,QUINTAIN MERIDIAN LIMITED,550010,Contracted Services Buildings,5107970658,271898.27,2013-10-03
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107969644,252537.00,2013-09-26
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018581,218856.00,2013-09-25
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5107976385,203788.35,2013-10-07
