Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10000044,CITY OF LONDON,544063,INCOME MAXIMISATION EXPENSES,5109635061,76800.00,2019-11-12,RESOURCES,CORPORATE AND DEMOCRATIC CORE
10000044,CITY OF LONDON,502010,SECONDED STAFF - NON GROUP,5109646543,7545.60,2019-12-02,COMMUNITIES AND INTELLIGENCE,PLANNING SERVICES
10000048,ORDNANCE SURVEY,542355,OTHER PROFESSIONAL FEES,5109645900,1500.00,2019-11-27,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10000048,ORDNANCE SURVEY,542355,OTHER PROFESSIONAL FEES,5109645907,1100.00,2019-11-27,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5109646966,1935.70,2019-11-27,RESOURCES,SUPPORT COSTS
10000135,OFFICE DEPOT UK LTD,533010,STATIONERY,5109647055,281.6,2019-11-26,RESOURCES,SUPPORT COSTS
10000194,CITY SPRINT (UK) LTD,535400,COURIERS,1900046480,282.51,2019-11-27,RESOURCES,SUPPORT COSTS
10000221,AECOM LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109644822,13290.17,2019-11-27,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000221,AECOM LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109647106,18044.87,2019-12-04,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000226,KINGS COLLEGE LONDON,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109639465,39676.00,2019-11-25,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000318,UNIVERSITY COLLEGE LONDON,504200,STAFF TRAINING,5109647357,2500.00,2019-11-12,RESOURCES,SUPPORT COSTS
10000361,LINKS SIGNS,542355,OTHER PROFESSIONAL FEES,5109604285,21500.00,2019-11-19,COMMUNITIES AND INTELLIGENCE,COMMUNITY DEVELOPMENT
10000407,BT CONFERENCING,535000,TELEPHONY FIXED,1900046463,572.87,2019-11-21,RESOURCES,SUPPORT COSTS
10000407,BT CONFERENCING,535000,TELEPHONY FIXED,1900046464,2797.22,2019-11-21,RESOURCES,SUPPORT COSTS
10000419,ASHURST LLP,542300,LEGAL FEES,5109651741,5469.00,2019-11-25,HOUSING & REGENERATN,HOUSING SERVICES
10000419,ASHURST LLP,542300,LEGAL FEES,5109651742,1195.00,2019-11-25,HOUSING & REGENERATN,HOUSING SERVICES
10000419,ASHURST LLP,542300,LEGAL FEES,5109651744,11017.00,2019-11-25,HOUSING & REGENERATN,HOUSING SERVICES
10000419,ASHURST LLP,542300,LEGAL FEES,5109658881,1750.00,2019-11-29,HOUSING & REGENERATN,HOUSING SERVICES
10000428,THE PRESS ASSOCIATION LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109645580,875.31,2019-11-27,EXTERNAL AFFAIRS,CORPORATE AND DEMOCRATIC CORE
10000513,MONO EUROPE LTD,504500,STAFF WELFARE BENEFITS,5109651845,1214.56,2019-11-28,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109617037,970,2019-11-15,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109638121,37100.00,2019-11-21,CORPORATE MANAGEMENT,CORPORATE AND DEMOCRATIC CORE
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109636569,468,2019-11-20,PRIVATE OFFICE,CORPORATE AND DEMOCRATIC CORE
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109632699,391,2019-11-13,EXTERNAL AFFAIRS,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109635361,485,2019-11-19,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109636519,391,2019-11-20,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109631962,391,2019-11-13,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109638120,391,2019-11-21,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109639710,391,2019-11-26,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109647141,630,2019-11-11,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,1900046460,7103.19,2019-11-29,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109631958,391,2019-11-13,HOUSING & REGENERATN,HOUSING SERVICES
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109636516,344,2019-11-20,HOUSING & REGENERATN,HOUSING SERVICES
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109636566,344,2019-11-20,HOUSING & REGENERATN,HOUSING SERVICES
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109631774,391,2019-11-13,HOUSING & REGENERATN,HOUSING SERVICES
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109636517,391,2019-11-20,PRIVATE OFFICE,PLANNING SERVICES
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,5109510196,387,2019-11-11,PRIVATE OFFICE,PLANNING SERVICES
10000545,O2 UK LIMITED,536000,MANAGE IT SERVICES,5109562614,339,2019-11-29,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",CHILDRENS AND EDUCATION SERVICES
10000545,O2 UK LIMITED,536300,COMPUTER HARDWARE,5109639677,391,2019-11-26,RESOURCES,SUPPORT COSTS
10000545,O2 UK LIMITED,536300,COMPUTER HARDWARE,5109510196,258,2019-11-11,PRIVATE OFFICE,PLANNING SERVICES
10000690,ENGINE TRANSFORMATION LIMITED,504200,STAFF TRAINING,5109655319,17186.67,2019-11-27,RESOURCES,SUPPORT COSTS
10000775,STONEWALL,504200,STAFF TRAINING,5109628482,2500.00,2019-11-28,RESOURCES,SUPPORT COSTS
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5109632029,965.16,2019-11-13,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5109636507,1016.95,2019-11-20,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5109641349,988.7,2019-11-27,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000785,HUNTRESS SEARCH LTD,502000,AGENCY STAFF,5109646508,629.7,2019-12-04,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000804,MR REUBEN TAYLOR QC,542300,LEGAL FEES,5109664826,78500.00,2019-12-06,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10001119,INSIGHT DIRECT UK LIMITED,542100,IT CONSULTANCY,5109642074,36660.00,2019-11-26,RESOURCES,SUPPORT COSTS
10001119,INSIGHT DIRECT UK LIMITED,536000,MANAGE IT SERVICES,5109642075,47850.00,2019-11-26,RESOURCES,SUPPORT COSTS
10001945,ASK EUROPE PLC,504200,STAFF TRAINING,5109652424,1800.00,2019-11-28,RESOURCES,SUPPORT COSTS
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109635800,68219.93,2019-11-18,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5109645855,4360.00,2019-12-03,RESOURCES,SUPPORT COSTS
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5109647058,3454.50,2019-12-04,RESOURCES,SUPPORT COSTS
10002638,SETON LTD,536400,COMPUTER CONSUMABLES,5109646514,724.2,2019-11-14,RESOURCES,SUPPORT COSTS
10002694,BIRKBECK COLLEGE,504200,STAFF TRAINING,5109635753,2445.00,2019-11-18,RESOURCES,SUPPORT COSTS
10002789,GVA GRIMLEY LTD T/A AVISON YOUNG,542060,PLANNING & DEVELOPMENT CONSULTANCY,5109658900,16953.44,2019-12-05,HOUSING & REGENERATN,HOUSING SERVICES
10002789,GVA GRIMLEY LTD T/A AVISON YOUNG,542060,PLANNING & DEVELOPMENT CONSULTANCY,5109658902,2000.00,2019-11-28,HOUSING & REGENERATN,HOUSING SERVICES
10003065,LONDON FIRE & EMERGENCY PLANNING,535300,POSTAGE,5109635890,472.54,2019-11-19,RESOURCES,SUPPORT COSTS
10003065,LONDON FIRE & EMERGENCY PLANNING,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109639737,30185.00,2019-11-25,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
