Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
10010680,SKILLS FESTIVAL COMPANY,544075,Grants to External Organisations,5107950552,100000.00,2013-09-03
10020764,BROADWAY HOMELESSNESS AND SUPPORT,542800,Hsg-Rough Sleeping,5107941549,99491.00,2013-08-19
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018471,98100.00,2013-08-30
10023404,PUBLIC HEALTH ENGLAND,544075,Grants to External Organisations,5107931156,93500.00,2013-08-29
13000399,VOLKER FITZPATRICK LTD,550010,Contracted Services Buildings,5107935759,90836.68,2013-09-06
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018467,78336.00,2013-08-30
10023412,POCKET LIVING 2013 LLP,544075,Grants to External Organisations,5107953489,78000.00,2013-09-09
10017009,MORE LONDON,510050,Property Service Charges,1900018534,70349.00,2013-09-11
10021190,SAINT JOHN OF GOD HOSPITALLER SERVI,542000,Management & Support Consultancy,5107941550,69686.50,2013-08-28
18000059,AGUDAS ISRAEL HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018509,67500.00,2013-09-04
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107934405,67275.19,2013-08-27
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018453,65348.00,2013-08-28
10021258,SEETEC,544075,Grants to External Organisations,5107935724,62500.77,2013-09-11
13000399,VOLKER FITZPATRICK LTD,550010,Contracted Services Buildings,5107918680,61253.47,2013-09-02
15050016,SQUIRE SANDERS (UK) LLP,542420,Claim Settlements,1900018447,60000.00,2013-08-28
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018482,57225.00,2013-09-02
10016689,BLISS EVENTS MANAGEMENT LIMITED,542330,Event Management Fee,5107949316,54748.00,2013-08-30
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5107931386,50911.00,2013-08-28
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5107929231,50185.83,2013-08-21
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5107929694,50185.83,2013-08-21
10016524,TRANSPORT FOR LONDON,542000,Management & Support Consultancy,5107931135,50000.00,2013-08-28
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018469,49975.00,2013-08-30
10023545,EVERSHEDS LLP,542420,Claim Settlements,1900018498,47644.35,2013-09-04
10020764,BROADWAY HOMELESSNESS AND SUPPORT,544075,Grants to External Organisations,5107944284,44184.00,2013-08-21
10019301,THAMES REACH,544075,Grants to External Organisations,5107934344,44101.00,2013-08-28
10013679,SAFER LONDON FOUNDATION,544075,Grants to External Organisations,5107941271,44070.00,2013-08-19
18000033,POPLAR HARCA LTD,544076,HSG Grants to Registered Providers,1900018527,43923.00,2013-09-06
10003560,EVERSHEDS,542000,Management & Support Consultancy,5107915022,41485.85,2013-08-27
13002176,GBM SERVICES LTD,510700,Office Cleaning,5107934409,39382.94,2013-08-29
13002176,GBM SERVICES LTD,510700,Office Cleaning,5107952824,39382.94,2013-09-05
10000063,VODAFONE CORPORATE LTD,535020,"Mobile Phone Line Rent, Calls & Equipment",1900018538,38503.27,2013-09-12
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107930787,37621.71,2013-08-23
10016904,GREENWICH LEISURE LTD,550010,Contracted Services Buildings,5107936459,35000.00,2013-09-03
10021206,M INTEGRATED SOLUTIONS PLC,540700,Public Affairs & Media Relations,5107957921,34000.00,2013-09-10
14000685,CUK SECURITY SERVICES,510025,Security Services (Guards),5107934119,32834.85,2013-09-03
10003560,EVERSHEDS,542000,Management & Support Consultancy,5107949858,32372.60,2013-09-02
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018512,30073.00,2013-09-04
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018513,30073.00,2013-09-04
18000102,LB NEWHAM,544077,HSG Grants to Local Authorities,1900018459,30000.00,2013-08-29
18000102,LB NEWHAM,544077,HSG Grants to Local Authorities,1900018460,30000.00,2013-08-29
18000102,LB NEWHAM,544077,HSG Grants to Local Authorities,1900018461,30000.00,2013-08-29
18000102,LB NEWHAM,544077,HSG Grants to Local Authorities,1900018462,30000.00,2013-08-29
10017690,MEDIAEDGE:CIA UK LTD,540600,Marketing & Economic Research,5107958605,29702.85,2013-09-11
10019870,MORRIS VISITOR PUBLICATIONS,540700,Public Affairs & Media Relations,5107937294,29250.00,2013-09-04
10016942,IDOX,533100,Publications & Periodicals,5107925762,29206.50,2013-08-21
10023528,O''-BAY COMMUNITY TRUST,544075,Grants to External Organisations,5107949636,29121.00,2013-09-04
10017256,OPEN IQ,536200,Computer Software,5107931444,28600.00,2013-08-21
10019763,RSM TENON,542000,Management & Support Consultancy,5107944149,27036.25,2013-08-21
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018468,25244.00,2013-08-30
13000399,VOLKER FITZPATRICK LTD,550010,Contracted Services Buildings,5107935759,25065.04,2013-09-06
10016694,BOW TIE,530010,Equipment Repairs & Maintenance,5107954500,24358.50,2013-09-10
10022795,3SC,544075,Grants to External Organisations,5107950532,24085.70,2013-09-04
10017747,DEHAVILLAND INFORMATION SERVICES LT,540700,Public Affairs & Media Relations,5107933398,22050.00,2013-08-23
10002789,GVA GRIMLEY LTD,510010,Property Management Fees,5107935085,20847.49,2013-08-28
14000368,HAVAS PEOPLE LIMITED,504000,Recruitment Advertising,5107944417,20460.44,2013-09-03
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018511,20048.00,2013-09-04
10016689,BLISS EVENTS MANAGEMENT LIMITED,542330,Event Management Fee,5107949397,20000.00,2013-09-02
13000399,VOLKER FITZPATRICK LTD,550010,Contracted Services Buildings,5107958603,20000.00,2013-09-11
10003560,EVERSHEDS,542000,Management & Support Consultancy,5107949852,19776.20,2013-09-02
14000168,TRIBAL EDUCATION LIMITED,544075,Grants to External Organisations,5107945268,19500.00,2013-08-29
10016938,ICM RESEARCH LIMITED,542000,Management & Support Consultancy,5107923934,17750.00,2013-08-19
10017690,MEDIAEDGE:CIA UK LTD,540600,Marketing & Economic Research,5107958605,16268.95,2013-09-11
10021219,HOME CONNECTIONS LETTINGS LIMITED,536300,Computer Hardware,5107949409,15000.00,2013-09-12
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107855729,14798.50,2013-08-19
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107839333,14140.00,2013-08-19
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107891406,14040.00,2013-08-19
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107922881,13543.24,2013-08-19
10023280,SAVILLS SCIENCE LIMITED,544075,Grants to External Organisations,5107938600,13517.00,2013-08-29
10008226,EDENRED (UK GROUP) LTD,504702,0,5107944364,13505.10,2013-08-22
18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900018420,13500.00,2013-08-20
10017690,MEDIAEDGE:CIA UK LTD,540000,Advertising,5107933543,13390.00,2013-08-28
15050001,THE JOIN IN TRUST LIMITED,540700,Public Affairs & Media Relations,1900018456,13382.32,2013-09-04
10016640,ALL CLEAN GROUP,510000,Building Maintenance & Repairs,5107936113,13252.50,2013-08-22
10022074,G4S SECURE SOLUTIONS (UK) LTD,510025,Security Services (Guards),5107933665,12803.35,2013-08-28
10023213,THE PASSAGE,544075,Grants to External Organisations,5107944295,12500.00,2013-08-27
10014124,CB RICHARD ELLIS LTD,542000,Management & Support Consultancy,5107946575,12068.30,2013-08-23
18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900018419,12000.00,2013-08-20
10011198,CAPITA SYMONDS LIMITED,530010,Equipment Repairs & Maintenance,5107941391,11900.00,2013-08-19
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018481,11533.00,2013-09-02
10017256,OPEN IQ,536200,Computer Software,5107954379,11440.00,2013-09-12
10017470,COMPUTACENTER,536510,Software Maintenance,5107940426,11428.76,2013-09-04
10023216,PLUNKETT FOUNDATION,542000,Management & Support Consultancy,5107948838,10000.00,2013-08-30
10018022,W A FAIRHURST & PARTNERS,510052,Grounds Maintenance,5107947447,9995.15,2013-09-11
10021176,CAMERON AND WILDING LTD,536000,Manage IT Services,5107863143,9800.00,2013-09-03
10016707,BURGES SALMON LLP,542000,Management & Support Consultancy,5107933480,9702.08,2013-09-05
10023545,EVERSHEDS LLP,542420,Claim Settlements,1900018421,9370.00,2013-08-22
13000367,VEOLIA ES (UK) PLC,510010,Property Management Fees,5107930353,9245.56,2013-08-22
10020922,STREET LEAGUE,544075,Grants to External Organisations,5107948204,8500.00,2013-08-29
13002583,OSBORNE ENERGY LTD,550010,Contracted Services Buildings,5107944487,8434.00,2013-08-22
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107855729,8385.00,2013-08-19
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107839333,8220.00,2013-08-19
10021374,TSIP,542001,Consultancy  Evaluation Assessment,5107949978,8125.00,2013-09-02
10020138,JULIE'S BICYCLE LTD,542002,Consultancy-Project Management,5107944935,8100.00,2013-08-22
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107891406,8070.00,2013-08-19
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107922881,8070.00,2013-08-19
10017736,WYG MANAGEMENT SERVICES,542002,Consultancy-Project Management,5107933574,8000.00,2013-08-28
10022064,PRECISE MEDIA MONITORING LTD,540700,Public Affairs & Media Relations,5107939627,7545.04,2013-09-04
10023545,EVERSHEDS LLP,542420,Claim Settlements,1900018422,7500.00,2013-08-22
13002540,VITAL ENERGI UTILITES LTD,550010,Contracted Services Buildings,5107955369,7127.50,2013-09-09
10000772,DENTONS UKMEA LLP,587015,Disposal Fees - Legal,5107840822,7104.68,2013-08-23
10003560,EVERSHEDS,542000,Management & Support Consultancy,5107949855,7068.80,2013-09-02
10017690,MEDIAEDGE:CIA UK LTD,540600,Marketing & Economic Research,5107958611,7006.99,2013-09-12
10007475,GRANT THORNTON UK LLP,542000,Management & Support Consultancy,5107819853,6666.00,2013-08-22
10005850,REED BUSINESS INFORMATION,533100,Publications & Periodicals,5107948938,6636.90,2013-08-29
10022210,PROFILE SECURITY SERVICES LTD,510025,Security Services (Guards),5107933968,6625.80,2013-08-28
10002789,GVA GRIMLEY LTD,510010,Property Management Fees,5107928517,6500.00,2013-09-03
10003560,EVERSHEDS,542000,Management & Support Consultancy,5107949969,6399.20,2013-09-02
10014084,GERALD EVE,542000,Management & Support Consultancy,5107934965,6335.63,2013-08-21
10023532,SELFLESS,544075,Grants to External Organisations,5107954547,6000.00,2013-09-06
10000772,DENTONS UKMEA LLP,587015,Disposal Fees - Legal,5107841266,5885.65,2013-09-09
10000758,HYDER CONSULTING (UK) LTD,542000,Management & Support Consultancy,5107947038,5823.00,2013-09-09
15050016,200319000010762014,587015,Disposal Fees - Legal,1900001076,5750.00,2013-09-04
10016797,DBR (LONDON) LIMITED,510000,Building Maintenance & Repairs,5107947165,5643.20,2013-09-06
10016904,GREENWICH LEISURE LTD,510010,Property Management Fees,5107935894,5643.04,2013-09-03
10002085,DRIVERS JONAS DELOITTE,542300,Legal Fees,5107939953,5407.50,2013-09-06
10007641,HERBERT SMITH LLP,510010,Property Management Fees,5107936723,5259.69,2013-08-27
10007475,GRANT THORNTON UK LLP,542000,Management & Support Consultancy,5107946576,5226.00,2013-09-09
10000007,THOMSON REUTERS LIMITED,533101,Data Purchase,5107941560,5207.64,2013-09-05
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107941379,5114.47,2013-08-19
10020945,AGE UK BROMLEY,544075,Grants to External Organisations,5107941228,5063.00,2013-08-19
10020677,NETWORK RAIL LIMITED,510010,Property Management Fees,5107931480,5051.75,2013-08-20
10000044,CITY OF LONDON,504020,Recruitment Agency Fees,5107939080,5040.00,2013-09-04
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107929415,5020.60,2013-08-23
10017997,GIGL,542000,Management & Support Consultancy,5107934561,5000.00,2013-09-02
10018487,LRS CONSULTANCY LTD,542000,Management & Support Consultancy,5107929684,5000.00,2013-08-30
10021165,DKH LEGACY TRUST,544075,Grants to External Organisations,5107907116,5000.00,2013-09-12
10022254,ARCOLA ENERGY LTD,530010,Equipment Repairs & Maintenance,5107946861,5000.00,2013-08-30
10017245,OCS CATERING,531010,Caterers Service Charges,5107940685,4952.52,2013-08-20
10003560,EVERSHEDS,542000,Management & Support Consultancy,5107949976,4925.60,2013-09-02
10019713,BLOSSOMS HEALTHCARE LLP,504400,Staff Medical Insurance & Treatment,5107941096,4865.00,2013-08-19
10016709,BYWATERS (LEYTON) LIMITED,510710,Non Recyclable Waste Disposal/Refuse Collection,5107940974,4863.13,2013-08-19
10014084,GERALD EVE,542000,Management & Support Consultancy,5107934966,4838.75,2013-08-21
10018146,EC HARRIS LLP,510700,Office Cleaning,5107925917,4801.00,2013-08-21
10017245,OCS CATERING,531010,Caterers Service Charges,5107940676,4724.15,2013-08-20
14000615,CAPITA SYMONDS LTD,542000,Management & Support Consultancy,5107924023,4652.27,2013-08-20
13000367,VEOLIA ES (UK) PLC,510700,Office Cleaning,5107930398,4363.91,2013-08-22
10014084,GERALD EVE,542000,Management & Support Consultancy,5107934970,4328.13,2013-08-21
10016707,BURGES SALMON LLP,542000,Management & Support Consultancy,5107933476,4289.58,2013-09-05
16000899,HYRAMP T/A HYER,542355,Other Professional Fees,5107933587,4267.05,2013-09-02
10018022,W A FAIRHURST & PARTNERS,510000,Building Maintenance & Repairs,5107952280,4070.74,2013-09-12
10002682,BPP ACCOUNTANCY COURSES,504200,Staff Training,5107934149,4004.00,2013-08-28
10016938,ICM RESEARCH LIMITED,540600,Marketing & Economic Research,5107935831,4000.00,2013-09-02
15050001,RIOSOFT,540110,Marketing Exhibitions & Events,1900018505,4000.00,2013-09-05
10002789,GVA GRIMLEY LTD,510056,Site Supervision,5107954028,3989.14,2013-09-05
10017245,OCS CATERING,531010,Caterers Service Charges,5107935930,3925.99,2013-08-29
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107935224,3730.48,2013-08-28
10017158,VAN VYNCK ENVIRONMENTAL SERVICES,510000,Building Maintenance & Repairs,5107931503,3680.00,2013-09-05
10017245,OCS CATERING,531010,Caterers Service Charges,5107958685,3641.47,2013-09-12
10016714,CALYX MANAGED SERVICES LTD,536300,Computer Hardware,5107935031,3628.87,2013-09-10
10017245,OCS CATERING,531010,Caterers Service Charges,5107947811,3600.00,2013-08-28
10021767,KATE F JONES LTD,542002,Consultancy-Project Management,5107948494,3600.00,2013-09-02
16000899,HYRAMP T/A HYER,542355,Other Professional Fees,5107933346,3526.49,2013-09-02
10023532,SELFLESS,544075,Grants to External Organisations,5107954550,3500.00,2013-09-06
13002265,ATKINS LIMITED,542000,Management & Support Consultancy,5107908786,3496.80,2013-09-02
10017690,MEDIAEDGE:CIA UK LTD,542000,Management & Support Consultancy,5107958623,3478.68,2013-09-12
10017245,OCS CATERING,531010,Caterers Service Charges,5107947982,3467.92,2013-08-28
10017736,WYG MANAGEMENT SERVICES,510630,Health & Safety Pest Control,5107933413,3464.67,2013-08-28
10002789,GVA GRIMLEY LTD,510056,Site Supervision,5107941491,3255.71,2013-09-04
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107839333,3251.33,2013-08-19
14000615,CAPITA SYMONDS LTD,542000,Management & Support Consultancy,5107924024,3229.17,2013-08-20
10023153,FIELD TO FORK ORGANICS,544075,Grants to External Organisations,5107949663,3200.00,2013-09-02
12002347,IPSOS MORI,540600,Marketing & Economic Research,5107941384,3200.00,2013-08-27
10017690,MEDIAEDGE:CIA UK LTD,542000,Management & Support Consultancy,5107958599,3199.89,2013-09-11
10014124,CB RICHARD ELLIS LTD,542000,Management & Support Consultancy,5107946575,3135.65,2013-08-23
15500071,LONDON BOROUGH HAMMERSMITH & FULHAM,533000,Printing,5107950038,3125.00,2013-09-02
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5107955420,3059.76,2013-09-09
10019763,RSM TENON,542000,Management & Support Consultancy,5107943806,3018.65,2013-08-21
10021176,CAMERON AND WILDING LTD,542000,Management & Support Consultancy,5107945364,2885.00,2013-09-12
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107901019,2835.00,2013-08-19
10021881,MASK DOCUMENTS LTD,533000,Printing,5107946589,2724.00,2013-09-06
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,Consultancy-Project Management,5107939078,2723.82,2013-08-21
10022974,AIREY MILLER PARTNERSHIP LLP,542000,Management & Support Consultancy,5107946833,2722.50,2013-08-27
10015031,CREATIVE X LIMITED,540510,Publications & Publicity Material,5107917832,2688.50,2013-08-23
10014124,CB RICHARD ELLIS LTD,542000,Management & Support Consultancy,5107946575,2661.35,2013-08-23
10014124,CB RICHARD ELLIS LTD,542000,Management & Support Consultancy,5107946575,2635.00,2013-08-23
10014124,CB RICHARD ELLIS LTD,542000,Management & Support Consultancy,5107946575,2635.00,2013-08-23
10000532,M&C SAATCHI LTD,540510,Publications & Publicity Material,5107941698,2550.00,2013-09-09
10007586,LEVEL 3 COMMUNICATIONS UK LTD,535000,"Telephone Line Rent, Calls & Equipment",1900018491,2362.33,2013-09-04
10004619,BT SERVICE AGILITY,535000,"Telephone Line Rent, Calls & Equipment",1900018514,2356.45,2013-09-05
10017245,OCS CATERING,531010,Caterers Service Charges,5107947952,2354.60,2013-08-29
13002584,WILLMOTT DIXON ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107944126,2350.00,2013-08-21
13002584,WILLMOTT DIXON ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107944127,2350.00,2013-08-21
10007586,LEVEL 3 COMMUNICATIONS UK LTD,535000,"Telephone Line Rent, Calls & Equipment",1900018492,2324.86,2013-09-04
10019763,RSM TENON,542000,Management & Support Consultancy,5107929869,2252.64,2013-08-21
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107936566,2211.56,2013-08-21
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107941749,2211.56,2013-08-21
10010003,ICON DISPLAY LIMITED,540510,Publications & Publicity Material,5107929429,2181.20,2013-09-05
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107952434,2171.52,2013-09-06
10020230,URBANCANDA,504200,Staff Training,5107926069,2160.00,2013-08-21
14000368,HAVAS PEOPLE LIMITED,504000,Recruitment Advertising,5107936427,2152.15,2013-09-12
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107891406,2135.34,2013-08-19
10017690,MEDIAEDGE:CIA UK LTD,542000,Management & Support Consultancy,5107958589,2083.94,2013-09-11
10020189,URBAN BEINGS LIMITED,542000,Management & Support Consultancy,5107949926,2032.28,2013-09-02
10007464,CROWN WORLDWIDE LTD,533040,Document Archive & Storage,5107933349,2022.41,2013-09-04
10022064,PRECISE MEDIA MONITORING LTD,540700,Public Affairs & Media Relations,5107940953,2012.84,2013-08-19
10006084,HAYS ACCOUNTANCY PERSONNEL,502000,Agency Staff,5107943532,2009.39,2013-09-09
10018498,FRESH NETWORKS GLOBAL LTD,542000,Management & Support Consultancy,5107935196,2000.00,2013-08-19
10015602,KEMSLEY LLP,510012,Valuation Fees,5107885500,2000.00,2013-08-27
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107952435,1993.48,2013-09-06
14000521,HUNTRESS SEARCH LTD,504020,Recruitment Agency Fees,5107949303,1954.80,2013-09-04
10002789,GVA GRIMLEY LTD,510010,Property Management Fees,5107941289,1931.25,2013-08-19
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107934437,1915.20,2013-08-28
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107936454,1915.20,2013-08-21
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107941692,1915.20,2013-08-21
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107947011,1915.20,2013-08-29
15500071,LONDON BOROUGH HAMMERSMITH & FULHAM,535300,Postage,5107939587,1909.00,2013-08-28
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107941557,1901.02,2013-08-19
13000367,VEOLIA ES (UK) PLC,510010,Property Management Fees,5107930354,1886.25,2013-08-22
15500071,LONDON BOROUGH HAMMERSMITH & FULHAM,535400,Couriers,5107950040,1880.00,2013-09-02
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,Agency Staff,5107935913,1875.05,2013-08-22
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,Agency Staff,5107943790,1875.05,2013-08-30
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,Agency Staff,5107949632,1875.05,2013-09-04
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,Agency Staff,5107955976,1875.05,2013-09-12
10000112,GFK NOP LTD,533101,Data Purchase,5107929710,1875.00,2013-08-21
10007464,CROWN WORLDWIDE LTD,533040,Document Archive & Storage,5107933983,1873.87,2013-09-02
10014124,CB RICHARD ELLIS LTD,542000,Management & Support Consultancy,5107946575,1870.85,2013-08-23
10017245,OCS CATERING,531010,Caterers Service Charges,5107947621,1834.00,2013-08-28
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107935226,1817.21,2013-08-28
10017470,COMPUTACENTER,536000,Manage IT Services,5107939774,1787.58,2013-09-04
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,Agency Staff,5107933270,1781.30,2013-09-02
10016705,BT,535000,"Telephone Line Rent, Calls & Equipment",1900018424,1758.45,2013-09-09
10011291,SPM INTELLIGENT PRINT & COMMUNICATI,533000,Printing,5107940353,1725.00,2013-08-19
12000241,DST OUTPUT (LONDON) LTD,540510,Publications & Publicity Material,5107940363,1700.00,2013-09-09
10017269,PUREPRINT,540510,Publications & Publicity Material,5107948297,1614.00,2013-09-03
10014084,GERALD EVE,542000,Management & Support Consultancy,5107934968,1610.00,2013-08-21
10019763,RSM TENON,542000,Management & Support Consultancy,5107943802,1593.50,2013-08-21
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5107955061,1580.24,2013-09-06
13000220,DAMOVO UK LTD,536200,Computer Software,5107953938,1554.00,2013-09-05
10017470,COMPUTACENTER,536510,Software Maintenance,5107936389,1520.00,2013-09-04
10010425,LYRIC THEATRE HAMMERSMITH LTD,542330,Event Management Fee,5107946827,1500.00,2013-09-03
10021176,CAMERON AND WILDING LTD,536000,Manage IT Services,5107933122,1500.00,2013-08-28
15050086,TIDEWAY SAILABILITY,544075,Grants to External Organisations,1900018454,1500.00,2013-08-29
15050086,WHITE HART LANE LTC,544075,Grants to External Organisations,1900018455,1500.00,2013-08-29
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107922881,1491.34,2013-08-19
13002583,OSBORNE ENERGY LTD,550010,Contracted Services Buildings,5107944486,1471.20,2013-08-22
10018022,W A FAIRHURST & PARTNERS,510001,External Building Maintenance,5107947469,1445.06,2013-09-02
10022474,NATEISHA DECRUZ-YOUNG,542002,Consultancy-Project Management,5107944432,1420.00,2013-08-27
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107931384,1416.57,2013-08-28
