Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
10006080,LONDON BOROUGH OF HAVERING,544075,Grants to External Organisations,5108057827,4750288.00,2014-01-27
15500097,LONDON BOROUGH OF CAMDEN,544075,Grants to External Organisations,5108049862,3013645.00,2014-01-27
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5108056600,2429871.00,2014-01-27
10005992,LONDON BOROUGH OF GREENWICH,544075,Grants to External Organisations,5108014815,2176631.00,2014-01-14
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019074,2022514.00,2014-01-08
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019197,1722000.00,2014-01-30
10007096,R B KINGSTON UPON THAMES,544075,Grants to External Organisations,5108058033,1000000.00,2014-01-31
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019068,840000.00,2014-01-08
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019070,695350.00,2014-01-08
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019195,671000.00,2014-01-30
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019072,505490.00,2014-01-08
18000166,FOREST YMCA,544076,HSG Grants to Registered Providers,1900019088,473123.00,2014-01-15
17000045,BRITISH FASHION COUNCIL,544085,ERDF_Private Sector Companies_Current,3200000393,394375.59,2014-01-24
10017866,JACK MORTON WORLDWIDE,542330,Event Management Fee,5108040541,342000.00,2014-01-29
18000017,LHA-ASRA GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019192,320210.00,2014-01-28
10023412,POCKET LIVING 2013 LLP,544075,Grants to External Organisations,5108050674,255901.40,2014-01-17
18000017,LHA-ASRA GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019211,244687.00,2014-01-31
18000053,A2 DOMINION LONDON LTD,544076,HSG Grants to Registered Providers,1900019063,204055.00,2014-01-07
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019067,202871.00,2014-01-08
10002766,LONDON COUNCILS,550035,CCS Adjudication Services Contract,5107997929,195022.26,2014-01-09
18000017,LHA-ASRA GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019191,194062.00,2014-01-28
10007096,R B KINGSTON UPON THAMES,544075,Grants to External Organisations,5108044360,183998.87,2014-01-08
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019116,183928.00,2014-01-16
10006581,WANDSWORTH BOROUGH COUNCIL,544075,Grants to External Organisations,5107874034,181113.65,2014-01-29
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5108051237,172746.00,2014-01-17
18000017,LHA-ASRA GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019193,160715.00,2014-01-28
17000012,LONDON BOROUGH OF CROYDON,544082,ERDF_Local Auth_Current,3200000394,133363.86,2014-01-24
18000096,LONDON BOROUGH OF HACKNEY,544077,HSG Grants to Local Authorities,1900019064,127899.00,2014-01-07
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019196,122000.00,2014-01-30
14000159,UNIVERSITY OF CAMBRIDGE,544075,Grants to External Organisations,5108021999,118707.69,2014-01-15
18000053,A2 DOMINION LONDON LTD,544076,HSG Grants to Registered Providers,1900019062,100000.00,2014-01-07
10006188,IMPERIAL COLLEGE,544075,Grants to External Organisations,5108033989,99623.00,2014-01-29
10021880,RODMA,510010,Property Management Fees,5108046017,95494.83,2014-01-13
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5108057028,90115.00,2014-01-24
10010027,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5108030276,85288.00,2014-01-07
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019066,77524.00,2014-01-08
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG Grants to Registered Providers,1900019199,76279.00,2014-01-30
10004625,LONDON METROPOLITAN UNIVERSITY,544075,Grants to External Organisations,5108030913,75000.00,2014-01-08
10004625,LONDON METROPOLITAN UNIVERSITY,544075,Grants to External Organisations,5108038924,75000.00,2014-01-09
18000027,HOME GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019112,73842.00,2014-01-15
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019065,72574.00,2014-01-08
17000051,ART SERVICES GRANTS LTD,544084,ERDF_Private Sector NPISH_Current,3200000396,68440.00,2014-01-31
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019069,64621.00,2014-01-08
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5108046959,64195.90,2014-01-27
17000022,NEWHAM COLLEGE OF FURTHER EDUCATION,544084,ERDF_Private Sector NPISH_Current,3200000400,62055.12,2014-01-31
10006879,OVE ARUP & PARTNERS LTD,542000,Management & Support Consultancy,5108040999,61636.25,2014-01-08
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019198,61000.00,2014-01-30
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019071,55255.00,2014-01-08
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019073,52863.00,2014-01-08
10023503,BEST PRACTICE NETWORK LTD,542001,Consultancy  Evaluation Assessment,5108045593,52200.00,2014-01-10
10004455,BERWIN LEIGHTON PAISNER,542300,Legal Fees,5108060584,51290.81,2014-01-29
17000022,NEWHAM COLLEGE OF FURTHER EDUCATION,544084,ERDF_Private Sector NPISH_Current,3200000399,50371.43,2014-01-31
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5108038546,50032.83,2014-01-15
10009307,FILM LONDON LTD,544075,Grants to External Organisations,5108044072,50000.00,2014-01-08
10023938,CDI APPS FOR GOOD,544075,Grants to External Organisations,5108056305,50000.00,2014-01-29
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542000,Management & Support Consultancy,5108044393,46139.58,2014-01-08
17000026,RAVENSBOURNE,544084,ERDF_Private Sector NPISH_Current,3200000401,43312.11,2014-01-31
12000113,ANALYSYS MASON,542000,Management & Support Consultancy,5108046961,41256.27,2014-01-15
13002176,GBM SERVICES LTD,510700,Office Cleaning,5108041757,39382.94,2014-01-28
10022048,LONDON YOUTH SUPPORT TRUST,544075,Grants to External Organisations,5108042346,38060.62,2014-01-07
17000006,ENTERPRISE ENFIELD,544084,ERDF_Private Sector NPISH_Current,3200000397,37657.90,2014-01-31
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5108038638,36458.93,2014-01-20
10022138,HARINGEY COUNCIL,544075,Grants to External Organisations,5108057091,35390.00,2014-01-24
10001899,ERNST & YOUNG LLP,542350,Non KPMG Audit Fees,5108056273,35000.00,2014-01-23
10016904,GREENWICH LEISURE LTD,550010,Contracted Services Buildings,5108041870,35000.00,2014-01-21
10018307,LONDON CHINATOWN CHINESE ASSOC,540110,Marketing Exhibitions & Events,5108061262,34000.00,2014-01-30
17000026,RAVENSBOURNE,544084,ERDF_Private Sector NPISH_Current,3200000390,33257.90,2014-01-17
15500412,HARROW COUNCIL,544075,Grants to External Organisations,5108033959,32200.36,2014-01-06
17000043,PADDINGTON DEVELOPMENT TRUST,544084,ERDF_Private Sector NPISH_Current,3200000395,31393.88,2014-01-24
10022138,HARINGEY COUNCIL,544075,Grants to External Organisations,5108057084,31150.50,2014-01-24
14000685,CUK SECURITY SERVICES,510025,Security Services (Guards),5108042591,31104.14,2014-01-16
10023835,MULBERRY SCHOOL FOR GIRLS,544075,Grants to External Organisations,5108062024,30020.00,2014-01-31
13000367,VEOLIA ES (UK) PLC,510010,Property Management Fees,5108049064,29836.08,2014-01-23
18000116,RIVERSIDE HOUSING ASSOCIATION LTD,544076,HSG Grants to Registered Providers,1900019202,28967.00,2014-01-30
10001899,ERNST & YOUNG LLP,542350,Non KPMG Audit Fees,5108056271,28000.00,2014-01-24
10018127,GARDINER & THEOBALD FAIRWAY LTD,542000,Management & Support Consultancy,5108051197,27337.50,2014-01-17
10023929,CUCKOO HALL ACADEMIES TRUST,544075,Grants to External Organisations,5108056300,26090.00,2014-01-28
10023913,CLASSICS FOR ALL,544075,Grants to External Organisations,5108058315,25010.00,2014-01-30
10010680,SKILLS FESTIVAL COMPANY,544075,Grants to External Organisations,5108042248,25000.00,2014-01-15
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542000,Management & Support Consultancy,5108033113,24750.00,2014-01-08
10016694,BOW TIE,530010,Equipment Repairs & Maintenance,5108042231,24358.50,2014-01-09
10008276,LPFA,501000,Pension Augmentation,1900018997,23375.98,2014-01-09
15500400,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5108034170,22515.70,2014-01-08
10002789,GVA GRIMLEY LTD,510010,Property Management Fees,5108045416,20847.49,2014-01-29
15500400,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5108034175,20634.00,2014-01-08
10022814,LEONARD CHESHIRE DISABILITY,544075,Grants to External Organisations,5108040945,20155.47,2014-01-20
10018307,LONDON CHINATOWN CHINESE ASSOC,540110,Marketing Exhibitions & Events,5108061258,20000.00,2014-01-30
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5108057029,19179.00,2014-01-24
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG Grants to Registered Providers,1900019200,18693.00,2014-01-30
10003065,LONDON FIRE & EMERGENCY PLANNING,542321,Payroll Services Fees,5108044137,18600.00,2014-01-20
10017322,SERVOCA SECURE SOLUTIONS,510020,Security Equipment,5108045812,18583.55,2014-01-13
18000027,HOME GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019111,18575.00,2014-01-15
10015921,WYG ENVIRONMENT PLANNING TRANS LTD,510056,Site Supervision,5108037940,18016.00,2014-01-27
10006393,L B BEXLEY,544075,Grants to External Organisations,5108049450,17855.80,2014-01-30
10016938,ICM RESEARCH LIMITED,542000,Management & Support Consultancy,5107980140,17750.00,2014-01-17
10016938,ICM RESEARCH LIMITED,542000,Management & Support Consultancy,5108041853,17750.00,2014-01-17
15500400,LONDON BOROUGH OF SOUTHWARK,535300,Postage,5108013688,17731.00,2014-01-07
10023397,POINT FOUR ONE LLP,542002,Consultancy-Project Management,5108038871,17393.23,2014-01-07
10009443,BT GLOBAL SERVICES,535000,"Telephone Line Rent, Calls & Equipment",1900019079,16878.60,2014-01-22
10022138,HARINGEY COUNCIL,544075,Grants to External Organisations,5108057082,16831.00,2014-01-24
10000690,ORC INTERNATIONAL LTD,542001,Consultancy  Evaluation Assessment,5108032684,16666.66,2014-01-08
10014124,CBRE LIMITED,542000,Management & Support Consultancy,5108056067,16334.53,2014-01-23
10006811,ENERGY SAVING TRUST,502010,Seconded Staff - Non Group,5108034958,16116.75,2014-01-14
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5108046693,16000.00,2014-01-20
18000047,PADDINGTON CHURCHES HA LTD,544076,HSG Grants to Registered Providers,1900019113,16000.00,2014-01-15
18000047,PADDINGTON CHURCHES HA LTD,544076,HSG Grants to Registered Providers,1900019114,16000.00,2014-01-15
10018379,JACOBS U.K LTD,536510,Software Maintenance,5108032730,15000.00,2014-01-16
10023908,DESIGN EDUCATION CIC,544075,Grants to External Organisations,5108055419,15000.00,2014-01-27
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019082,14498.00,2014-01-09
10020937,LONDON & PARTNERS,520410,Business Fares,5108055990,14401.00,2014-01-23
17000055,BRUNEL UNIVERSITY,544084,ERDF_Private Sector NPISH_Current,3200000391,14071.41,2014-01-17
17000055,BRUNEL UNIVERSITY,544084,ERDF_Private Sector NPISH_Current,3200000392,13340.00,2014-01-17
10023772,BAKER TILLY BUSINESS SERV LTD,542000,Management & Support Consultancy,5108050785,13310.21,2014-01-17
10006581,WANDSWORTH BOROUGH COUNCIL,544075,Grants to External Organisations,5108041760,13290.21,2014-01-15
10016640,ALL CLEAN GROUP,510000,Building Maintenance & Repairs,5108044659,13252.50,2014-01-23
10000221,AECOM LIMITED,542000,Management & Support Consultancy,5108041604,13121.32,2014-01-20
10020436,SECUREDATA EUROPE LIMITED,536510,Software Maintenance,5108012276,13095.00,2014-01-22
10010027,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5108030276,13083.29,2014-01-07
10022709,CITI LOGIK LIMITED,542002,Consultancy-Project Management,5108049721,12833.10,2014-01-17
10018388,TIMEBASED EVENTS LTD.,540110,Marketing Exhibitions & Events,5108049868,12828.32,2014-01-23
10022074,G4S SECURE SOLUTIONS (UK) LTD,510025,Security Services (Guards),5108046515,12803.35,2014-01-28
10003560,EVERSHEDS,587015,Disposal Fees - Legal,5108041673,12695.20,2014-01-20
10006581,WANDSWORTH BOROUGH COUNCIL,544075,Grants to External Organisations,5107874034,12636.92,2014-01-29
10011986,AIR QUALITY CONSULTANTS LTD,542000,Management & Support Consultancy,5108045923,12500.00,2014-01-16
10023213,THE PASSAGE,544075,Grants to External Organisations,5108057947,12500.00,2014-01-29
10023213,THE PASSAGE,544075,Grants to External Organisations,5108057948,12500.00,2014-01-30
10023889,GLE,544075,Grants to External Organisations,5108033979,12447.00,2014-01-13
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5108051238,12419.00,2014-01-17
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5108034872,12319.00,2014-01-14
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542000,Management & Support Consultancy,5108033110,12224.44,2014-01-08
17000006,ENTERPRISE ENFIELD,544084,ERDF_Private Sector NPISH_Current,3200000398,11873.98,2014-01-31
10017690,MEDIAEDGE:CIA UK LTD,540050,Marketing Services,5108044720,11705.02,2014-01-31
10022074,G4S SECURE SOLUTIONS (UK) LTD,510025,Security Services (Guards),5108045991,11365.11,2014-01-13
17000022,NEWHAM COLLEGE OF FURTHER EDUCATION,544084,ERDF_Private Sector NPISH_Current,3200000389,11175.80,2014-01-17
10020746,ROCKET SCIENCE UK LTD,504200,Staff Training,5108050501,11027.66,2014-01-21
10004455,BERWIN LEIGHTON PAISNER,542300,Legal Fees,5107986136,10108.82,2014-01-27
10008997,LONDON WILDLIFE TRUST,542000,Management & Support Consultancy,5108060335,10000.00,2014-01-29
10019575,RIBA LONDON REGION,544075,Grants to External Organisations,5108033240,10000.00,2014-01-08
10018022,W A FAIRHURST & PARTNERS,510052,Grounds Maintenance,5108040539,9995.15,2014-01-15
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542300,Legal Fees,5108041934,9190.78,2014-01-20
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5108057031,8646.00,2014-01-24
10016715,CAMBRIDGE ECONOMETRICS,533100,Publications & Periodicals,5107987941,8323.00,2014-01-30
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5108046170,7919.83,2014-01-15
10008715,VODAFONE LIMITED,535020,"Mobile Phone Line Rent, Calls & Equipment",5108041599,7728.00,2014-01-21
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5108051608,7500.00,2014-01-22
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542300,Legal Fees,5108041933,7458.50,2014-01-20
10021579,SUSTAINABLE RESTAURANT ASSOCIATION,542000,Management & Support Consultancy,5108046659,7356.40,2014-01-15
10006188,IMPERIAL COLLEGE,540110,Marketing Exhibitions & Events,5108052607,7242.35,2014-01-21
13002540,VITAL ENERGI UTILITES LTD,550010,Contracted Services Buildings,5108042270,7217.50,2014-01-08
10020766,EUROPA,542002,Consultancy-Project Management,5108057018,7000.00,2014-01-29
