Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS649,66253087.00,2016-02-24,RESOURCES,Highways and transport services
10016524,TRANSPORT FOR LONDON,544093,NLE - GRANT PMT TO TFL,CHAPS627,20945312.00,2016-02-15,RESOURCES,Highways and transport services
NC,DCLG,544073,BUSINESS RATE RETENTION-CLG,CHAPS643,17926156.00,2016-02-22,RESOURCES,Highways and transport services
15500400,LONDON BOROUGH OF SOUTHWARK,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108675974,7155497.00,2016-02-24,Housing,Capital
15500235,LONDON BOROUGH OF TOWER HAMLETS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108678522,3357407.00,2016-02-24,Housing,Capital
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108679428,1702760.19,2016-02-08,Housing,Capital
10007096,R B KINGSTON UPON THAMES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108685297,1685169.00,2016-02-15,Housing,Capital
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034890,576810.00,2016-02-19,Housing,Capital
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034923,526333.00,2016-02-25,Housing,Capital
10006059,LB OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108689227,516474.00,2016-02-22,Housing,Capital
10006811,ENERGY SAVING TRUST LTD,542500,MISCELLANEOUS COSTS,1900034778,500000.00,2016-02-15,Housing,Capital
18000101,LONDON BOROUGH OF BARKING AND DAGEN,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900034972,420000.00,2016-03-02,Housing,Capital
10006059,LB OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108683882,350000.00,2016-02-15,"Development, Enterprise & Environment",Capital
10022120,ONE HOUSING GROUP LIMITED,542800,HSG-ROUGH SLEEPING,5108678665,330614.75,2016-02-08,Housing,Housing services
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS614,316000.00,2016-02-08,COMMUNITIES & INTELLIGENCE,Cultural & related services
10007096,R B KINGSTON UPON THAMES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108695598,309750.00,2016-02-23,Housing,Capital
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108685456,275525.37,2016-02-15,Housing,Capital
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108668534,275000.00,2016-02-22,Communities and Intelligence,Cultural & related services
18000008,NEWLON HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035060,250000.00,2016-03-04,Housing,Capital
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035071,240000.00,2016-03-04,Housing,Capital
10006059,LB OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108685326,186699.00,2016-02-15,Development & Environment,Capital
18000031,ORBIT HOUSING GROUP LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034877,160000.00,2016-02-17,Housing,Capital
18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034925,160000.00,2016-02-25,Housing,Capital
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035072,160000.00,2016-03-04,Housing,Capital
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034875,136800.00,2016-02-17,Housing,Capital
10002766,LONDON COUNCILS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108692109,131000.00,2016-02-25,"Development, Enterprise & Environment",Economic Development
15050001,ENGLAND RUGBY 2015 LIMITED,542330,EVENT MANAGEMENT FEE,1900034790,130000.00,2016-02-16,Communities and Intelligence,Cultural & related services
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034935,121189.00,2016-02-26,Housing,Capital
18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034926,120000.00,2016-02-25,Housing,Capital
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035062,103750.00,2016-03-04,Housing,Capital
10025276,THE SILVERTOWN PARTNERSHIP LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108685236,101697.11,2016-02-16,Housing,Capital
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034910,100129.00,2016-02-23,Housing,Capital
10023841,HARRIS ACADEMY MORDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108699155,100000.00,2016-02-29,Communities and Intelligence,Childrens and education services
10024554,MEDCITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108683818,100000.00,2016-02-11,Development & Environment,Economic Development
10025382,INHABIT HOMES LTD,544078,HSG GRANTS TO NON-REGISTERED PROVIDERS,5108704577,100000.00,2016-03-04,Housing & Land,Housing & Land Services
18000050,ONE HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035066,97500.00,2016-03-04,Housing,Capital
18000094,ISLINGTON COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900034780,96250.00,2016-02-11,Housing,Capital
10006458,LONDON BOROUGH OF BRENT,544063,INCOME MAXIMISATION EXPENSES,5108683073,93266.00,2016-02-24,Resources,Corporate and democratic core
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035063,84375.00,2016-03-04,Housing,Capital
18000031,ORBIT HOUSING GROUP LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900034924,80000.00,2016-02-25,Housing,Capital
