Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis,ref
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS217,82079402.00,2015-07-28,Resources,Highways and transport services,
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108504704,20943002.00,2015-08-10,Housing,Capital,
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS243,7290147.00,2015-08-03,Resources,Highways and transport services,
CPO,WRAGGE LAWRENCE GRAHAM & CO LLP,542420,CLAIM SETTLEMENTS,1900029573,1169100.00,2015-08-04,Housing,Capital,
15500077,LONDON BOROUGH OF BARKING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108517423,1124508.00,2015-08-06,Housing,Capital,
10025276,THE SILVERTOWN PARTNERSHIP LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108510173,1098912.55,2015-07-28,Housing,Capital,
10017866,JACK MORTON WORLDWIDE,540019,EXTERNAL EVENTS ROADS SHOWS,5108503928,788886.97,2015-08-05,External Affairs,Cultural & related services,
10025276,THE SILVERTOWN PARTNERSHIP LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108524880,786556.28,2015-08-19,Housing,Capital,
10016904,GREENWICH LEISURE LTD,510010,PROPERTY MANAGEMENT FEES,5108451410,731958.83,2015-07-27,Housing & Land,Housing & Land Services,
10016524,TRANSPORT FOR LONDON,542320,SHARED SERVICES FEES,5108522614,573741.00,2015-08-19,Resources,Support Costs,
10016904,GREENWICH LEISURE LTD,550010,CONTRACTED SERVICES BUILDINGS,5108487135,500000.00,2015-07-28,Housing & Land,Housing & Land Services,
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108516534,330250.00,2015-08-19,Development & Environment,Capital,
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS215,316000.00,2015-07-27,Communities and Intelligence,Cultural & related services,
18000059,AGUDAS ISRAEL HOUSING ASSOCIATION L,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900029838,312000.00,2015-08-19,Housing,Capital,
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108516706,280000.00,2015-08-06,Communities and Intelligence,Cultural & related services,
18000011,HANOVER HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900029490,200857.00,2015-07-31,Housing,Capital,
18000051,VIRIDIAN HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900029409,198000.00,2015-07-30,Housing,Capital,
10019301,THAMES REACH,542800,HSG-ROUGH SLEEPING,5108493638,152293.25,2015-07-28,Housing,Housing services,
10018194,AMATEUR SWIMMING ASSOCIATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108487035,130000.00,2015-07-27,Communities and Intelligence,Cultural & related services,
10014173,LONDON BOROUGH OF HOUNSLOW,544076,HSG GRANTS TO REGISTERED PROVIDERS,5108486272,120000.00,2015-07-27,Housing,Capital,
10020714,BRITISH FASHION COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108505931,115263.50,2015-07-29,Communities and Intelligence,Cultural & related services,
10006080,LONDON BOROUGH OF HAVERING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108519503,111307.31,2015-08-11,Development & Environment,Capital,
10009048,OFFICE FOR NATIONAL STATISTICS,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108421410,104235.00,2015-08-13,Development & Environment,Economic Development,
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108522779,99533.94,2015-08-12,Housing,Capital,
10018793,FOOTBALL FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108513608,95810.00,2015-08-04,Communities and Intelligence,Capital,
10019301,THAMES REACH,542800,HSG-ROUGH SLEEPING,5108493637,90586.25,2015-07-28,Housing,Housing services,
10024273,LEARNING UNLIMITED LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108507014,82319.50,2015-07-28,Communities and Intelligence,Childrens and education services,
10006154,LB HOUNSLOW,544063,NDR INCOME MAXIMISATION EXPENSES,5108507040,77327.96,2015-07-31,Resources,Corporate and democratic core,
10014161,LONDON BOROUGH OF EALING,544076,HSG GRANTS TO REGISTERED PROVIDERS,5108493991,75000.00,2015-07-29,Housing,Capital,
15500400,LONDON BOROUGH OF SOUTHWARK,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108510573,73750.00,2015-08-18,Development & Environment,Capital,
10024200,TRINITY LABAN CONSERVATOIRE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108499653,72925.00,2015-08-05,Communities and Intelligence,Childrens and education services,
14000615,CAPITA SYMONDS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108505397,71986.68,2015-08-11,Housing,Environmental & regulatory services,
10021642,LONDON ACADEMIES ENTERPRISE TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108491857,70569.84,2015-07-28,Communities and Intelligence,Childrens and education services,
10025870,BRITISH SWIMMING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108497997,70000.00,2015-07-28,Communities and Intelligence,Cultural & related services,
10004347,HM TREASURY,542500,MISCELLANEOUS COSTS,CHAPS262,61643.84,2015-08-13,Resources,Highways and transport services,
10006393,LB BEXLEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108496813,56380.98,2015-07-29,Development & Environment,Capital,
10021880,RODMA,510010,PROPERTY MANAGEMENT FEES,5108513816,55711.02,2015-08-04,Housing & Land,Housing & Land Services,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108510392,55172.31,2015-08-19,Resources,Support Costs,
