Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10022138,HARINGEY COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,5109594295,1163622.68,2019-08-19,HOUSING & REGENERATN,
10028645,CDS CO-OPERATIVES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109584509,1097362.00,2019-08-21,HOUSING & REGENERATN,HOUSING SERVICES
10023870,LONDON BOROUGH OF HARROW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109577399,585651.25,2019-08-21,TRANSPORT & ENVIRONM,CAPITAL
10006059,L B OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109583462,430000.00,2019-08-21,TRANSPORT & ENVIRONM,
18000277,CITY OF LONDON CORPORATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900045582,270000.00,2019-08-27,HOUSING & REGENERATN,CAPITAL
99999999,POCKET LIVING LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS 396,263979.35,2019-08-23,HOUSING & REGENERATN,CAPITAL
10026823,T/A COMIC RELIEF LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109588003,120514.04,2019-08-27,COMMUNITIES AND INTELLIGENCE,COMMUNITY DEVELOPMENT
18000052,ST MUNGO COMMUNITY HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900045549,112550.00,2019-08-19,HOUSING & REGENERATN,CAPITAL
10026057,DRON & WRIGHT PROP CONS,510400,COMMERCIAL PROPERTY RENT,5109597067,111562.50,2019-08-23,RESOURCES,SUPPORT COSTS
10019698,BAC ENTERPRISES LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109597718,96000.00,2019-08-23,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10030060,SAVILLS (UK) LTD (MLE),510050,PROPERTY SERVICE CHARGES,1900045581,86104.25,2019-08-23,RESOURCES,SUPPORT COSTS
10029242,PARTICIPATORY CITY FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109580092,85218.91,2019-08-20,TRANSPORT & ENVIRONM,
10029041,BIG BLUE DOOR,536510,SOFTWARE MAINTENANCE,5109577956,84637.50,2019-08-21,RESOURCES,SUPPORT COSTS
18000473,ELATT,542500,MISCELLANEOUS COSTS,1900045593,74322.50,2019-08-28,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",
99999999,OFGEM,554100,LLITE-ELECTRICITY DEFICIT (TOP UP),CHAPS 403,64806.25,2019-09-02,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10000725,MOTT MACDONALD LIMITED,542002,CONSULTANCY-PROJECT MANAGEMENT,5109590471,60089.78,2019-08-28,HOUSING & REGENERATN,
18000482,POPLAR HOUSING & REGENERATION ASSOC,542500,MISCELLANEOUS COSTS,1900045559,59565.00,2019-08-21,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",
10007641,HERBERT SMITH LLP,542300,LEGAL FEES,5109594258,58068.78,2019-08-21,Housing & Land,Housing & Land Services
14000293,DELOITTE MCS LIMITED,504200,STAFF TRAINING,5109593218,57000.00,2019-08-23,RESOURCES,SUPPORT COSTS
18000202,HARROW COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900045571,57000.00,2019-08-22,HOUSING & REGENERATN,CAPITAL
10028413,HIGH TREES COMMUNITY DEV. TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109593098,56013.00,2019-08-19,COMMUNITIES AND INTELLIGENCE,CHILDRENS AND EDUCATION SERVICES
10000072,STEER,542051,CONSULTANCY-COMMISSIONED REPORT,5109583825,54759.00,2019-08-21,COMMUNITIES AND INTELLIGENCE,
10000725,MOTT MACDONALD LIMITED,542002,CONSULTANCY-PROJECT MANAGEMENT,5109590473,52962.17,2019-08-28,HOUSING & REGENERATN,
10023870,LONDON BOROUGH OF HARROW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109577400,52174.61,2019-08-21,TRANSPORT & ENVIRONM,CAPITAL
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5109527418,51606.00,2019-08-19,RESOURCES,SUPPORT COSTS
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109589082,47511.22,2019-08-27,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10018053,NPOWER LTD,554100,LLITE-ELECTRICITY DEFICIT (TOP UP),5109597131,40075.11,2019-08-22,LICENCE LITE,PLANNING SERVICES
15050001,CITY OF WESTMINSTER HEAD OFFICE,510050,PROPERTY SERVICE CHARGES,1900045377,39824.00,2019-08-19,RESOURCES,CULTURAL & RELATED SERVICES
12001023,MEDIAEDGE:CIA,540017,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,5109593860,38749.63,2019-08-28,EXTERNAL AFFAIRS,SUPPORT COSTS
18000202,HARROW COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900045570,38000.00,2019-08-22,HOUSING & REGENERATN,CAPITAL
10018053,NPOWER LTD,554100,LLITE-ELECTRICITY DEFICIT (TOP UP),5109597130,36344.53,2019-08-22,LICENCE LITE,PLANNING SERVICES
10007096,R B KINGSTON UPON THAMES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109581428,35575.89,2019-08-20,TRANSPORT & ENVIRONM,
11000346,ECOTRICITY,510100,ELECTRICITY,1900045338,35001.95,2019-08-21,RESOURCES,SUPPORT COSTS
12001023,MEDIAEDGE:CIA,540018,SOCIAL MEDIA AND DIGITAL ADVERTISING SPACE,5109573242,35000.00,2019-08-22,EXTERNAL AFFAIRS,CULTURAL & RELATED SERVICES
10029926,BARINGA PARTNERS LLP,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109585531,34850.00,2019-08-21,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
11000346,ECOTRICITY,510100,ELECTRICITY,1900045339,34568.91,2019-08-21,RESOURCES,SUPPORT COSTS
13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5109584976,34524.38,2019-08-23,RESOURCES,CULTURAL & RELATED SERVICES
10018053,NPOWER LTD,554100,LLITE-ELECTRICITY DEFICIT (TOP UP),5109597128,32824.25,2019-08-22,LICENCE LITE,PLANNING SERVICES
18000397,BRIDGWATER & TAUNTON COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900045432,32605.66,2019-08-19,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",
18000471,5 E LTD,542500,MISCELLANEOUS COSTS,1900045580,31245.51,2019-08-27,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",
10002117,YOUGOV LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109582138,30726.88,2019-08-23,COMMUNITIES AND INTELLIGENCE,CORPORATE AND DEMOCRATIC CORE
12001023,MEDIAEDGE:CIA,540018,SOCIAL MEDIA AND DIGITAL ADVERTISING SPACE,5109593280,30500.00,2019-08-28,COMMUNITIES AND INTELLIGENCE,CHILDRENS AND EDUCATION SERVICES
10018810,WSP UK LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,1900045298,28577.00,2019-08-21,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10007901,OVE ARUP & PARTNERS LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109597803,27551.56,2019-08-28,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10003560,EVERSHEDS,542300,LEGAL FEES,5109590426,26027.60,2019-08-28,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
18000480,MAXIMUS PEOPLE SERVICES LTD,542500,MISCELLANEOUS COSTS,1900045558,25432.88,2019-08-21,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",
10029750,THE ENGLISH STAGE COMPANY LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109598390,25000.00,2019-08-27,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10030042,ANDREW TAIT QC,542300,LEGAL FEES,5109597314,24935.00,2019-08-27,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5109581838,24865.03,2019-08-21,INFRASTRUCTURE,CAPITAL
10029402,THE HYDE CHARITABLE TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109579774,24000.00,2019-08-19,COMMUNITIES AND INTELLIGENCE,CHILDRENS AND EDUCATION SERVICES
15500144,LONDON BOROUGH OF WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109588442,24000.00,2019-08-23,COMMUNITIES AND INTELLIGENCE,CHILDRENS AND EDUCATION SERVICES
