Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018989,6614919.00,2013-12-19
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019014,2972500.00,2013-12-23
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900019015,2074000.00,2013-12-23
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018990,1988237.00,2013-12-19
10016643,AMAS LTD,510400,Commercial Property Rent,1900018999,1673907.50,2013-12-20
15500235,LONDON BOROUGH OF TOWER HAMLETS,544075,Grants to External Organisations,5108018236,1405638.00,2013-12-18
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900019020,1204434.00,2013-12-23
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018956,836000.00,2013-12-17
15500402,LONDON BOROUGH OF HAVERING,544075,Grants to External Organisations,5108022673,762435.61,2013-12-20
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900019004,651818.00,2013-12-20
18000079,TELFORD HOMES PLC,544078,HSG Grants to Non-Registered Providers,1900019027,646300.00,2013-12-23
10017866,JACK MORTON WORLDWIDE,542330,Event Management Fee,5108023032,513000.00,2013-12-23
18000101,LONDON BOROUGH OF BARKING AND DAGEN,544077,HSG Grants to Local Authorities,1900019033,480320.00,2013-12-23
10020702,ROCKET SCIENCE UK LTD,544075,Grants to External Organisations,5108019661,474003.00,2013-12-18
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5108024428,429745.64,2013-12-09
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5108012861,418848.50,2013-12-10
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5108038649,370000.00,2013-12-30
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5108028364,354436.00,2013-12-11
10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5108018903,288911.37,2013-12-18
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5108024431,246144.74,2013-12-09
18000084,TRIATHLON HOMES,544078,HSG Grants to Non-Registered Providers,1900019029,229535.00,2013-12-23
10023412,POCKET LIVING 2013 LLP,544075,Grants to External Organisations,5108024335,207822.38,2013-12-10
10020632,ST MUNGOS,542800,Hsg-Rough Sleeping,5108007992,200000.00,2013-12-09
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900019021,200000.00,2013-12-23
15050001,EVERSHEDS LLP,542420,Claim Settlements,1900019047,199095.98,2014-01-03
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5108024637,180510.00,2013-12-30
10002550,CITY OF WESTMINSTER,544075,Grants to External Organisations,5108011105,180180.00,2013-12-11
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900019026,165376.00,2013-12-23
18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900018954,164766.00,2013-12-17
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900019023,156672.00,2013-12-23
10020702,ROCKET SCIENCE UK LTD,544075,Grants to External Organisations,5108024634,139335.00,2013-12-18
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900019022,136818.00,2013-12-23
10014156,LONDON BOROUGH OF REDBRIDGE,544075,Grants to External Organisations,5108027338,135386.47,2013-12-30
18000079,TELFORD HOMES PLC,544078,HSG Grants to Non-Registered Providers,1900019028,135000.00,2013-12-23
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900019024,131267.00,2013-12-23
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5108029982,125961.11,2013-12-30
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG Grants to Registered Providers,1900019019,120000.00,2013-12-23
10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5108017240,117614.62,2013-12-18
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5108017820,113793.00,2013-12-20
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542300,Legal Fees,5108028402,107909.31,2013-12-23
10021190,SAINT JOHN OF GOD HOSPITALLER SERVI,542800,Hsg-Rough Sleeping,5108017464,104531.00,2013-12-18
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900019025,104448.00,2013-12-23
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542000,Management & Support Consultancy,5108023117,100799.64,2013-12-30
18000084,TRIATHLON HOMES,544078,HSG Grants to Non-Registered Providers,1900019032,98724.00,2013-12-23
10023404,PUBLIC HEALTH ENGLAND,544075,Grants to External Organisations,5108027181,93500.00,2013-12-18
10020920,SKILLS FUNDING AGENCY,544075,Grants to External Organisations,5108022106,88500.00,2013-12-23
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5108030710,87259.97,2013-12-30
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018935,78262.00,2013-12-10
18000015,WANDLE HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900019018,78064.00,2013-12-23
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5108023062,76212.57,2013-12-23
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5108037608,75450.48,2013-12-30
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542000,Management & Support Consultancy,5108023202,72240.00,2013-12-23
10017009,MORE LONDON,535250,Maintenance of Telecommunications Equipment,1900018951,70349.00,2013-12-13
18000013,SANCTUARY HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900019017,63754.00,2013-12-23
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5108022973,63313.29,2013-12-23
18000005,CENTREPOINT,544076,HSG Grants to Registered Providers,1900019013,63214.00,2013-12-23
10018194,AMATEUR SWIMMING ASSOCIATION,544075,Grants to External Organisations,5108012364,60000.00,2013-12-11
18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900018955,59857.00,2013-12-17
10007901,OVE ARUP & PARTNERS LTD,542000,Management & Support Consultancy,5108028530,58684.55,2013-12-13
10007755,KELWAY (UK),536300,Computer Hardware,5108019645,54000.00,2013-12-23
10006799,LONDON BOROUGH OF EALING,544075,Grants to External Organisations,5108027216,53223.09,2013-12-23
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5108017819,50911.00,2013-12-20
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5108022021,50032.83,2013-12-23
10009307,FILM LONDON LTD,544075,Grants to External Organisations,5108022045,50000.00,2013-12-11
10016524,TRANSPORT FOR LONDON,542000,Management & Support Consultancy,5108018592,50000.00,2013-12-23
10022941,LONDON LGBT+COMM PRIDE CIC,544075,Grants to External Organisations,5108037908,50000.00,2013-12-30
10006731,CITY OF WESTMINSTER,544075,Grants to External Organisations,5108011103,49000.00,2013-12-11
10010027,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5108028379,48287.95,2013-12-30
15500078,LONDON BOROUGH OF EALING,544075,Grants to External Organisations,5108024564,46249.55,2013-12-30
18000084,TRIATHLON HOMES,544078,HSG Grants to Non-Registered Providers,1900019031,44426.00,2013-12-23
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5108037604,41332.00,2013-12-30
10020160,CRICKET FOR CHANGE,544075,Grants to External Organisations,5108034348,41159.14,2013-12-19
13002176,GBM SERVICES LTD,510700,Office Cleaning,5108024368,39382.94,2013-12-30
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,Grants to External Organisations,5107995982,38567.95,2013-12-19
10022795,3SC,544075,Grants to External Organisations,5108041510,38497.48,2014-01-02
10000063,VODAFONE CORPORATE LTD,535020,"Mobile Phone Line Rent, Calls & Equipment",1900018895,37605.79,2013-12-16
15500078,LONDON BOROUGH OF EALING,544075,Grants to External Organisations,5108024564,37354.45,2013-12-30
10020466,REACH & TEACH,544075,Grants to External Organisations,5108037157,35000.00,2013-12-23
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5108023065,34986.46,2013-12-23
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,Grants to External Organisations,5107995985,33071.38,2013-12-19
10017067,PREVISTA LTD,544075,Grants to External Organisations,5108022172,33055.20,2013-12-30
15500412,HARROW COUNCIL,544075,Grants to External Organisations,5108030942,32207.89,2013-12-30
10007104,LONDON BOROUGH OF ENFIELD,544075,Grants to External Organisations,5108041366,31729.93,2014-01-02
14000685,CUK SECURITY SERVICES,510025,Security Services (Guards),5108028985,31644.42,2013-12-23
10021648,SHP,544075,Grants to External Organisations,5108017108,31104.00,2013-12-18
10021291,FIGHT FOR CHANGE,544075,Grants to External Organisations,5108037158,30000.00,2013-12-30
10023015,UCL PARTNERS,544075,Grants to External Organisations,5108033865,30000.00,2013-12-19
18000096,LONDON BOROUGH OF HACKNEY,544077,HSG Grants to Local Authorities,1900018936,29979.00,2013-12-10
13000367,VEOLIA ES (UK) PLC,510010,Property Management Fees,5108021932,29836.08,2013-12-23
10001119,INSIGHT DIRECT UK LIMITED,536300,Computer Hardware,5108033152,27988.36,2014-01-02
10016524,TRANSPORT FOR LONDON,502010,Seconded Staff - Non Group,5108013624,27346.99,2013-12-18
10007104,LONDON BOROUGH OF ENFIELD,544075,Grants to External Organisations,5108041369,27292.51,2014-01-02
