Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
15500235,LONDON BOROUGH OF TOWER HAMLETS,544075,Grants to External Organisations,5108109308,14451753.00,2014-05-12,14451753,,,
15500235,LONDON BOROUGH OF TOWER HAMLETS,544075,Grants to External Organisations,5108110116,8360271.00,2014-05-12,8360271,,,
15500077,LONDON BOROUGH OF BARKING,544075,Grants to External Organisations,5108143718,3984230.00,2014-05-12,3984230,,,
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5108134056,2622138.00,2014-04-28,2622138,,,
10006799,LONDON BOROUGH OF EALING,544075,Grants to External Organisations,5108143534,1178180.00,2014-05-12,1178180,,,
10020764,BROADWAY HOMELESSNESS AND SUPPORT,542800,Hsg-Rough Sleeping,5108148622,720000.00,2014-05-21,720000,,,
10014156,LONDON BOROUGH OF REDBRIDGE,544075,Grants to External Organisations,5108127881,553535.49,2014-05-06,553535,,,
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,Grants to External Organisations,5108129250,424031.92,2014-04-30,424032,,,
10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5108124446,390382.31,2014-04-30,390382,,,
10020628,LOOK AHEAD HOUSING AND CARE,537000,Hotel Accommodation,5108133463,353062.50,2014-05-20,353063,,,
10022120,ONE HOUSING GROUP LIMITED,542800,Hsg-Rough Sleeping,5108131691,330614.75,2014-05-14,330615,,,
15050001,HMRC,544070,Miscellaneous Finance Expenses,1900001216,281910.00,2014-05-21,281910,,,
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900020129,261600.00,2014-05-12,261600,,,
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5108134692,259647.00,2014-04-29,259647,,,
10022138,HARINGEY COUNCIL,544075,Grants to External Organisations,5108130866,238236.00,2014-05-12,238236,,,
10010027,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5108143285,232584.83,2014-05-23,232585,,,
15500142,LONDON BOROUGH OF SUTTON,544075,Grants to External Organisations,5108153357,230234.88,2014-05-22,230235,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5108128312,229610.76,2014-04-30,229611,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5108137493,213503.85,2014-05-01,213504,,,
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900020121,212550.00,2014-05-08,212550,,,
10002766,LONDON COUNCILS,550035,CCS Adjudication Services Contract,5108134434,204049.26,2014-05-02,204049,,,
14000615,CAPITA SYMONDS LTD,542002,Consultancy-Project Management,5108119884,203800.00,2014-04-28,203800,,,
10020632,ST MUNGOS,542800,Hsg-Rough Sleeping,5108143339,200000.00,2014-05-21,200000,,,
10023412,POCKET LIVING 2013 LLP,544075,Grants to External Organisations,5108143450,185732.31,2014-05-14,185732,,,
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5108133187,183639.00,2014-04-28,183639,,,
15500125,CROYDON COUNCIL,544075,Grants to External Organisations,5108131965,166645.56,2014-05-01,166646,,,
CPO,EVERSHEDS LLP (CARDIFF),542420,Claim Settlements,1900020135,156446.54,2014-05-13,156447,,,
15500400,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5108136839,141333.72,2014-05-21,141334,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5108134469,113620.91,2014-05-14,113621,,,
15500125,CROYDON COUNCIL,544075,Grants to External Organisations,5108131962,106961.86,2014-05-01,106962,,,
10007005,LONDON BOROUGH OF SUTTON,544075,Grants to External Organisations,5108150161,105869.05,2014-05-20,105869,,,
10010680,SKILLS FESTIVAL COMPANY,530010,Equipment Repairs & Maintenance,5108132492,105000.00,2014-05-13,105000,,,
10020764,BROADWAY HOMELESSNESS AND SUPPORT,537000,Hotel Accommodation,5108148627,99490.75,2014-05-21,99491,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5108136599,97833.72,2014-04-30,97834,,,
10021880,RODMA,510010,Property Management Fees,5108149360,97789.45,2014-05-19,97789,,,
10006588,LONDON BOROUGH OF CAMDEN,544075,Grants to External Organisations,5108136729,91855.00,2014-05-01,91855,,,
10024184,GLADESMORE COMMUNITY SCHOOL,544075,Grants to External Organisations,5108147463,89100.00,2014-05-14,89100,,,
15500125,CROYDON COUNCIL,544075,Grants to External Organisations,5108131958,81901.69,2014-05-01,81902,,,
