Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis,ref
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS286,118379401.60,2015-08-25,RESOURCES,Highways and transport services,
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS319,118379401.60,2015-09-17,RESOURCES,Highways and transport services,
10006059,LB OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108530391,9480000.00,2015-09-08,Housing,Y_CAPITAL,
13000155,NETWORK RAIL INFRASTRUCTURE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108530988,932584.95,2015-09-09,"Development, Enterprise & Environment",Y_CAPITAL,
10020632,ST MUNGOS BROADWAY,542800,HSG-ROUGH SLEEPING,5108541062,920000.00,2015-09-11,Housing,Housing services,
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031215,481091.00,2015-09-08,Housing,Y_CAPITAL,
15500142,LONDON BOROUGH OF SUTTON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108530257,459421.00,2015-08-25,Housing,Y_CAPITAL,
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108539382,420000.00,2015-09-09,Development & Environment,Y_CAPITAL,
10006059,LB OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108451221,405352.00,2015-09-07,Development & Environment,Y_CAPITAL,
10022120,ONE HOUSING GROUP LIMITED,542800,HSG-ROUGH SLEEPING,5108511080,330614.75,2015-09-14,Housing,Housing services,
CPO,PINSENT MASON LLP,542420,CLAIM SETTLEMENTS,1900031142,323716.42,2015-09-07,Housing,Y_CAPITAL,
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS279,316000.00,2015-08-24,COMMUNITIES & INTELLIGENCE,Cultural & related services,
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS315,316000.00,2015-09-14,COMMUNITIES & INTELLIGENCE,Cultural & related services,
15500097,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108528390,315231.00,2015-09-07,Housing,Y_CAPITAL,
10016904,GREENWICH LEISURE LTD,550010,CONTRACTED SERVICES BUILDINGS,5108521944,250000.00,2015-09-03,Housing & Land,Housing & Land Services,
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900029875,212500.00,2015-08-24,Housing,Y_CAPITAL,
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031214,205110.00,2015-09-08,Housing,Y_CAPITAL,
15500400,LONDON BOROUGH OF SOUTHWARK,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108524989,152262.00,2015-09-07,Housing,Y_CAPITAL,
13002932,CAMWAY FACILITIES MAINTENANCE LTD,510052,GROUNDS MAINTENANCE,5108529539,128186.66,2015-09-04,Housing & Land,Housing & Land Services,
18000029,ESTUARY HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031345,122500.00,2015-09-18,Housing,Y_CAPITAL,
10021190,SAINT JOHN OF GOD HOSPITALLER SERVI,542800,HSG-ROUGH SLEEPING,5108541049,117865.36,2015-09-11,Housing,Housing services,
10024554,MEDCITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108541118,100000.00,2015-09-09,Development & Environment,Planning services,
10017067,PREVISTA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108547601,92508.38,2015-09-15,Communities and Intelligence,Childrens and education services,
10022795,3SC,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108545647,77022.77,2015-09-10,Communities and Intelligence,Childrens and education services,
10004625,LONDON METROPOLITAN UNIVERSITY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108512170,75000.00,2015-08-25,Communities and Intelligence,Childrens and education services,
10026162,LONDON NOTTING HILL CARNIVAL ENT,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900030012,75000.00,2015-08-25,External Affairs,Cultural & related services,
15050016,LB HILLINGDON,542300,LEGAL FEES,1900030015,75000.00,2015-09-01,Development & Environment,Planning services,
14000615,CAPITA SYMONDS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108533187,65998.25,2015-09-16,Housing,Environmental & regulatory services,
10022773,ARK UK PROGRAMMES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108552171,65000.00,2015-09-18,Communities and Intelligence,Childrens and education services,
10003277,NLA MEDIA ACCESS LTD,533100,PUBLICATIONS & PERIODICALS,5108476965,60323.01,2015-09-07,External Affairs,Corporate and democratic core,
10016907,GROUNDWORK LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108513790,60000.00,2015-08-26,"Development, Enterprise & Environment",Planning services,
18000029,ESTUARY HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031346,60000.00,2015-09-18,Housing,Y_CAPITAL,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108544382,55785.54,2015-09-16,Resources,Z_SUPPORT COSTS,
10017067,PREVISTA LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108547602,53584.01,2015-09-15,Communities and Intelligence,Childrens and education services,
10016524,TRANSPORT FOR LONDON,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108525055,52984.40,2015-09-09,"Development, Enterprise & Environment",Planning services,
10017108,THAMES FESTIVAL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108552147,50000.00,2015-09-18,External Affairs,Cultural & related services,
13002558,GOODMAN LOGISTICS DEVS (UK) LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108511675,50000.00,2015-08-24,Housing & Land,Housing & Land Services,
10017470,COMPUTACENTER,536510,SOFTWARE MAINTENANCE,5108518462,49944.00,2015-08-26,Resources,Z_SUPPORT COSTS,
18000093,CROYDON COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031231,45000.00,2015-09-09,Housing,Y_CAPITAL,
10011455,LONDON TRAVELWATCH,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS280,44000.00,2015-08-24,ASSEMBLY & SECRETARIAT,London TravelWatch,
10011455,LONDON TRAVELWATCH,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS314,44000.00,2015-09-14,ASSEMBLY & SECRETARIAT,London TravelWatch,
10009850,NATIONAL PORTRAIT GALLERY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108534355,42567.00,2015-08-27,Development & Environment,Y_CAPITAL,
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5108528235,41937.29,2015-08-26,Resources,Z_SUPPORT COSTS,
10016904,GREENWICH LEISURE LTD,510010,PROPERTY MANAGEMENT FEES,5108530176,40000.00,2015-09-16,Housing & Land,Housing & Land Services,
10021506,EXCEL LONDON,537100,EXTERNAL MEETING ROOM HIRE & EXPENSES,5108540277,39528.00,2015-09-08,Assembly & Secretariat,Central services,
10007641,HERBERT SMITH FREEHILLS LLP,542300,LEGAL FEES,5108528074,39123.18,2015-08-24,Housing & Land,Housing & Land Services,
10006059,LB OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108550265,38651.00,2015-09-16,Development & Environment,Planning services,
10017232,NORLAND MANAGED SERVICES LIMITED,530000,FURNITURE & EQUIPMENT,5108544843,38511.40,2015-09-16,Resources,Y_CAPITAL,
10000063,VODAFONE CORPORATE LTD,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",1900030275,36748.57,2015-09-16,Resources,Z_SUPPORT COSTS,
10000722,AXON SOLUTIONS LTD,535020,"MOBILE PHONE LINE RENT, CALLS & EQUIPMENT",5108511665,36300.00,2015-08-27,Resources,Z_SUPPORT COSTS,
10024857,CTI DIGITAL,542100,IT CONSULTANCY,5108534854,36000.00,2015-09-01,Resources,Z_SUPPORT COSTS,
10025323,DECC - CRC ENERGY EFFICIENCY,510090,MINOR PROPERTY EXPENSES,1900031243,34128.40,2015-09-15,Resources,Z_SUPPORT COSTS,
18000093,CROYDON COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900030016,30000.00,2015-08-27,Housing,Y_CAPITAL,
18000093,CROYDON COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031230,30000.00,2015-09-09,Housing,Y_CAPITAL,
10003560,EVERSHEDS,542300,LEGAL FEES,5108551133,26040.00,2015-09-18,Housing & Land,Housing & Land Services,
13000063,EDF ENERGY,510100,ELECTRICITY,1900031216,25276.98,2015-09-18,Resources,Z_SUPPORT COSTS,
18000202,HARROW COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031258,25000.00,2015-09-15,Housing,Y_CAPITAL,
10018774,CENTRE FOR ECON & SOCIAL INCLUSION,542050,RESEARCH & STUDY FEES,5108546485,24628.00,2015-09-11,"Development, Enterprise & Environment",Planning services,
10007901,OVE ARUP & PARTNERS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108544912,21198.00,2015-09-09,"Development, Enterprise & Environment",Planning services,
10007901,OVE ARUP & PARTNERS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108528145,21040.50,2015-09-07,"Development, Enterprise & Environment",Planning services,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108510394,20745.58,2015-09-01,Resources,Y_CAPITAL,
15500151,ROYAL BOROUGH OF KENSINGTON&CHELSEA,502010,SECONDED STAFF,5108534863,20628.00,2015-09-15,Development & Environment,Planning services,
10025653,RUSS LTD,544078,HSG GRANTS TO NON-REGISTERED PROVIDERS,5108539089,20604.54,2015-09-03,Housing,Housing services,
10026015,TRAMPOLINE SYSTEMS LTD,542050,RESEARCH & STUDY FEES,5108513713,20000.00,2015-08-26,Development & Environment,Economic Development,
16000667,MACCREANOR LAVINGTON,542002,CONSULTANCY-PROJECT MANAGEMENT,5108518370,20000.00,2015-09-02,Housing & Land,Housing & Land Services,
10023080,SIRIUS CORPORATION LTD,536000,MANAGE IT SERVICES,5108529650,18750.00,2015-08-27,Resources,Z_SUPPORT COSTS,
10022213,TROWERS & HAMLINS LLP,542300,LEGAL FEES,5108518059,17638.90,2015-08-25,Housing,Housing services,
10025567,REED IN PARTNERSHIP LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108494421,17549.47,2015-09-17,Development & Environment,Planning services,
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108410484,17098.16,2015-08-26,Housing & Land,Housing & Land Services,
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108539966,16546.00,2015-09-15,"Development, Enterprise & Environment",Planning services,
18000060,INQUILAB HOUSING ASSOCIATION LIMITE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031144,16000.00,2015-09-07,Housing,Y_CAPITAL,
18000060,INQUILAB HOUSING ASSOCIATION LIMITE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031145,16000.00,2015-09-07,Housing,Y_CAPITAL,
18000124,AMICUSHORIZON LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031253,16000.00,2015-09-14,Housing,Y_CAPITAL,
10025568,NORTH LONDON PARTNERSHIP LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108545113,15036.40,2015-09-18,Development & Environment,Planning services,
10025908,DISRUPTIVE URBANISM,502020,CONSULTANTS (CONTRACTORS),5108533450,15000.00,2015-08-28,Development & Environment,Planning services,
18000093,CROYDON COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900031229,15000.00,2015-09-09,Housing,Y_CAPITAL,
10014084,GERALD EVE,542355,OTHER PROFESSIONAL FEES,5108409835,14000.00,2015-09-09,Development & Environment,Planning services,
10020702,ROCKET SCIENCE UK LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108538901,14000.00,2015-09-08,Communities and Intelligence,Cultural & related services,
10024117,FOUND IN MUSIC LIMITED,542002,CONSULTANCY-PROJECT MANAGEMENT,5108528940,14000.00,2015-08-26,Communities and Intelligence,Cultural & related services,
10016640,ALL CLEAN GROUP,510700,OFFICE CLEANING,5108513642,13942.60,2015-08-26,Resources,Z_SUPPORT COSTS,
10006419,LB TOWER HAMLETS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108540707,13655.00,2015-09-16,Communities and Intelligence,Public Health,
10024656,INSPIRE!,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108547462,13272.73,2015-09-15,Communities and Intelligence,Childrens and education services,
10014774,LONDON YOUTH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108551729,13000.00,2015-09-18,Communities and Intelligence,Cultural & related services,
10004830,DTZ,542001,CONSULTANCY  EVALUATION ASSESSMENT,5108525498,12000.00,2015-08-26,Housing,Housing services,
10022064,PRECISE MEDIA MONITORING LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5108539435,11988.56,2015-09-08,External Affairs,Corporate and democratic core,
10026004,ECOMOTIVE,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108506359,11700.00,2015-09-03,Housing,Housing services,
10024951,HSNO,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108538634,11329.45,2015-09-03,Housing,Y_CAPITAL,
10003568,"SQUIRE, SANDERS & DEMPSEY (UK) LLP",542300,LEGAL FEES,5108550924,11229.00,2015-09-16,Housing,Y_CAPITAL,
10015636,PRCA,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108541074,11135.00,2015-09-07,"Development, Enterprise & Environment",Planning services,
10025908,DISRUPTIVE URBANISM,502020,CONSULTANTS (CONTRACTORS),5108546413,11000.00,2015-09-16,Development & Environment,Planning services,
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5108511883,10000.00,2015-08-28,Resources,Z_SUPPORT COSTS,
10019636,THREE DRAGONS,542050,RESEARCH & STUDY FEES,5108550962,10000.00,2015-09-16,Development & Environment,Planning services,
10021458,ARTS CO,542002,CONSULTANCY-PROJECT MANAGEMENT,5108541553,10000.00,2015-09-17,Communities and Intelligence,Cultural & related services,
