Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10000221,AECOM LIMITED,542000,MANAGEMENT & SUPPORT CONSULTANCY,1900049667,33016.55,2020-07-22,GOOD GROWTH,PLANNING SERVICES
10000407,BT CONFERENCING,535000,TELEPHONY FIXED,1900049733,1407.16,2020-07-22,CHIEF OFFICER,SUPPORT COSTS
10000419,ASHURST LLP,542300,LEGAL FEES,5109786162,2352.00,2020-07-13,HOUSING & LAND,HOUSING SERVICES
10000428,THE PRESS ASSOCIATION LTD,540031,MONITORING OF PR AND SOCIAL MEDIA,5109770808,895,2020-06-29,STRATEGY & COMMUNICATIONS,CORPORATE & DEMOCRATIC CORE
10000545,O2 UK LIMITED,535020,TELEPHONY MOBILE,1900049381,9776.91,2020-07-01,CHIEF OFFICER,SUPPORT COSTS
10000545,O2 UK LIMITED,536300,COMPUTER HARDWARE,5109787291,391,2020-07-14,HOUSING & LAND,HOUSING SERVICES
10000690,ENGINE TRANSFORMATION LIMITED,504200,STAFF TRAINING,5109785272,25780.00,2020-07-09,CHIEF OFFICER,SUPPORT COSTS
10001119,INSIGHT DIRECT UK LIMITED,536000,MANAGE IT SERVICES,5109773039,2740.64,2020-07-24,CHIEF OFFICER,SUPPORT COSTS
10001119,INSIGHT DIRECT UK LIMITED,536300,COMPUTER HARDWARE,5109745510,13341.75,2020-07-07,CHIEF OFFICER,SUPPORT COSTS
10001544,CISION GROUP LTD,533100,PUBLICATIONS & PERIODICALS,5109783256,4285.00,2020-07-07,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE
10002117,YOUGOV LTD,542355,OTHER PROFESSIONAL FEES,5109758965,14250.00,2020-07-09,GOOD GROWTH,PLANNING SERVICES
10002117,YOUGOV LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109782360,31342.05,2020-07-03,STRATEGY & COMMUNICATIONS,CORPORATE & DEMOCRATIC CORE
10002117,YOUGOV LTD,542050,RESEARCH & STUDY FEES,5109776473,550,2020-07-15,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5109761560,1962.00,2020-07-03,CHIEF OFFICER,SUPPORT COSTS
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5109784707,3270.00,2020-07-15,CHIEF OFFICER,SUPPORT COSTS
10002165,CAPITA LEARNING & DEVELOPMENT,504200,STAFF TRAINING,5109761560,327,2020-07-03,CHIEF OFFICER,SUPPORT COSTS
10002586,TENSATOR LTD,530000,FURNITURE & EQUIPMENT,5109791897,1024.65,2020-07-24,CHIEF OFFICER,SUPPORT COSTS
10002789,GVA GRIMLEY LTD T/A AVISON YOUNG,510010,PROPERTY MANAGEMENT FEES,5109781398,1000.00,2020-07-01,HOUSING & LAND,HOUSING SERVICES
10002789,GVA GRIMLEY LTD T/A AVISON YOUNG,510053,LANDSCAPE MAINTENANCE,5109780215,500,2020-06-30,HOUSING & LAND,HOUSING SERVICES
10002789,GVA GRIMLEY LTD T/A AVISON YOUNG,510053,LANDSCAPE MAINTENANCE,5109780220,250,2020-06-30,HOUSING & LAND,HOUSING SERVICES
10002789,GVA GRIMLEY LTD T/A AVISON YOUNG,510053,LANDSCAPE MAINTENANCE,5109780222,250,2020-06-30,HOUSING & LAND,HOUSING SERVICES
10003065,LONDON FIRE & EMERGENCY PLANNING,542321,PAYROLL SERVICES FEES,5109779729,20145.25,2020-07-22,RESOURCES,SUPPORT COSTS
10003277,NEWSPAPER LICENSING AGENCY THE,540031,MONITORING OF PR AND SOCIAL MEDIA,5109779217,42368.00,2020-06-30,STRATEGY & COMMUNICATIONS,CORPORATE & DEMOCRATIC CORE
10003560,EVERSHEDS,542300,LEGAL FEES,5109779848,10705.97,2020-07-08,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES
10003560,EVERSHEDS,542300,LEGAL FEES,5109783155,5000.00,2020-07-14,HOUSING & LAND,HOUSING SERVICES
10004044,EPIQ EUROPE LTD,542322,TRANSCRIPTION,5109785443,1625.40,2020-07-10,ASSEMBLY & SECRETARIAT,CORPORATE & DEMOCRATIC CORE
10004619,BT SERVICE AGILITY,535000,TELEPHONY FIXED,1900049601,692.31,2020-07-08,CHIEF OFFICER,SUPPORT COSTS
10005636,PITNEY BOWES LTD,535300,POSTAGE,5109786523,544.92,2020-07-14,HOUSING & LAND,HOUSING SERVICES
10005689,ONI PLC,536000,MANAGE IT SERVICES,5109742543,931.92,2020-07-20,CHIEF OFFICER,SUPPORT COSTS
10005850,REED BUSINESS INFORMATION,542355,OTHER PROFESSIONAL FEES,5109750834,15368.00,2020-07-06,CHIEF OFFICER,SUPPORT COSTS
10006393,L B BEXLEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109788694,49093.54,2020-07-17,GOOD GROWTH,CAPITAL
10006393,L B BEXLEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109788696,33742.33,2020-07-17,GOOD GROWTH,CAPITAL
10006799,LONDON BOROUGH OF EALING,544063,INCOME MAXIMISATION EXPENSES,5109775554,14571.99,2020-06-29,RESOURCES,CORPORATE & DEMOCRATIC CORE
10006953,LONDON BOROUGH OF REDBRIDGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109786037,92220.48,2020-07-13,COMMUNITIES & SKILLS,PLANNING SERVICES
10007004,PRICEWATERHOUSECOOPERS LLP,542355,OTHER PROFESSIONAL FEES,5109775842,11950.00,2020-07-08,COMMUNITIES & SKILLS,PUBLIC HEALTH
10007237,KNIGHT FRANK LLP,542002,CONSULTANCY-PROJECT MANAGEMENT,5109781132,9500.00,2020-07-01,CHIEF OFFICER,CORPORATE & DEMOCRATIC CORE
10007237,KNIGHT FRANK LLP,542002,CONSULTANCY-PROJECT MANAGEMENT,5109781139,15500.00,2020-07-01,CHIEF OFFICER,CORPORATE & DEMOCRATIC CORE
10007901,OVE ARUP & PARTNERS LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109787652,4886.00,2020-07-22,GOOD GROWTH,PLANNING SERVICES
10007901,OVE ARUP & PARTNERS LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,1900049958,27584.00,2020-07-21,GOOD GROWTH,PLANNING SERVICES
10008050,PANLOGIC LTD,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109788903,6618.13,2020-07-20,STRATEGY & COMMUNICATIONS,CULTURAL & RELATED SERVICES
10008997,LONDON WILDLIFE TRUST,542002,CONSULTANCY-PROJECT MANAGEMENT,5109782391,1800.00,2020-07-08,GOOD GROWTH,PLANNING SERVICES
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109769913,1489.78,2020-06-29,CHIEF OFFICER,SUPPORT COSTS
10009148,TMP (UK) LTD,504000,RECRUITMENT ADVERTISING,5109778399,1286.31,2020-07-15,CHIEF OFFICER,SUPPORT COSTS
