Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
13002176,ABM GROUP UK LTD,510700,OFFICE CLEANING,5109107566,312.2,2017-07-10,Resources,Support Costs,Z_SUPPORT COSTS
13002176,ABM GROUP UK LTD,510000,BUILDING MAINTENANCE & REPAIRS,5109107803,453.2,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
13002176,ABM GROUP UK LTD,530000,FURNITURE & EQUIPMENT,5109107806,916.96,2017-07-11,Resources,Support Costs,Z_SUPPORT COSTS
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5109092876,1598.09,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5109087842,3759.92,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
13002176,ABM GROUP UK LTD,510630,HEALTH & SAFETY PEST CONTROL,5109087864,3957.08,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5109107634,4013.72,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
13002176,ABM GROUP UK LTD,510010,PROPERTY MANAGEMENT FEES,5109087866,44554.03,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
10027375,ABSOLUTE CORPORATE EVENTS LIMITED,510700,OFFICE CLEANING,5109110906,541.2,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10027375,ABSOLUTE CORPORATE EVENTS LIMITED,510700,OFFICE CLEANING,5109111080,512,2017-07-14,Resources,Support Costs,Z_SUPPORT COSTS
10027375,ABSOLUTE CORPORATE EVENTS LIMITED,510700,OFFICE CLEANING,5109110906,848,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10020080,ACCESS SPORT,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109112273,12000.00,2017-07-14,Communities and Intelligence,Cultural & related services,Cultural & related services
10019452,ACUITY TRAINING LIMITED,504200,STAFF TRAINING,5109105207,495,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
10000221,AECOM INFRASTRUCTURE & ENVIRONMENT,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109092004,7325.04,2017-07-17,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1700002570,230655.00,2017-06-29,Housing,Capital,Y_CAPITAL
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1700002571,196200.00,2017-06-29,Housing,Capital,Y_CAPITAL
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040393,21090.00,2017-06-29,Housing,Capital,Y_CAPITAL
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040435,109191.00,2017-07-10,Housing,Capital,Y_CAPITAL
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040392,525000.00,2017-06-29,Housing,Capital,Y_CAPITAL
12002301,AIR PRODUCTS PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109101887,89722.88,2017-07-19,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10016640,ALL CLEAN GROUP,510700,OFFICE CLEANING,5109082179,12593.51,2017-06-27,Resources,Support Costs,Z_SUPPORT COSTS
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,AGENCY STAFF,5109105092,3037.50,2017-07-05,Resources,Support Costs,Z_SUPPORT COSTS
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,AGENCY STAFF,5109106731,3375.00,2017-07-07,Resources,Support Costs,Z_SUPPORT COSTS
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,AGENCY STAFF,5109113667,3375.00,2017-07-18,Resources,Support Costs,Z_SUPPORT COSTS
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,AGENCY STAFF,5109097490,3375.00,2017-06-29,Resources,Support Costs,Z_SUPPORT COSTS
16001138,AMAZON.COM INC.,536000,MANAGE IT SERVICES,5109085458,3422.93,2017-07-14,Resources,Support Costs,Z_SUPPORT COSTS
10002303,AMEC FOSTER WHEELER ENV & INFRAST U,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109077857,8959.00,2017-07-10,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10024278,AMERICA SQUARE LTD,537100,EXTERNAL MEETING ROOM HIRE & EXPENSES,5109112601,3903.00,2017-07-17,Communities and Intelligence,Public Health,Public Health
10027493,AMY LAMÃ LTD,542355,OTHER PROFESSIONAL FEES,5109103443,2916.66,2017-07-11,Communities and Intelligence,Cultural & related services,Cultural & related services
10025238,AOS SECURITY LTD,510025,SECURITY SERVICES (GUARDS),5109106762,35601.12,2017-07-10,Resources,Cultural & related services,Cultural & related services
10025238,AOS SECURITY LTD,510025,SECURITY SERVICES (GUARDS),5109099836,36299.52,2017-06-28,Resources,Cultural & related services,Cultural & related services
10020781,ARC SEVEN COMMUNICATIONS,542355,OTHER PROFESSIONAL FEES,5109106715,1000.00,2017-07-19,Communities and Intelligence,Economic Development,Planning services
10018369,ARGUS SOFTWARE (UK) LTD,536510,SOFTWARE MAINTENANCE,5109105358,1002.00,2017-07-05,Housing,Housing services,Housing services
10025359,BENENDEN HEALTHCARE SOCIETY LTD,504500,STAFF WELFARE BENEFITS,5109107397,1173.90,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10016689,BLISS EVENTS MANAGEMENT LIMITED,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109113159,20996.00,2017-07-20,External Affairs,Cultural & related services,Cultural & related services
10019713,BLOSSOMS HEALTHCARE LLP,504500,STAFF WELFARE BENEFITS,5109112185,4465.00,2017-07-14,Resources,Support Costs,Z_SUPPORT COSTS
10019713,BLOSSOMS HEALTHCARE LLP,504500,STAFF WELFARE BENEFITS,5109111923,6215.00,2017-07-13,Resources,Support Costs,Z_SUPPORT COSTS
10016694,BOW TIE,542355,OTHER PROFESSIONAL FEES,5109116172,268,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5109116174,472,2017-07-21,Resources,Support Costs,Z_SUPPORT COSTS
10016694,BOW TIE,536000,MANAGE IT SERVICES,5109099855,1200.00,2017-07-12,Resources,Support Costs,Z_SUPPORT COSTS
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5109111792,1374.00,2017-07-18,Communities and Intelligence,Cultural & related services,Cultural & related services
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5109099859,27517.08,2017-06-28,Resources,Support Costs,Z_SUPPORT COSTS
