Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031947,3640000.00,2015-10-19,Housing,Capital
CPO,PINSENT MASON,542420,CLAIM SETTLEMENTS,1900031963,1775000.00,2015-10-23,Housing,Capital
10022339,TFL GROUP PROPERTY,510051,LAND/GROUND RENTS,5108583306,1722872.26,2015-10-23,Housing & Land,Housing & Land Services
CPO,WRAGGE LAWRENCE GRAHAM & CO LLP,542420,CLAIM SETTLEMENTS,1900031951,1600000.00,2015-10-20,Housing,Capital
10006799,LONDON BOROUGH OF EALING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108597393,1064789.55,2015-11-13,Development & Environment,Capital
10020632,ST MUNGOS BROADWAY,542800,HSG-ROUGH SLEEPING,5108581333,920000.00,2015-11-04,Housing,Housing services
10026239,FASHION RETAIL ACADEMY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108577221,477795.26,2015-10-21,Housing,Capital
18000048,HYDE HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900032513,439257.00,2015-11-02,Housing,Capital
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108569957,414486.94,2015-10-28,Development & Environment,Capital
18000049,THE GUINNESS TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900032055,387500.00,2015-10-30,Housing,Capital
10002766,LONDON COUNCILS,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108582443,359232.24,2015-10-22,"Development, Enterprise & Environment",Highways and transport services
10022339,TFL GROUP PROPERTY,510051,LAND/GROUND RENTS,5108583300,344729.00,2015-10-23,Housing & Land,Housing & Land Services
10022339,TFL GROUP PROPERTY,510051,LAND/GROUND RENTS,5108601642,344729.00,2015-11-12,Housing & Land,Housing & Land Services
18000066,EAST THAMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900032056,341250.00,2015-10-30,Housing,Capital
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS404,316000.00,2015-10-26,COMMUNITIES & INTELLIGENCE,Cultural & related services
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108583740,298599.11,2015-10-26,Housing,Capital
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108597534,290978.25,2015-11-10,Housing,Capital
18000066,EAST THAMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031382,252500.00,2015-10-30,Housing,Capital
10006581,WANDSWORTH COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108581840,246846.95,2015-10-22,Development & Environment,Capital
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900032521,237500.00,2015-11-04,Housing,Capital
10006581,WANDSWORTH COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108581271,227802.89,2015-11-04,Development & Environment,Capital
CPO,PINSENT MASON,542420,CLAIM SETTLEMENTS,1900032518,195000.00,2015-11-04,Housing,Capital
10020714,BRITISH FASHION COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108597801,183140.10,2015-11-12,Communities and Intelligence,Cultural & related services
