,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ADT FIRE & SECURITY PLC,1247.67,SECURITY SERVICES
INSERTED DETAIL,,Resources Group,Resources,DX NETWORK SERVICES LTD,4461.62,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,JOHN GOOD LTD,683.00,MATERIALS
INSERTED DETAIL,,Resources Group,Resources,MAXSI LTD,980.40,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1378.25,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1080.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1208.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,925.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1168.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1224.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,FIXTURES AND FITTINGS
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1426.50,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,2027.57,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1064.97,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1323.31,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,568.54,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2413.20,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1184.20,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1675.60,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1609.15,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,911.10,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1446.20,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,943.49,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1298.51,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,2380.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,2975.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Finance,CIPFA,1498.58,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,20547.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,20547.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1327.45,SECURITY SERVICES
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,2924.87,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,1430.99,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,9607.61,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,9717.12,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,890.37,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1550.00,COUNSELLING RECHARGE
INSERTED DETAIL,,Resources Group,Human resources management,CRIMINAL RECORDS BUREAU,3370.00,CRB CHECKS
INSERTED DETAIL,,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,14070.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,4500.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,9875.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,HARTLEPOOL BOROUGH COUNCIL,21517.00,OTHER LOCAL AUTHORITIES
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,8497.41,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,689.29,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,647.85,Cyclical - Emergency Lighting
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,912.46,Cyclical - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,539.40,Cyclical - Maint Gates & Doors
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,1507.55,GAS
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,105875.10,GAS
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,6051.90,GAS
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,6035.48,GAS
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,4969.68,GAS
INSERTED DETAIL,,Resources Group,Transformation,DICKINSON DEES LAW FIRM,1176.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Transformation,NEIL WHELPTON ASSOCIATES LTD,4250.00,RENT OF FACILITIES
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,732.21,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,3257.37,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,47541.87,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,660.65,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,852.40,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,11033.21,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,7689.91,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1064.23,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1585.75,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5134.97,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,9013.82,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,629.40,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,660.65,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,1250.20,REMOVAL COSTS - STAFF MOVES
INSERTED DETAIL,,Resources Group,Transformation,SOUTHDALE LIMITED,1249.50,SECURITY SERVICES
INSERTED DETAIL,,Resources Group,Transformation,V4 SERVICES LIMITED,2200.00,CONSULTANCY FEES
INSERTED DETAIL,,Place,Building Design Services,RIBA ENTERPRISES,1240.00,SUBSCRIPTIONS
INSERTED DETAIL,,Place,Building Design Services,RIBA ENTERPRISES,600.00,SUBSCRIPTIONS
INSERTED DETAIL,,Place,Economic Regeneration,ASSOCIATION OF TOWN CENTRE MANAGEMENT,625.00,SUBSCRIPTIONS
INSERTED DETAIL,,Place,Economic Regeneration,DARLINGTON TOWN CENTRE TRADERS ASSOCIATION,5000.00,EVENTS & AWARDS
INSERTED DETAIL,,Place,Economic Regeneration,RINEY PUBLISHING LIMITED,1640.00,ADVERTISING
INSERTED DETAIL,,Place,Economic Regeneration,RINEY PUBLISHING LIMITED,900.00,ADVERTISING
INSERTED DETAIL,,Place,Economic Regeneration,THE MOSAIC PARTNERSHIP,6196.67,CONSULTANCY FEES
INSERTED DETAIL,,Place,Commercial Services,ADRIAN PHILLIPS T/A HIGH WIDE & HANDSOME,900.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,BAUER RADIO LTD,1801.92,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,BAUER RADIO LTD,1178.10,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),840.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),2250.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),2648.65,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),822.20,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),800.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Place,Commercial Services,CSL DUALCOM LIMITED,540.00,TELEPHONE COSTS
INSERTED DETAIL,,Place,Commercial Services,EDEN FARM LTD,748.95,CATERING PROVISIONS
INSERTED DETAIL,,Place,Commercial Services,HEINEKEN UK,1291.87,BAR PROVISIONS FOR RESALE
INSERTED DETAIL,,Place,Commercial Services,HEINEKEN UK,730.44,BAR PROVISIONS FOR RESALE
INSERTED DETAIL,,Place,Commercial Services,INDOOR OUTDOOR,2756.00,Other Supplies & Services
