,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,BISHOPTON PARISH COUNCIL,1111.00,GRANTS
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,15043.15,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,15311.90,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,DSI BILLING SERVICES LTD,8328.41,POSTAGES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,DSI BILLING SERVICES LTD,12921.56,STATIONERY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,LOW CONISCLIFFE & MERRYBENT PARISH COUN,1287.00,GRANTS
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,LOW DINSDALE PARISH COUNCIL,968.00,GRANTS
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,MAG:NET SOLUTIONS LTD,950.00,LICENCES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,911.88,MARKETING & ADVERTISING
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.87,SECURITY SERVICES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.86,SECURITY SERVICES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.86,SECURITY SERVICES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1166.50,STATIONERY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,ULTIMATE COMMUNICATION SYSTEMS,532.21,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,WHESSOE PARISH COUNCIL,2819.00,GRANTS
INSERTED DETAIL,,Corporate Services,Corporate Services,BASE 2 TRAINING,1900.00,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2318.15,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2618.22,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,23447.99,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,132361.95,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,24449.43,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,131206.12,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,13170.32,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,LEASING CHARGES
INSERTED DETAIL,,Corporate Services,Corporate Services,CIPFA,1224.77,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Corporate Services,Corporate Services,CIPFA,2200.00,SUBSCRIPTIONS
INSERTED DETAIL,,Corporate Services,Corporate Services,COMBINED POWER (SOUTH) LTD,4109.00,EQUIPMENT
INSERTED DETAIL,,Corporate Services,Corporate Services,COMBINED POWER (SOUTH) LTD,2240.00,EQUIPMENT
INSERTED DETAIL,,Corporate Services,Corporate Services,DELOITTE LLP,18597.79,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Corporate Services,EVERYTHING EVERYWHERE LIMITED,5365.00,TELEPHONE COSTS
INSERTED DETAIL,,Corporate Services,Corporate Services,LATIMER HINKS,3625.00,RENT OF FACILITIES
INSERTED DETAIL,,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290.00,EQUIPMENT
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3449.84,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,567.77,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,522.83,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1604.40,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,510.12,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2405.49,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,54302.94,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1155.55,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,8108.17,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2155.50,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,925.59,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,922.17,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1280.73,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2853.68,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4725.75,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5058.12,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,7608.28,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1447.91,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3528.15,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,860.72,ELECTRICITY
