Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,ADARE LIMITED,3053440,950,Postages
Resources Group,Resources,ALBANY OFFICE FURNITURE SOLUTIONS,3052399,756,Furniture
Resources Group,Resources,DADCHECK.COM,3054652,584,Professional Fees & Consultancy
Resources Group,Resources,DAVID MEDD,3054656,650,Professional Fees & Consultancy
Resources Group,Resources,GAZETTE MEDIA COMPANY,3050052,654,Marketing & Advertising
Resources Group,Resources,MANNING LIMITED,3049267,1438.11,Agency Staff Costs - Non Teaching
Resources Group,Resources,MR BEN BOUCHER-GILES,3054654,3700.00,Professional Fees & Consultancy
Resources Group,Resources,MULTICORD,3041063,528,Fixtures And Fittings
Resources Group,Resources,MULTICORD,3041063,528,Fixtures And Fittings
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3043802,540.77,Marketing & Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,961.4,Other Supplies & Services
Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3051571,880,Marketing & Advertising
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1081.40,Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1787.74,Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,7666.84,Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,2222.03,Postages
Resources Group,Resources,THOMSON REUTERS,3053338,661.6,Subscriptions
Resources Group,Resources,TNT (UK) LTD,0,3462.61,Postages
Resources Group,Resources,TNT POST LTD,0,2098.94,Postages
Resources Group,Resources,TNT POST LTD,0,3713.07,Postages
Resources Group,Resources,TNT POST LTD,0,1136.69,Postages
Resources Group,Resources,TNT POST LTD,0,1316.90,Postages
Resources Group,Resources,TNT POST LTD,0,744.41,Postages
Resources Group,Resources,TNT POST LTD,0,4862.06,Postages
Resources Group,Resources,TNT POST LTD,0,1385.00,Postages
Resources Group,Resources,TNT POST LTD,0,762.8,Postages
