,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Directorate,CIPFA,7335.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,ALBANY OFFICE FURNITURE SOLUTIONS,676.00,Furniture
INSERTED DETAIL,,Resources Group,Resources,DX NETWORK SERVICES LTD,2211.62,Postages
INSERTED DETAIL,,Resources Group,Resources,G J BECKETT & ASSOCIATES LTD,1520.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,658.45,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,MANNING LIMITED,1385.80,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MRS ELAINE AVERIS,2200.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MRS ELAINE AVERIS,1350.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,Fixtures And Fittings
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,685.50,Consultancy Fees
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,793.50,Consultancy Fees
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,562.63,Advertising
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,700.00,Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,860.20,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,880.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,Q MATIC UK LTD,27933.75,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,Q MATIC UK LTD,2584.59,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,RESTORE SHRED LTD,516.00,Waste Disposal
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1097.06,Postages
INSERTED DETAIL,,Resources Group,Resources,SAFELINCS LTD,2038.00,Equipment
INSERTED DETAIL,,Resources Group,Resources,SPECIALIST COMPUTER CENTRES PLC,604.96,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,TCS MEDIA,1083.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,503.36,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,4134.57,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2615.47,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,6889.54,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2875.55,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1946.44,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2246.36,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2705.26,Postages
INSERTED DETAIL,,Resources Group,Resources,VIGLEN LTD,1284.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,VISIT COUNTY DURHAM,550.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,500.00,Ict Consumables
INSERTED DETAIL,,Resources Group,Finance,CIPFA,750.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Finance,CIPFA,3290.00,Subscriptions
INSERTED DETAIL,,Resources Group,Finance,CIVICA,19708.00,Internet Costs
INSERTED DETAIL,,Resources Group,Finance,LG FUTURES,1650.00,Subscriptions
