Darlington Borough Council - Analysis of Transactions Over £500,,,,,
Mar-15,,,,,
,,,,,
,,,,,
text description,text servdesc,apar_name,order_id,amount,accdesc
Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Directorate,CIPFA,3064383,"7,570.00",Subscriptions
Resources Group,Resources,ADARE LIMITED,3061161,"2,521.14",Stationery
Resources Group,Resources,COMMUNICORP UK,3062738,950,Marketing & Advertising
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,569.82,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,593.56,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,601.92,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,597.74,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,526.68,Agency Staff Costs - Non Teaching
Resources Group,Resources,GLOBAL RADIO SERVICES LTD,3064511,"2,400.00",Marketing & Advertising
Resources Group,Resources,IDOX SOFTWARE LTD,3062815,"1,425.00",Consultancy Fees
Resources Group,Resources,ISAPPHIRE LTD,3063768,529.35,Marketing & Advertising
Resources Group,Resources,ISAPPHIRE LTD,3065067,895,Marketing & Advertising
Resources Group,Resources,KANA,3063945,"40,133.99",Ict Software Support & Maintenance
Resources Group,Resources,KATE DODDS,3065573,"1,000.00",Professional Fees & Consultancy
Resources Group,Resources,KOMODO DESIGN LTD,3064251,893.69,Marketing & Advertising
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3063588,512,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,522.50",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,522.50",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,435.00",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,391.25",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,478.75",Agency Staff Costs - Non Teaching
