,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,CELLMARK,3072898,513.4,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,CORPTEL,3071425,680,Voice Telephone Equipment
INSERTED DETAIL,,Resources Group,Resources,DE-POEL,0,670.79,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,DR L RIPPON,3072711,1438.66,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,GAZETTE MEDIA COMPANY,3072085,500,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,3072827,687.3,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,KESTER ARMSTRONG,3073191,2400.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1531.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,787.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MISS REBECCA STOKES-HERBST,3072709,650,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MS FRANCES LAWLEY,3072708,500,Consultancy Fees
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,1090.20,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,ROCH NDT SERVICES,3071240,1750.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1015.56,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1024.79,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1516.83,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1577.28,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1594.07,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,837.49,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,510.45,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,600.92,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1592.03,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1168.35,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2033.59,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1767.01,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2551.42,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1542.89,Postages
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.44,Security Services
INSERTED DETAIL,,Resources Group,ICT,CISILION LTD,3072097,3857.60,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,ICT,CISILION LTD,3072097,11670.75,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,7311.14,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,3571.15,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,1900.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,3065636,8507.50,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,1750.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067052,747.5,Medical
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,9020.90,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,NORTHGATE PUBLIC SERVICES (UK) LTD,3069710,1460.00,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Human resources management,P & A MEDICAL LTD,3071954,685,Medical
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,3071036,673.04,Repairs - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2443.59,Electricity
INSERTED DETAIL,,Resources Group,Transformation,COOPER LIGHTING & SECURITY,3071430,2244.00,Repairs - Emergency Lighting
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,3679.98,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1578.73,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1201.02,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,3154.89,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,2022.49,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1982.88,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,535.23,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,668.85,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1449.30,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1583.27,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1954.88,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,507.71,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,866.1,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1123.69,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,2186.78,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1396.59,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,693.65,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,2321.29,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1563.13,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,618.74,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,582.33,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,660.03,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,6743.40,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,6823.97,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1293.48,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1972.95,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,903.97,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1443.17,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,563.76,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1171.26,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,860.54,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1843.16,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1820.46,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,2095.70,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,2002.96,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1862.26,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1833.61,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1716.37,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1525.30,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,989.79,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,2091.81,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1417.76,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,558.98,Gas
INSERTED DETAIL,,Resources Group,Transformation,CROSSLING LTD,3071412,855,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,DAMP SHIELD,3063618,4450.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3070836,1155.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,EASBY FLOORING LTD,3070807,814.75,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,ELDERS WALKER GLASS LTD,3071574,540.26,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,ELDERS WALKER GLASS LTD,3071539,524.25,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3072082,700,Repairs - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3072872,569.51,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3072872,600.26,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,HYGIENE SUPPLIES DIRECT LTD,3071540,550,Repairs - Electrical
INSERTED DETAIL,,Resources Group,Transformation,INITIAL WASHROOM HYGIENE,3066619,4239.32,Hygiene Services
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3071343,875,Alterations & Improvements - Decoration
