,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ACORN WEB OFFSET LTD,6070.84,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,DECLAN HALL,4087.15,MEMBERS COSTS BASIC ALLOWANCE
INSERTED DETAIL,,Resources Group,Resources,HARVEY MURRAY,950.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,2175.00,EQUIPMENT
INSERTED DETAIL,,Resources Group,Resources,iCASEWORK LTD,547.05,ICT HARDWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,iCASEWORK LTD,2889.05,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1794.50,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1369.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1692.75,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1757.50,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1927.50,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,762.88,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,QUOIN,1000.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1877.08,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1038.59,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1074.76,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1512.74,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2032.24,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1910.20,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2031.27,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1040.59,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2520.44,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1853.88,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1385.43,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1013.15,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,8916.68,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1226.01,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,VIGLEN LTD,815.55,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,Finance,DICKINSON DEES LAW FIRM,2767.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,EVOLUTION,706.80,HOSPITALITY & ROOM HIRE
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,20547.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,5500.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1306.61,SECURITY SERVICES
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1200.00,COUNSELLING RECHARGE
