,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,5850.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,1000.00,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,NORTHGATE PUBLIC SECTOR LIMITED,1000.00,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,NORTHGATE VEHICLE HIRE (NORTH EAST) LIMITED,1334.81,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,6036.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,SERVICE LEVEL MANAGEMENT,1360.00,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,TEACHERS PENSIONS,3269.88,Other Supplies & Services
INSERTED DETAIL,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,7008.22,GAS
INSERTED DETAIL,,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,LEASING CHARGES
INSERTED DETAIL,,Corporate Services,Corporate Services,CIVICA,11893.79,INTERNET COSTS
INSERTED DETAIL,,Corporate Services,Corporate Services,ENVIRONMENT AGENCY,1290.00,Other Supplies & Services
INSERTED DETAIL,,Corporate Services,Corporate Services,IRONWORLD,1480.00,EVENTS & AWARDS
INSERTED DETAIL,,Corporate Services,Corporate Services,LATIMER HINKS,3625.00,RENT OF FACILITIES
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,989.81,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1398.03,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,973.36,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4127.04,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2629.54,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1120.02,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1011.06,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,50884.57,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4210.06,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2325.70,ELECTRICITY
