Date,Directorate,Service,Supplier,Invoice Line Value (net of VAT),Account
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,AUDIT COMMISSION,"1,142.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,DATATANK LIMITED,"6,787.50",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,"6,204.04",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,"6,500.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,"2,960.80",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,"1,379.60",SECURITY SERVICES
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,615.86,SECURITY SERVICES
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,"1,318.76",SECURITY SERVICES
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,615.86,SECURITY SERVICES
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,HARTLEPOOL BOROUGH COUNCIL,"4,608.31",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,HARTLEPOOL BOROUGH COUNCIL,"1,800.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,HARTLEPOOL BOROUGH COUNCIL,"2,800.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,HM REVENUE & CUSTOMS,588.77,Other Supplies & Services
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,652.71,ICT SOFTWARE SUPPORT & MAINTENANCE
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,"21,330.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,"21,330.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,"10,513.00",PROFESSIONAL FEES & CONSULTANCY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,"2,406.11",SECURITY SERVICES
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,SERVICE LEVEL MANAGEMENT,680,ICT SOFTWARE SUPPORT & MAINTENANCE
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,"1,096.02",STATIONERY
July 2010-September 2010,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,"1,166.50",STATIONERY
July 2010-September 2010,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,503,Responsive-Door Entry
July 2010-September 2010,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,679.13,FIRE EXTINGUISHERS & EQUIPMENT
July 2010-September 2010,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,697.92,Cyclical - Intruder Alarms
July 2010-September 2010,Corporate Services,Corporate Services,ALBANY OFFICE FURNITURE SOLUTIONS,"1,913.00",FURNITURE
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"7,921.11",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"19,874.61",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,617.82,GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"7,663.46",GAS
July 2010-September 2010,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"21,380.86",GAS
