Darlington Borough Council - Analysis of Transactions Over £500,,,,,
Jul-14,,,,,
,,,,,
,,,,,
text description,text servdesc,apar_name,order_id,amount,accdesc
Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,ADARE LIMITED,3054996,545,Stationery
Resources Group,Resources,ALBANY OFFICE FURNITURE SOLUTIONS,3054301,556,Furniture
Resources Group,Resources,CDC RESPOND,3054426,"2,443.50",Ict Software Support & Maintenance
Resources Group,Resources,ICO,3054982,500,Subscriptions
Resources Group,Resources,ISAPPHIRE LTD,3055686,"1,145.84",Marketing & Advertising
Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,3055019,"1,726.99",Professional Fees & Consultancy
Resources Group,Resources,MANNING LIMITED,3055739,"1,701.72",Agency Staff Costs - Non Teaching
Resources Group,Resources,MR JOSEPH O'BRIEN,3055270,"1,000.00",Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3055260,700,Professional Fees & Consultancy
Resources Group,Resources,NEIL COOKSON,3035690,873,Consultancy Fees
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3052321,535.84,Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,823.4,Other Supplies & Services
Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3051571,880,Marketing & Advertising
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,622.24,Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,"1,236.88",Postages
Resources Group,Resources,THE NATIONAL ASSOC OF COUNCILLORS,0,832,Subscriptions
Resources Group,Resources,TNT POST LTD,0,"4,102.90",Postages
Resources Group,Resources,TNT POST LTD,0,"1,350.18",Postages
Resources Group,Resources,TNT POST LTD,0,686.4,Postages
Resources Group,Resources,TNT POST LTD,0,"1,789.09",Postages
Resources Group,Resources,TNT POST LTD,0,"4,040.15",Postages
Resources Group,Resources,TNT POST LTD,0,"2,513.78",Postages
Resources Group,Resources,TNT POST LTD,0,"3,405.83",Postages
Resources Group,Resources,TNT POST LTD,0,"9,302.78",Postages
Resources Group,Finance,DURHAM COUNTY COUNCIL,0,"1,895.00",Professional Fees & Consultancy
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3046466,"14,794.00",Professional Fees & Consultancy
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3046466,"13,561.00",Professional Fees & Consultancy
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,942.43,Security Services
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,942.43,Security Services
Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,629.31,Telephone Costs
Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,"9,423.80",Telephone Costs
Resources Group,ICT,DATA TRACK TECHNOLOGY PLC,3054241,"2,204.14",Ict Hardware Support & Maintenance
Resources Group,ICT,MDNX ENTERPRISE SERVICES LTD,0,"20,000.00",Ict Software Support & Maintenance
Resources Group,ICT,VODAFONE LTD,0,"2,685.69",Telephone Costs
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,"1,500.00",Counselling Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,"1,560.00",Physiotherapy Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,"1,800.00",Physiotherapy Recharge
Resources Group,Human resources management,BOND DICKINSON,3051100,"9,177.00",Professional Fees & Consultancy
Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,"4,452.00",DBS Checks
Resources Group,Human resources management,DISCLOSURE SCOTLAND,3054370,"1,150.00",DBS Checks
Resources Group,Human resources management,HARTLEPOOL BOROUGH COUNCIL,3053928,560,Employee Training Course Costs
Resources Group,Human resources management,HARTLEPOOL BOROUGH COUNCIL,3053929,560,Employee Training Course Costs
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,"8,497.41",Professional Fees & Consultancy
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051384,"2,484.00",Medical
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,"8,318.53",Professional Fees & Consultancy
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051384,"1,734.81",Medical
Resources Group,Human resources management,POSTURITE (UK) LTD,3054783,552.92,Furniture
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3055589,897.09,Cyclical - Intruder Alarms
Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,"2,386.73",Electricity
Resources Group,Transformation,CONTRACT FLOORING SERVICES (NE) LTD,3053686,880.42,Repairs - Building Fabric
Resources Group,Transformation,CORONA ENERGY LTD,0,"4,142.69",Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,"21,168.21",Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,"36,477.84",Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,"2,788.90",Gas
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3054944,531.98,Repairs - Fire Alarms
Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3052546,600,Cyclical - Electrical Installation Test
Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3052545,"2,300.00",Cyclical - Electrical Installation Test
Resources Group,Transformation,MRC ROADS LIMITED,3055516,901.95,Ground Maintenance
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,186.13",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,560.48,Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,090.54",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,957.73",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,454.33",Water Charges
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"1,278.69",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,617.24,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,581.67,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"3,034.94",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"2,614.70",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"1,892.13",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"3,762.92",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"1,392.55",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"2,818.76",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"35,912.03",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"5,646.02",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"2,183.40",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,577.88,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,706.43,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"3,760.63",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"2,385.61",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,577.88,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"2,002.58",Electricity
Resources Group,Transformation,NPOWER NORTHERN LTD,0,700,Electricity
Resources Group,Transformation,NPOWER NORTHERN LTD,0,700,Electricity
Resources Group,Transformation,PETERLEE FIRE COMPANY LTD,3052303,656.2,Cyclical - Fire Fighting Equipment
Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3055432,"1,995.00",Removal Costs - Staff Moves
Resources Group,Transformation,YESSS ELECTRICAL,3054827,"3,067.16",Repairs - Emergency Lighting
Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3054884,986.14,Other Consumables
Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3054459,651.3,Other Consumables
Place,Building Design Services,HAYS SPECIALIST SERVICES,3054000,893.37,Agency Staff Costs - Non Teaching
Place,Building Design Services,HAYS SPECIALIST SERVICES,3054000,"1,124.42",Agency Staff Costs - Non Teaching
Place,Building Design Services,HAYS SPECIALIST SERVICES,3054000,"1,077.48",Agency Staff Costs - Non Teaching
Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,0,"1,905.00",Consultancy Fees
Place,Economic Regeneration,GO GLOBAL NE LIMITED,3055477,"1,800.00",Marketing & Advertising
Place,Economic Regeneration,IMEX GRAFIX,3050430,540,Signage
Place,Commercial Services,ALL EVENTS SECURITY,3054743,504,Other Supplies & Services
Place,Commercial Services,INDOOR OUTDOOR,0,"2,020.00",Other Supplies & Services
Place,Commercial Services,INDOOR OUTDOOR,0,"3,410.00",Other Supplies & Services
