,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ACCESS POINT LTD,1191.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,CACI LIMITED,1700.00,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Resources Group,Resources,CHRISTOPHER FERGUSON,1134.40,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,ELECTORAL REFORM SERVICES,1613.70,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,IDOX SOFTWARE LTD,1900.00,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,IDOX SOFTWARE LTD,1200.00,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,1238.14,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,LINDSAY WEBSTER,950.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,LINDSAY WEBSTER,3200.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,584.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1248.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MRS KOSSAR KITCHING,500.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MS RACHEL SMITH,650.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1317.25,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,850.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1024.11,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1788.71,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,SITEIMPROVE LTD,2657.40,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,520.64,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,815.08,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,663.51,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,591.40,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,712.67,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1373.40,POSTAGES
