,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ACORN WEB OFFSET LTD,1000.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ADT FIRE & SECURITY PLC,938.82,Cyclical - Intruder Alarms
INSERTED DETAIL,,Resources Group,Resources,ELECTORAL REFORM SERVICES,701.68,PRINTING
INSERTED DETAIL,,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,798.45,Responsive Repairs (General)
INSERTED DETAIL,,Resources Group,Resources,JOHN GOOD LTD,683.00,PRINTING
INSERTED DETAIL,,Resources Group,Resources,LEAFLET DISTRIBUTION SERVICES LIMITED,4319.64,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1757.50,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1433.75,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1813.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,2014.00,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,524.48,ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,NORTHUMBRIAN WATER,3526.42,WATER CHARGES
INSERTED DETAIL,,Resources Group,Resources,QUOIN,2000.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL,792.08,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1189.14,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1793.32,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1120.67,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,SWEET & MAXWELL LTD,663.00,BOOKS
INSERTED DETAIL,,Resources Group,Resources,SWEET & MAXWELL LTD,1629.00,BOOKS
INSERTED DETAIL,,Resources Group,Resources,THOMSON REUTERS,632.00,BOOKS
INSERTED DETAIL,,Resources Group,Resources,THOMSON REUTERS,632.00,BOOKS
INSERTED DETAIL,,Resources Group,Resources,TNT (UK) LTD,1512.74,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3467.66,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,536.73,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,631.36,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2295.37,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2230.85,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,VIGLEN LTD,626.20,EQUIPMENT
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Finance,INTELCO LTD,6565.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1290.00,EQUIPMENT
INSERTED DETAIL,,Resources Group,Finance,MORGAN KAI LIMITED,2468.39,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,8989.80,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1440.42,SECURITY SERVICES
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1440.42,SECURITY SERVICES
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,2891.95,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,20728.08,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,INSIGHT DIRECT (UK) LTD,2236.00,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,ICT,MDNX ENTERPRISE SERVICES LTD,1290.00,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,800.00,TELEPHONE COSTS
