Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,5317.73,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Accountancy & Local Taxation,EQUITA LTD,672.00,MATERIALS
Corporate Services,Accountancy & Local Taxation,NORTHERN RECRUITMENT GROUP LIMITED,5000.00,TRAINING
Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,17101.39,ICT SOFTWARE SUPPORT & MAINTENANCE
Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,4250.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,12225.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,601.46,SECURITY SERVICES
Corporate Services,Corporate Assurance,LRQA,1340.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,660.88,FIRE EXTINGUISHERS & EQUIPMENT
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,874.85,BURGLAR ALARMS
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,517.17,Responsive-Door Entry
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,621.15,Cyclical - Emerg Light & Fire
Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,22916.65,GAS
Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2027.93,GAS
Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,118237.65,GAS
Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,EQUIPMENT
Corporate Services,Corporate Services,ELECTRONIC SECURITY SOLUTIONS LTD,746.36,SECURITY SERVICES
Corporate Services,Corporate Services,ENVIRONMENT AGENCY,1290.00,ELECTRICITY
Corporate Services,Corporate Services,LANDSCAPE SOLUTIONS,847.00,GROUND MAINTENANCE
Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290.00,EQUIPMENT
Corporate Services,Corporate Services,MICHAEL DUGGAN,900.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Corporate Services,MOTT MACDONALD,7240.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,4250.00,RENT OF FACILITIES
Corporate Services,Corporate Services,NORTHUMBRIAN WATER,1067.85,WATER CHARGES
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,22246.72,ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3157.15,ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3200.92,ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2865.63,ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5730.57,ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,56346.77,ELECTRICITY
Corporate Services,Corporate Services,SAFE ESTATES SERVICES LTD,1456.00,"RENTS, WAYLEAVES (NON VAT)"
Corporate Services,Corporate Services,STOREYS:SSP,2033.84,ELECTRICITY
Corporate Services,Corporate Services,STOREYS:SSP,515.57,GAS
Corporate Services,Corporate Services,STOREYS:SSP,830.00,ELECTRICITY
Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,2592.00,CRB CHECKS
Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,1332.00,CRB CHECKS
Corporate Services,Human Resources,SYD STRIKE TRAINING SOLUTIONS,530.00,TRAINING
Corporate Services,Human Resources,THOMPSONS SOLICITORS,1500.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,2697.05,TELEPHONE COSTS
Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,10236.46,TELEPHONE COSTS
Corporate Services,ICT & Printing,OPAL,1051.00,TELEPHONE COSTS
Corporate Services,ICT & Printing,VIRGIN MEDIA BUSINESS LIMITED,576.75,TELEPHONE COSTS
Corporate Services,Legal & Democratic,ADT FIRE & SECURITY PLC,550.00,DLO RECHARGES
Corporate Services,Legal & Democratic,ADT FIRE & SECURITY PLC,1184.38,DLO RECHARGES
Corporate Services,Legal & Democratic,AMTEC CONSULTING PLC,59169.33,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,DX NETWORK SERVICES LTD,4173.64,POSTAGES
Corporate Services,Legal & Democratic,MERCEDES BENZ OF TEESSIDE,851.04,R&M (VEHICLES)
Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,946.46,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1452.25,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1566.21,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1051.54,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1736.04,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,NEIL COOKSON,2080.00,PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,NEOPOST FINANCE LTD (LEASE),1896.68,POSTAGES
Corporate Services,Legal & Democratic,NORTHUMBRIAN WATER,2856.08,WATER CHARGES
Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1599.23,POSTAGES
Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1682.42,POSTAGES
Corporate Services,Legal & Democratic,SWEET & MAXWELL LTD,3109.00,SUBSCRIPTIONS
Corporate Services,Legal & Democratic,TNT POST LTD,2633.17,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,1689.95,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,917.49,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,528.76,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,1720.86,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,560.92,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,990.68,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,679.99,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,1911.25,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,1197.19,POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,1727.19,POSTAGES
Corporate Services,Legal & Democratic,VIGLEN LTD,2518.50,ICT HARDWARE PURCHASE
Corporate Services,Legal & Democratic,WATERSTONS,4746.00,Other Supplies & Services
Corporate Services,Public Protection,BEMROSE BOOTH LTD,1590.00,STATIONERY
Corporate Services,Public Protection,BEMROSE BOOTH LTD,639.00,STATIONERY
Corporate Services,Public Protection,CRIMINAL RECORDS BUREAU,540.00,FEES & CHARGES GENERAL (OUTSIDE SCOPE VAT)
Corporate Services,Public Protection,KIM SOFTWARE SOLUTIONS LTD,871.43,NEWSPAPERS AND PERIODICALS
