,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Economic Growth,Economic Initiative,CORNERSTONE BARRISTERS,0,48150.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Economic Initiative,DARLINGTON RUGBY FOOTBALL CLUB LTD,3085743,3750.00,Hospitality & Room Hire
INSERTED DETAIL,,Economic Growth,Economic Initiative,DISTINCT DARLINGTON LIMITED,3085910,129515.22,Other Establishments
INSERTED DETAIL,,Economic Growth,Economic Initiative,HAYMARKET MEDIA GROUP LTD,3086543,1415.00,Subscriptions
INSERTED DETAIL,,Economic Growth,Economic Initiative,M T AUDIO SYSTEMS,3085391,2510.00,Events & Awards
INSERTED DETAIL,,Economic Growth,Economic Initiative,TEES VALLEY RURAL COMMUNITY COUNCIL,3086342,10376.23,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082311,8281.35,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ADT FIRE & SECURITY PLC,3082258,5000.73,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,AIRWAVE SOLUTIONS LTD,3084962,4165.76,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ALFRED BAGNALL & SONS (NORTH EAST )  LTD,3084275,800,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARNET LTD,3083643,716,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3084401,2651.25,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3084274,3020.00,Cyclical - Maint Gates & Doors
INSERTED DETAIL,,Economic Growth,Regulatory Services,ARROW INDUSTRIAL GROUP LTD,3084458,3665.00,Repairs - Door Entry System
INSERTED DETAIL,,Economic Growth,Regulatory Services,BEMROSE BOOTH LTD,3083440,1500.00,Stationery
INSERTED DETAIL,,Economic Growth,Regulatory Services,BRITISH GAS TRADING LIMITED,0,608.64,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CARPETTIME LIMITED,3084872,1513.27,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,CLEARWATER TECHNOLOGY LTD,3080601,530,Cyclical - Legionella Maint
INSERTED DETAIL,,Economic Growth,Regulatory Services,COLLIERS INTERNATIONAL,3085609,3175.47,Consultancy Fees
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2472.04,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,COMBINED POWER (SOUTH) LTD,0,2546.14,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,6786.66,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,1278.73,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,CORONA ENERGY LTD,0,3064.73,Gas
INSERTED DETAIL,,Economic Growth,Regulatory Services,COUNTY DURHAM & DARLINGTON FIRE & RESCUE SERVICE,3086187,6000.00,Contributions/Donations
INSERTED DETAIL,,Economic Growth,Regulatory Services,CROSSLING LTD,3084291,1512.18,Repairs - Mechanical
INSERTED DETAIL,,Economic Growth,Regulatory Services,CSL DUALCOM LIMITED,3084799,720,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,CSL DUALCOM LIMITED,3085895,540,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Regulatory Services,CSL DUALCOM LIMITED,3085896,720,Cctv Monitoring Charge
INSERTED DETAIL,,Economic Growth,Regulatory Services,DISCLOSURE & BARRING SERVICE,3085721,572,DBS Checks
INSERTED DETAIL,,Economic Growth,Regulatory Services,EASBY FLOORING LTD,3083959,1523.00,Repairs - Building Fabric
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3084440,895,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3084094,3948.48,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3085991,2646.11,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3079927,700,Cyclical - Fire Alarms
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3085627,8492.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3081696,733.33,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3084093,2257.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,ELECTRONIC SECURITY SOLUTIONS LTD,3084095,13859.00,Equipment
INSERTED DETAIL,,Economic Growth,Regulatory Services,GUARDIAN ELECTRICAL COMPLIANCE LIMITED,3082282,1092.50,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Economic Growth,Regulatory Services,HMCTS,3086439,2000.00,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,HP GROUNDWORKS,3086098,4250.00,Carriageway Works
INSERTED DETAIL,,Economic Growth,Regulatory Services,HP GROUNDWORKS,3086099,4250.00,Carriageway Works
INSERTED DETAIL,,Economic Growth,Regulatory Services,MIDDLESBROUGH BOROUGH COUNCIL,3084467,2201.00,Professional Fees & Consultancy
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1050.38,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1303.92,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NE SECURITY LTD,3072259,1014.16,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1270.92,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,864.08,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3450.17,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1422.71,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,2170.79,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3093.06,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,4144.38,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,1401.59,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NORTHUMBRIAN WATER,0,3522.64,Water Charges
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER,0,700,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1807.27,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1147.21,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,869.64,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,2750.05,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1023.61,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,918.62,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1584.67,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,13713.63,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,538.84,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,19462.64,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,830.12,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,1044.04,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NPOWER NORTHERN FINANCE,0,609.83,Electricity
INSERTED DETAIL,,Economic Growth,Regulatory Services,NSL LIMITED,3085996,3217.08,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,NSL LIMITED,3083412,3246.96,Security Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,PARKEON,3082996,5544.00,Equipment R&M
INSERTED DETAIL,,Economic Growth,Regulatory Services,PATROL,3085645,1310.65,Other Supplies & Services
INSERTED DETAIL,,Economic Growth,Regulatory Services,PAY BY PHONE,3086028,943.25,Ict Software Support & Maintenance
INSERTED DETAIL,,Economic Growth,Regulatory Services,PAY BY PHONE,3079576,904.12,Ict Software Support & Maintenance
