,,Darlington Borough Council - Analysis of Transactions Over £500,,,,,
,,January 2011,,,,,
,,,,,,,
,,,,,,,
,,text description,text servdesc,apar_name,amount,accdesc,
,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account,
,,Corporate Services,Accountancy & Local Taxation,CIPFA,978.53,BOOKS,
,,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,"4,202.00",PROFESSIONAL FEES & CONSULTANCY,
,,Corporate Services,Accountancy & Local Taxation,LEXIS NEXIS,819.00,BOOKS,
,,Corporate Services,Accountancy & Local Taxation,PHOENIX SOFTWARE LTD,725.77,ICT SOFTWARE PURCHASE,
,,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,"21,760.00",PROFESSIONAL FEES & CONSULTANCY,
,,Corporate Services,Accountancy & Local Taxation,PRINTWELL (NORTH EAST) LTD,"1,540.00",STATIONERY,
,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,"1,379.59",SECURITY SERVICES,
,,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.86,SECURITY SERVICES,
,,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,"1,096.02",STATIONERY,
,,Corporate Services,Corporate Assurance,RMS BENTLEY JENNISON,"2,000.00",ICT SOFTWARE SUPPORT & MAINTENANCE,
,,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,634.00,BURGLAR ALARMS
,,Corporate Services,Corporate Services,BOURTON GROUP,"11,615.00",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"3,888.72",GAS
,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"2,435.32",GAS
,,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,"10,179.61",GAS
,,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,"1,316.21",EQUIPMENT
,,Corporate Services,Corporate Services,EVOLUTION,"1,377.40",HOSPITALITY & ROOM HIRE
,,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,"1,290.00",EQUIPMENT
,,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,"1,290.00",EQUIPMENT
,,Corporate Services,Corporate Services,MOTT MACDONALD,"16,000.00",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Corporate Services,MOTT MACDONALD,"19,240.00",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"1,497.27",WATER CHARGES
,,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"3,407.32",WATER CHARGES
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,531.47,ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"5,850.36",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"58,148.06",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"2,708.72",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"5,196.99",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"12,047.20",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,588.04,ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,805.62,ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,871.00",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,100.74",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,519.00",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"6,309.55",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,371.91",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"3,507.40",ELECTRICITY
,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"8,149.00",ELECTRICITY
,,Corporate Services,Corporate Services,PHOENIX SOFTWARE LTD,725.77,ICT SOFTWARE SUPPORT & MAINTENANCE
,,Corporate Services,Corporate Services,ROBINSONS INTERNATIONAL REMOVALS LIMITED,"1,047.65",ALTERATIONS & IMPROVEMENTS
,,Corporate Services,Corporate Services,ROBINSONS INTERNATIONAL REMOVALS LIMITED,"1,205.52",FURNITURE
,,Corporate Services,Corporate Services,STOREYS:SSP,771.93,ELECTRICITY
,,Corporate Services,Corporate Services,STOREYS:SSP,"1,459.61",ELECTRICITY
,,Corporate Services,Corporate Services,WR ALDERSON,"1,787.00",GROUND MAINTENANCE
,,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,550.00,COUNSELLING RECHARGE
,,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,"2,050.00",COUNSELLING RECHARGE
,,Corporate Services,Human Resources,BODY 2 FIT LTD,"2,100.00",PHYSIOTHERAPY RECHARGE
,,Corporate Services,Human Resources,BODY 2 FIT LTD,"1,620.00",PHYSIOTHERAPY RECHARGE
,,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,"8,502.84",MEDICAL
,,Corporate Services,Human Resources,SYD STRIKE TRAINING SOLUTIONS,670.00,TRAINING
,,Corporate Services,ICT & Printing,OPAL,"1,051.00",TELEPHONE COSTS
,,Corporate Services,ICT & Printing,VIRGIN MEDIA BUSINESS LIMITED,"13,805.44",TELEPHONE COSTS
,,Corporate Services,Legal & Democratic,ADT FIRE & SECURITY PLC,"6,912.67",FIRE EXTINGUISHERS & EQUIPMENT
,,Corporate Services,Legal & Democratic,FLOWERS BY NATTRASS,540.00,MATERIALS
,,Corporate Services,Legal & Democratic,IAN ROSS VIDEO & AUDIO VISUAL,"2,175.00",FIXTURES AND FITTINGS
,,Corporate Services,Legal & Democratic,INCOM TELECOMMUNICATIONS,564.61,EQUIPMENT
,,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,999.00,PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,"1,773.04",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,"1,714.21",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,"1,523.29",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Legal & Democratic,NEIL COOKSON,"2,171.75",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Legal & Democratic,NEIL COOKSON,"2,284.75",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),"2,000.00",POSTAGES
,,Corporate Services,Legal & Democratic,OTIS PLC,"2,092.16",REPAIRS AND MAINTENANCE
,,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,830.03",POSTAGES
,,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,302.53",POSTAGES
,,Corporate Services,Legal & Democratic,SOCITM LTD,"1,110.00",PROFESSIONAL FEES & CONSULTANCY
,,Corporate Services,Legal & Democratic,TNT POST LTD,558.95,POSTAGES
,,Corporate Services,Legal & Democratic,TNT POST LTD,"1,385.01",POSTAGES
,,Corporate Services,Legal & Democratic,TNT POST LTD,519.13,POSTAGES
,,Corporate Services,Legal & Democratic,TNT POST LTD,659.26,POSTAGES
,,Corporate Services,Legal & Democratic,TNT POST LTD,673.25,POSTAGES
,,Corporate Services,Legal & Democratic,TNT POST LTD,572.41,POSTAGES
,,Corporate Services,Legal & Democratic,TNT POST LTD,"1,472.34",POSTAGES
,,Corporate Services,Legal & Democratic,WATERSTONS,"4,125.00",Other Supplies & Services
,,Corporate Services,Legal & Democratic,WATERSTONS,"1,785.00",ICT HARDWARE PURCHASE
,,Corporate Services,Public Protection,CRB SOLUTIONS,828.00,FEES & CHARGES GENERAL (OUTSIDE SCOPE VAT)
,,Corporate Services,Public Protection,KILLGERM CHEMICALS LTD,576.60,MATERIALS
,,Corporate Services,Public Protection,METRIC GROUP LIMITED,"2,376.36",EQUIPMENT
,,Corporate Services,Public Protection,METRO ROD PLC,"1,695.00",REPAIRS AND MAINTENANCE
,,Corporate Services,Public Protection,NPOWER NORTHERN FINANCE,"1,114.00",ELECTRICITY
,,Corporate Services,Public Protection,NPOWER NORTHERN LTD,"2,228.00",ELECTRICITY
,,Corporate Services,Public Protection,NSL LIMITED,"3,752.35",SECURITY SERVICES
,,Corporate Services,Public Protection,NSL LIMITED,"3,951.15",SECURITY SERVICES
,,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,"6,116.32",Adult Placement Schemes
,,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,"8,035.48",Adult Placement Schemes
,,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,"15,000.00",PRIVATE CONTRACTORS
