,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,BAUER RADIO LTD,4990.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,CACI LIMITED,12723.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Resources,COMPRIL LIMITED,617.50,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,DONOVAN GRAPHICS LTD,512.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,FLOWERS BY NATTRASS,540.00,Materials
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,1221.62,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,JOHN GOOD LTD,3955.00,Printing
INSERTED DETAIL,,Resources Group,Resources,KANA,600.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,517.16,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,509.90,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,MISS REBECCA STOKES-HERBST,750.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MR GUY SWIFFEN,800.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MRS ELAINE AVERIS,600.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MRS ELAINE AVERIS,1700.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,Fixtures And Fittings
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,6584.58,Printing
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,892.40,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,RESTORE SHRED LTD,913.00,Waste Disposal
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,977.44,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1035.36,Postages
INSERTED DETAIL,,Resources Group,Resources,TCS MEDIA,4478.50,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,THE LAW SOCIETY,4064.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2780.01,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2505.70,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2472.53,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,9282.05,Postages
INSERTED DETAIL,,Resources Group,Finance,INSTITUTE OF PUBLIC FINANCE LTD,1423.75,Books
INSERTED DETAIL,,Resources Group,Finance,INSTITUTE OF PUBLIC FINANCE LTD,1598.75,Books
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,13561.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1030.08,Security Services
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,12367.77,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,10502.60,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,SPECIALIST COMPUTER CENTRES PLC,4335.03,Ict Software Purchase
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,1082.31,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1300.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,2140.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,14950.50,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,2375.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,2534.00,Crb Checks
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,8139.89,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,ZURICH INSURANCE COMPANY,2035.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,554.00,Ict Consumables
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1158.12,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1088.00,Ict Consumables
INSERTED DETAIL,,Resources Group,Transformation,AQUAJET DRAIN CLEANING,1495.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,BARCLAY ROOFING LTD,3073.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,BODY 2 FIT LTD,600.00,Rent Of Facilities
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,2253.86,Electricity
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,5893.10,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,3161.29,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,45046.79,Gas
INSERTED DETAIL,,Resources Group,Transformation,CROSSLING LTD,2200.95,Repairs - Mechanical
