,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
,Corporate Services,Accountancy & Local Taxation,CIPFA,978.53,BOOKS
,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,4202.00,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Accountancy & Local Taxation,LEXIS NEXIS,819.00,BOOKS
,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760.00,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.86,SECURITY SERVICES
,Corporate Services,Corporate Assurance,RMS BENTLEY JENNISON,2000.00,ICT SOFTWARE SUPPORT & MAINTENANCE
,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,634.00,BURGLAR ALARMS
,Corporate Services,Corporate Services,BOURTON GROUP,11615.00,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,3888.72,GAS
,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2435.32,GAS
,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,10179.61,GAS
,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,EQUIPMENT
,Corporate Services,Corporate Services,EVOLUTION,1377.40,HOSPITALITY & ROOM HIRE
,Corporate Services,Corporate Services,LATIMER HINKS,3625.00,RENT OF FACILITIES
,Corporate Services,Corporate Services,MOTT MACDONALD,16000.00,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,4250.00,RENT OF FACILITIES
,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,3407.32,WATER CHARGES
,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5196.99,ELECTRICITY
,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,12047.20,ELECTRICITY
,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,588.04,ELECTRICITY
,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,805.62,ELECTRICITY
,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3871.00,ELECTRICITY
,Corporate Services,Human Resources,BODY 2 FIT LTD,2100.00,PHYSIOTHERAPY RECHARGE
,Corporate Services,Human Resources,SYD STRIKE TRAINING SOLUTIONS,670.00,TRAINING
,Corporate Services,ICT & Printing,VIRGIN MEDIA BUSINESS LIMITED,13805.44,TELEPHONE COSTS
,Corporate Services,Legal & Democratic,ADT FIRE & SECURITY PLC,6912.67,FIRE EXTINGUISHERS & EQUIPMENT
,Corporate Services,Legal & Democratic,IAN ROSS VIDEO & AUDIO VISUAL,2175.00,FIXTURES AND FITTINGS
,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1523.29,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1714.21,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1773.04,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Legal & Democratic,NEIL COOKSON,2284.75,PROFESSIONAL FEES & CONSULTANCY
,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),2000.00,POSTAGES
,Corporate Services,Legal & Democratic,OTIS PLC,2092.16,REPAIRS AND MAINTENANCE
,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1830.03,POSTAGES
,Corporate Services,Legal & Democratic,TNT POST LTD,1472.34,POSTAGES
,Corporate Services,Legal & Democratic,TNT POST LTD,558.95,POSTAGES
,Corporate Services,Legal & Democratic,TNT POST LTD,1385.01,POSTAGES
,Corporate Services,Legal & Democratic,TNT POST LTD,519.13,POSTAGES
,Corporate Services,Legal & Democratic,TNT POST LTD,659.26,POSTAGES
,Corporate Services,Legal & Democratic,TNT POST LTD,673.25,POSTAGES
,Corporate Services,Legal & Democratic,TNT POST LTD,572.41,POSTAGES
,Corporate Services,Legal & Democratic,WATERSTONS,1785.00,ICT HARDWARE PURCHASE
,Corporate Services,Legal & Democratic,WATERSTONS,4125.00,Other Supplies & Services
,Corporate Services,Public Protection,CRB SOLUTIONS,828.00,FEES & CHARGES GENERAL (OUTSIDE SCOPE VAT)
,Corporate Services,Public Protection,METRIC GROUP LIMITED,2376.36,EQUIPMENT
,Corporate Services,Public Protection,NPOWER NORTHERN LTD,2228.00,ELECTRICITY
,Corporate Services,Public Protection,NSL LIMITED,3752.35,SECURITY SERVICES
,Corporate Services,Public Protection,NSL LIMITED,3951.15,SECURITY SERVICES
,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,6116.32,Adult Placement Schemes
,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2559.13,PRIVATE CONTRACTORS
,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,15000.00,PRIVATE CONTRACTORS
,Community Services,Adult Social Care and Health,BENFIELD HALL CARE HOME,1771.92,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,2264.40,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,11200.70,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,4392.51,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,54167.24,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,7749.05,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,11939.73,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CARE UK,6060.07,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CARE UK,746.47,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CARE UK,13273.41,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CARELINE LIFESTYLES,500.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,CARESTREAM LIMITED (in administration),2944.00,Residential
,Community Services,Adult Social Care and Health,CARESTREAM LIMITED (in administration),5888.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,CAREWATCH (DRS),2536.64,Home Care - Private Contractor
,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),3488.00,Residential
,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),15416.00,Nursing - Private Contractor
,Community Services,Adult Social Care and Health,CEDAR LODGE NURSING HOME(ST GEORGE HALL),1704.00,Residential
